Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_10,2,4,4059.66,14683.94,11607.71,1260.98,1815.25,46.28,156.44,0.00,3076.23
with_index_10,4,4,4039.65,14511.98,11543.96,1066.01,1902.01,40.99,149.00,0.00,2968.02
with_index_10,6,4,4042.53,14269.85,11645.02,1065.63,1559.20,53.26,141.52,0.00,2624.83
with_index_10,8,4,4020.51,14177.06,11541.03,898.01,1738.02,45.54,135.50,0.00,2636.03
with_index_10,10,4,4044.01,13942.01,11693.54,788.49,1459.98,52.34,113.00,0.00,2248.47
with_index_10,12,4,4076.47,14242.42,11728.41,851.50,1662.50,40.95,120.00,0.00,2514.01
with_index_10,14,4,4055.49,14051.04,11709.98,781.52,1559.54,47.11,119.00,0.00,2341.06
with_index_10,16,4,4016.00,13596.03,11677.51,725.01,1193.51,74.45,98.50,0.00,1918.52
with_index_10,18,4,4020.74,13662.19,11690.72,723.99,1247.48,61.31,105.50,0.00,1971.47
with_index_50,2,4,3564.01,13273.50,10578.60,981.60,1713.30,178.23,54.98,0.00,2694.90
with_index_50,4,4,3640.33,13193.86,10798.95,700.62,1694.29,118.27,47.01,0.00,2394.91
with_index_50,6,4,3635.09,13250.18,10791.78,832.47,1625.93,181.41,47.50,0.00,2458.40
with_index_50,8,4,3680.49,13740.50,10917.98,962.01,1860.51,157.27,67.50,0.00,2822.52
with_index_50,10,4,3612.01,13316.02,10707.04,824.99,1783.99,143.89,47.50,0.00,2608.98
with_index_50,12,4,3696.99,13699.06,10952.96,818.53,1927.57,104.41,53.00,0.00,2746.10
with_index_50,14,4,3739.50,14680.30,11069.99,1304.93,2305.38,124.70,79.50,0.00,3610.31
with_index_50,16,4,3688.01,14351.54,10911.53,1141.50,2298.51,124.72,67.50,0.00,3440.01
with_index_50,18,4,3656.02,13843.59,10818.55,928.51,2096.53,118.30,63.00,0.00,3025.04
without_index_10,2,4,4079.12,14382.97,11702.10,998.58,1682.29,43.93,120.95,0.00,2680.87
without_index_10,4,4,4135.75,14710.60,11822.17,1051.66,1836.77,34.42,133.02,0.00,2888.43
without_index_10,6,4,4170.50,14731.05,11954.99,972.52,1803.54,38.19,131.50,0.00,2776.06
without_index_10,8,4,4173.00,14718.96,11955.49,895.49,1867.98,35.63,132.00,0.00,2763.47
without_index_10,10,4,4148.59,14563.28,11918.77,920.50,1724.01,40.24,133.00,0.00,2644.51
without_index_10,12,4,4229.89,14843.11,12161.70,958.97,1722.44,44.66,129.00,0.00,2681.41
without_index_10,14,4,4187.50,14677.13,12032.47,921.56,1723.11,37.51,126.51,0.00,2644.66
without_index_10,16,4,4162.52,14530.50,11968.06,853.48,1708.96,41.64,123.00,0.00,2562.44
without_index_10,18,4,4168.51,14628.54,11971.03,870.00,1787.51,37.54,127.00,0.00,2657.51
without_index_50,2,4,3461.46,13243.42,10249.93,968.01,2025.48,162.98,57.97,0.00,2993.49
without_index_50,4,4,3469.99,13165.25,10263.45,883.74,2018.06,129.31,53.51,0.00,2901.80
without_index_50,6,4,3470.65,13189.77,10281.46,1015.44,1892.88,184.71,55.50,0.00,2908.31
without_index_50,8,4,3487.45,13206.99,10317.85,883.54,2005.60,122.58,53.00,0.00,2889.14
without_index_50,10,4,3466.50,13083.97,10273.49,900.99,1909.48,216.96,50.50,0.00,2810.48
without_index_50,12,4,3509.52,13164.02,10392.55,847.49,1923.98,118.27,53.50,0.00,2771.47
without_index_50,14,4,3489.98,13295.36,10327.44,926.98,2040.95,143.91,59.00,0.00,2967.92
without_index_50,16,4,3490.49,13394.02,10333.48,1007.01,2053.53,151.76,60.50,0.00,3060.54
without_index_50,18,4,3501.05,13660.17,10346.66,1123.00,2190.51,120.39,58.00,0.00,3313.51
