Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,2,4,190.92,3076.23,0.00,1260.98,1815.25,44.98,156.44,0.00
with_index_10_insert,4,4,191.50,2968.02,0.00,1066.01,1902.01,39.65,149.00,0.00
with_index_10_insert,6,4,161.02,2624.83,0.00,1065.63,1559.20,51.94,141.52,0.00
with_index_10_insert,8,4,173.50,2636.03,0.00,898.01,1738.02,44.17,135.50,0.00
with_index_10_insert,10,4,146.00,2248.47,0.00,788.49,1459.98,51.02,113.00,0.00
with_index_10_insert,12,4,167.50,2514.01,0.00,851.50,1662.50,39.65,120.00,0.00
with_index_10_insert,14,4,152.50,2341.06,0.00,781.52,1559.54,45.79,119.00,0.00
with_index_10_insert,16,4,122.50,1918.52,0.00,725.01,1193.51,73.13,98.50,0.00
with_index_10_insert,18,4,124.50,1971.47,0.00,723.99,1247.48,59.99,105.50,0.00
with_index_10_select,2,4,3868.74,11607.71,11607.71,0.00,0.00,1.30,0.00,0.00
with_index_10_select,4,4,3848.15,11543.96,11543.96,0.00,0.00,1.34,0.00,0.00
with_index_10_select,6,4,3881.51,11645.02,11645.02,0.00,0.00,1.32,0.00,0.00
with_index_10_select,8,4,3847.01,11541.03,11541.03,0.00,0.00,1.37,0.00,0.00
with_index_10_select,10,4,3898.01,11693.54,11693.54,0.00,0.00,1.32,0.00,0.00
with_index_10_select,12,4,3908.97,11728.41,11728.41,0.00,0.00,1.30,0.00,0.00
with_index_10_select,14,4,3902.99,11709.98,11709.98,0.00,0.00,1.32,0.00,0.00
with_index_10_select,16,4,3893.50,11677.51,11677.51,0.00,0.00,1.32,0.00,0.00
with_index_10_select,18,4,3896.24,11690.72,11690.72,0.00,0.00,1.32,0.00,0.00
with_index_50_insert,2,4,38.48,2694.90,0.00,981.60,1713.30,176.73,54.98,0.00
with_index_50_insert,4,4,40.51,2394.91,0.00,700.62,1694.29,116.80,47.01,0.00
with_index_50_insert,6,4,38.00,2458.40,0.00,832.47,1625.93,179.94,47.50,0.00
with_index_50_insert,8,4,41.00,2822.52,0.00,962.01,1860.51,155.80,67.50,0.00
with_index_50_insert,10,4,43.50,2608.98,0.00,824.99,1783.99,142.39,47.50,0.00
with_index_50_insert,12,4,45.50,2746.10,0.00,818.53,1927.57,102.97,53.00,0.00
