Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_10,2,4,4091.16,14834.06,11674.70,1216.56,1942.80,46.28,155.94,0.00,3159.36
with_index_10,4,4,4169.65,15135.76,11872.90,1206.63,2056.23,36.25,159.02,0.00,3262.86
with_index_10,6,4,4095.55,14902.57,11654.15,1188.47,2059.95,36.29,161.00,0.00,3248.42
with_index_10,8,4,4156.11,15112.41,11834.79,1163.54,2114.08,36.25,166.01,0.00,3277.62
with_index_10,10,4,4160.39,15063.14,11862.66,1235.99,1964.48,38.86,157.50,0.00,3200.48
with_index_10,12,4,4171.52,15029.35,11942.09,1206.91,1880.35,43.12,161.99,0.00,3087.26
with_index_10,14,4,4203.00,15005.08,12045.50,1164.53,1795.05,44.66,151.00,0.00,2959.58
with_index_10,16,4,4120.50,14760.57,11792.96,1164.54,1803.07,45.47,148.51,0.00,2967.61
with_index_10,18,4,4218.55,15287.63,12004.64,1232.50,2050.49,35.63,152.50,0.00,3282.99
with_index_50,2,4,3729.79,14348.90,11045.94,1165.96,2137.00,129.18,63.97,0.00,3302.96
with_index_50,4,4,3750.16,14475.60,11098.46,1131.72,2245.43,129.18,71.51,0.00,3377.14
with_index_50,6,4,3734.00,14432.08,11053.49,1283.53,2095.06,136.29,68.00,0.00,3378.59
with_index_50,8,4,3787.10,14683.64,11217.80,1279.44,2186.40,126.89,70.00,0.00,3465.84
with_index_50,10,4,3782.90,14666.25,11194.19,1225.02,2247.04,116.09,71.00,0.00,3472.06
with_index_50,12,4,4043.60,15552.30,11973.31,1226.50,2352.50,131.40,86.00,0.00,3578.99
with_index_50,14,4,3783.88,14632.22,11206.15,1251.03,2175.05,141.19,70.00,0.00,3426.07
with_index_50,16,4,3795.03,14596.62,11227.09,1203.01,2166.52,120.26,61.50,0.00,3369.53
with_index_50,18,4,3778.02,14578.48,11180.56,1288.97,2108.95,131.50,66.50,0.00,3397.92
without_index_10,2,4,4212.61,14919.96,12096.03,1040.10,1783.82,44.64,140.95,0.00,2823.93
without_index_10,4,4,4221.71,15031.89,12074.59,1037.60,1919.69,36.86,147.51,0.00,2957.30
without_index_10,6,4,4252.50,15100.95,12175.50,1058.48,1866.97,38.83,144.50,0.00,2925.45
without_index_10,8,4,4270.49,15099.08,12241.93,1056.06,1801.10,38.14,137.01,0.00,2857.15
without_index_10,10,4,4265.48,15006.32,12259.96,1064.94,1681.41,43.12,138.49,0.00,2746.36
without_index_10,12,4,4246.04,15114.68,12146.60,1042.03,1926.05,34.97,150.50,0.00,2968.08
without_index_10,14,4,4277.97,15134.30,12266.93,1026.95,1840.42,37.49,140.49,0.00,2867.37
without_index_10,16,4,4256.51,15032.09,12214.01,1001.53,1816.55,39.50,143.50,0.00,2818.08
without_index_10,18,4,4261.50,15085.95,12217.49,1035.99,1832.47,38.14,139.50,0.00,2868.46
without_index_50,2,4,3503.88,13442.73,10364.70,940.55,2137.48,120.36,57.47,0.00,3078.03
without_index_50,4,4,3524.08,13492.88,10419.70,981.72,2091.46,136.37,58.01,0.00,3073.18
without_index_50,6,4,3476.59,13366.86,10265.77,926.03,2175.06,110.20,50.50,0.00,3101.09
without_index_50,8,4,3473.38,13226.18,10280.63,957.02,1988.53,129.33,55.00,0.00,2945.55
without_index_50,10,4,3536.54,13519.54,10457.62,938.47,2123.44,95.57,57.00,0.00,3061.92
without_index_50,12,4,3477.58,13291.75,10295.74,1039.50,1956.51,146.49,57.50,0.00,2996.01
without_index_50,14,4,3514.45,13382.28,10392.85,855.48,2133.95,89.03,55.00,0.00,2989.43
without_index_50,16,4,3505.47,13392.37,10363.90,998.49,2029.98,118.30,53.50,0.00,3028.47
without_index_50,18,4,3508.50,13323.62,10380.51,999.04,1944.08,124.78,54.50,0.00,2943.11
