Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,2,4,199.93,3159.36,0.00,1216.56,1942.80,44.98,155.94,0.00
with_index_10_insert,4,4,212.52,3262.86,0.00,1206.63,2056.23,34.95,159.02,0.00
with_index_10_insert,6,4,210.50,3248.42,0.00,1188.47,2059.95,34.95,161.00,0.00
with_index_10_insert,8,4,211.01,3277.62,0.00,1163.54,2114.08,34.95,166.01,0.00
with_index_10_insert,10,4,206.50,3200.48,0.00,1235.99,1964.48,37.56,157.50,0.00
with_index_10_insert,12,4,190.49,3087.26,0.00,1206.91,1880.35,41.85,161.99,0.00
with_index_10_insert,14,4,188.00,2959.58,0.00,1164.53,1795.05,43.39,151.00,0.00
with_index_10_insert,16,4,189.51,2967.61,0.00,1164.54,1803.07,44.17,148.51,0.00
with_index_10_insert,18,4,217.00,3282.99,0.00,1232.50,2050.49,34.33,152.50,0.00
with_index_10_select,2,4,3891.23,11674.70,11674.70,0.00,0.00,1.30,0.00,0.00
with_index_10_select,4,4,3957.13,11872.90,11872.90,0.00,0.00,1.30,0.00,0.00
with_index_10_select,6,4,3885.05,11654.15,11654.15,0.00,0.00,1.34,0.00,0.00
with_index_10_select,8,4,3945.10,11834.79,11834.79,0.00,0.00,1.30,0.00,0.00
with_index_10_select,10,4,3953.89,11862.66,11862.66,0.00,0.00,1.30,0.00,0.00
with_index_10_select,12,4,3981.03,11942.09,11942.09,0.00,0.00,1.27,0.00,0.00
with_index_10_select,14,4,4015.00,12045.50,12045.50,0.00,0.00,1.27,0.00,0.00
with_index_10_select,16,4,3930.99,11792.96,11792.96,0.00,0.00,1.30,0.00,0.00
with_index_10_select,18,4,4001.55,12004.64,12004.64,0.00,0.00,1.30,0.00,0.00
with_index_50_insert,2,4,47.98,3302.96,0.00,1165.96,2137.00,127.81,63.97,0.00
with_index_50_insert,4,4,51.01,3377.14,0.00,1131.72,2245.43,127.81,71.51,0.00
with_index_50_insert,6,4,49.50,3378.59,0.00,1283.53,2095.06,134.90,68.00,0.00
with_index_50_insert,8,4,48.00,3465.84,0.00,1279.44,2186.40,125.52,70.00,0.00
with_index_50_insert,10,4,51.50,3472.06,0.00,1225.02,2247.04,114.72,71.00,0.00
with_index_50_insert,12,4,53.00,3578.99,0.00,1226.50,2352.50,130.13,86.00,0.00
with_index_50_insert,14,4,48.00,3426.07,0.00,1251.03,2175.05,139.85,70.00,0.00
with_index_50_insert,16,4,52.00,3369.53,0.00,1203.01,2166.52,118.92,61.50,0.00
with_index_50_insert,18,4,52.00,3397.92,0.00,1288.97,2108.95,130.13,66.50,0.00
with_index_50_select,2,4,3681.81,11045.94,11045.94,0.00,0.00,1.37,0.00,0.00
with_index_50_select,4,4,3699.15,11098.46,11098.46,0.00,0.00,1.37,0.00,0.00
with_index_50_select,6,4,3684.50,11053.49,11053.49,0.00,0.00,1.39,0.00,0.00
with_index_50_select,8,4,3739.10,11217.80,11217.80,0.00,0.00,1.37,0.00,0.00
with_index_50_select,10,4,3731.40,11194.19,11194.19,0.00,0.00,1.37,0.00,0.00
with_index_50_select,12,4,3990.60,11973.31,11973.31,0.00,0.00,1.27,0.00,0.00
with_index_50_select,14,4,3735.88,11206.15,11206.15,0.00,0.00,1.34,0.00,0.00
with_index_50_select,16,4,3743.03,11227.09,11227.09,0.00,0.00,1.34,0.00,0.00
