Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_insert,2,4,6402.96,19210.87,0.00,0.00,19210.87,0.83,0.00,0.00
with_index_insert,4,4,6614.11,19841.82,0.00,0.00,19841.82,0.78,0.00,0.00
with_index_insert,6,4,6879.30,20638.39,0.00,0.00,20638.39,0.77,0.00,0.00
with_index_insert,8,4,5767.66,17301.99,0.00,0.00,17301.99,0.99,0.00,0.00
with_index_insert,10,4,6200.03,18601.10,0.00,0.00,18601.10,0.90,0.00,0.00
with_index_insert,12,4,6601.78,19804.33,0.00,0.00,19804.33,0.78,0.00,0.00
with_index_insert,14,4,6632.56,19898.69,0.00,0.00,19898.69,0.80,0.00,0.00
with_index_insert,16,4,6642.45,19927.86,0.00,0.00,19927.86,0.78,0.00,0.00
with_index_insert,18,4,6712.34,20136.02,0.00,0.00,20136.02,0.77,0.00,0.00
with_index_select,2,4,4210.29,12633.36,12633.36,0.00,0.00,1.21,0.00,0.00
with_index_select,4,4,4245.05,12734.65,12734.65,0.00,0.00,1.21,0.00,0.00
with_index_select,6,4,4250.01,12750.02,12750.02,0.00,0.00,1.21,0.00,0.00
with_index_select,8,4,4261.00,12782.49,12782.49,0.00,0.00,1.21,0.00,0.00
with_index_select,10,4,4271.01,12814.03,12814.03,0.00,0.00,1.21,0.00,0.00
with_index_select,12,4,4242.47,12726.42,12726.42,0.00,0.00,1.21,0.00,0.00
with_index_select,14,4,4266.02,12797.05,12797.05,0.00,0.00,1.21,0.00,0.00
with_index_select,16,4,4236.99,12713.98,12713.98,0.00,0.00,1.18,0.00,0.00
with_index_select,18,4,4249.98,12748.44,12748.44,0.00,0.00,1.21,0.00,0.00
