Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_insert,2,4,6219.51,18660.53,0.00,0.00,18660.53,0.84,0.00,0.00
with_index_insert,4,4,6533.64,19601.41,0.00,0.00,19601.41,0.81,0.00,0.00
with_index_insert,6,4,6791.78,20375.35,0.00,0.00,20375.35,0.78,0.00,0.00
with_index_insert,8,4,6579.33,19738.49,0.00,0.00,19738.49,0.78,0.00,0.00
with_index_insert,10,4,6449.35,19347.05,0.00,0.00,19347.05,0.87,0.00,0.00
with_index_insert,12,4,5820.34,17461.01,0.00,0.00,17461.01,0.99,0.00,0.00
with_index_insert,14,4,6752.59,20256.26,0.00,0.00,20256.26,0.77,0.00,0.00
with_index_insert,16,4,6775.24,20325.72,0.00,0.00,20325.72,0.77,0.00,0.00
with_index_insert,18,4,6453.41,19362.74,0.00,0.00,19362.74,0.81,0.00,0.00
with_index_select,2,4,4113.15,12341.94,12341.94,0.00,0.00,1.23,0.00,0.00
with_index_select,4,4,4158.74,12476.21,12476.21,0.00,0.00,1.23,0.00,0.00
with_index_select,6,4,4143.02,12429.06,12429.06,0.00,0.00,1.23,0.00,0.00
with_index_select,8,4,4158.00,12473.50,12473.50,0.00,0.00,1.23,0.00,0.00
with_index_select,10,4,4174.27,12523.30,12523.30,0.00,0.00,1.23,0.00,0.00
with_index_select,12,4,4149.24,12449.22,12449.22,0.00,0.00,1.23,0.00,0.00
with_index_select,14,4,4144.49,12433.48,12433.48,0.00,0.00,1.23,0.00,0.00
with_index_select,16,4,4140.48,12418.45,12418.45,0.00,0.00,1.25,0.00,0.00
with_index_select,18,4,4191.53,12576.08,12576.08,0.00,0.00,1.23,0.00,0.00
