Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_insert,2,4,6571.35,19715.06,0.00,0.00,19715.06,0.83,0.00,0.00
with_index_insert,4,4,6467.62,19403.35,0.00,0.00,19403.35,0.83,0.00,0.00
with_index_insert,6,4,6832.59,20499.27,0.00,0.00,20499.27,0.77,0.00,0.00
with_index_insert,8,4,6510.69,19531.07,0.00,0.00,19531.07,0.80,0.00,0.00
with_index_insert,10,4,6595.49,19785.96,0.00,0.00,19785.96,0.80,0.00,0.00
with_index_insert,12,4,6613.86,19842.09,0.00,0.00,19842.09,0.81,0.00,0.00
with_index_insert,14,4,6591.12,19772.36,0.00,0.00,19772.36,0.80,0.00,0.00
with_index_insert,16,4,6507.78,19525.84,0.00,0.00,19525.84,0.81,0.00,0.00
with_index_insert,18,4,6714.71,20142.12,0.00,0.00,20142.12,0.77,0.00,0.00
with_index_select,2,4,4146.09,12439.77,12439.77,0.00,0.00,1.23,0.00,0.00
with_index_select,4,4,4185.18,12557.05,12557.05,0.00,0.00,1.23,0.00,0.00
with_index_select,6,4,4314.02,12939.55,12939.55,0.00,0.00,1.21,0.00,0.00
with_index_select,8,4,4185.49,12558.97,12558.97,0.00,0.00,1.23,0.00,0.00
with_index_select,10,4,4202.52,12606.55,12606.55,0.00,0.00,1.23,0.00,0.00
with_index_select,12,4,4134.97,12405.92,12405.92,0.00,0.00,1.27,0.00,0.00
with_index_select,14,4,4183.58,12550.75,12550.75,0.00,0.00,1.23,0.00,0.00
with_index_select,16,4,4175.41,12525.23,12525.23,0.00,0.00,1.23,0.00,0.00
with_index_select,18,4,4197.02,12591.57,12591.57,0.00,0.00,1.21,0.00,0.00
