Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_insert,2,4,6189.67,18571.02,0.00,0.00,18571.02,0.86,0.00,0.00
with_index_insert,4,4,5519.59,16560.28,0.00,0.00,16560.28,1.03,0.00,0.00
with_index_insert,6,4,5917.75,17750.74,0.00,0.00,17750.74,0.94,0.00,0.00
with_index_insert,8,4,6187.25,18563.25,0.00,0.00,18563.25,0.86,0.00,0.00
with_index_insert,10,4,6272.88,18818.13,0.00,0.00,18818.13,0.86,0.00,0.00
with_index_insert,12,4,6375.00,19125.01,0.00,0.00,19125.01,0.84,0.00,0.00
with_index_insert,14,4,6293.65,18880.44,0.00,0.00,18880.44,0.84,0.00,0.00
with_index_insert,16,4,6210.45,18632.36,0.00,0.00,18632.36,0.87,0.00,0.00
with_index_insert,18,4,6221.66,18664.47,0.00,0.00,18664.47,0.86,0.00,0.00
with_index_select,2,4,4070.78,12213.33,12213.33,0.00,0.00,1.27,0.00,0.00
with_index_select,4,4,4096.60,12289.80,12289.80,0.00,0.00,1.30,0.00,0.00
with_index_select,6,4,4134.50,12403.00,12403.00,0.00,0.00,1.27,0.00,0.00
with_index_select,8,4,4089.02,12269.55,12269.55,0.00,0.00,1.32,0.00,0.00
with_index_select,10,4,4112.50,12336.99,12336.99,0.00,0.00,1.27,0.00,0.00
with_index_select,12,4,4121.42,12365.27,12365.27,0.00,0.00,1.30,0.00,0.00
with_index_select,14,4,4122.07,12364.71,12364.71,0.00,0.00,1.27,0.00,0.00
with_index_select,16,4,4142.50,12427.51,12427.51,0.00,0.00,1.30,0.00,0.00
with_index_select,18,4,4163.80,12491.90,12491.90,0.00,0.00,1.25,0.00,0.00
