Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_10,2,4,3997.70,14820.85,11312.89,1357.40,2150.56,35.09,168.93,0.00,3507.96
with_index_10,4,4,4028.08,14669.13,11462.16,1253.68,1953.28,45.51,152.52,0.00,3206.97
with_index_10,6,4,4047.52,14991.58,11473.56,1380.51,2137.52,38.23,176.50,0.00,3518.02
with_index_10,8,4,4063.50,15018.07,11524.50,1346.53,2147.05,40.28,178.00,0.00,3493.57
with_index_10,10,4,4090.50,15164.45,11604.50,1401.98,2157.97,38.88,176.50,0.00,3559.95
with_index_10,12,4,4123.01,15329.48,11644.04,1405.98,2279.46,34.44,169.50,0.00,3685.44
with_index_10,14,4,4108.49,15254.68,11627.95,1392.09,2234.64,37.56,176.01,0.00,3626.73
with_index_10,16,4,4120.00,15299.00,11628.51,1376.50,2294.00,35.04,167.00,0.00,3670.49
with_index_10,18,4,4105.52,15286.85,11593.58,1365.42,2327.86,35.02,172.49,0.00,3693.27
with_index_50,2,4,3608.37,14430.00,10661.66,1422.38,2345.97,118.22,73.97,0.00,3768.34
with_index_50,4,4,3583.05,14494.92,10577.12,1320.77,2597.03,114.14,82.02,0.00,3917.80
with_index_50,6,4,3676.49,14816.77,10865.48,1473.42,2477.87,129.23,82.50,0.00,3951.29
with_index_50,8,4,3667.00,14679.39,10839.01,1424.46,2415.93,126.94,62.50,0.00,3840.38
with_index_50,10,4,3672.99,14703.52,10852.46,1328.02,2523.04,149.00,69.50,0.00,3851.06
with_index_50,12,4,3668.55,14686.67,10832.16,1501.00,2353.50,124.70,71.00,0.00,3854.51
with_index_50,14,4,3658.45,14976.86,10793.85,1367.00,2816.01,120.34,77.00,0.00,4183.01
with_index_50,16,4,3666.04,14749.10,10818.12,1333.99,2596.99,131.55,61.00,0.00,3930.98
with_index_50,18,4,3669.11,14797.85,10838.33,1377.01,2582.51,118.22,74.00,0.00,3959.52
without_index_10,2,4,4140.13,14945.77,11801.66,1100.01,2044.10,38.19,153.93,0.00,3144.11
without_index_10,4,4,4175.17,14971.95,11938.40,1106.20,1927.35,40.95,152.03,0.00,3033.55
without_index_10,6,4,4221.04,15177.55,12038.64,1096.47,2042.44,35.60,161.00,0.00,3138.91
without_index_10,8,4,4193.53,15090.24,11969.55,1108.07,2012.62,37.54,158.51,0.00,3120.69
without_index_10,10,4,4217.95,15137.71,12053.89,1138.44,1945.39,38.83,156.99,0.00,3083.82
without_index_10,12,4,4229.54,15157.17,12067.59,1090.53,1999.05,34.42,144.00,0.00,3089.58
without_index_10,14,4,4263.00,15243.53,12178.99,1097.01,1967.53,36.84,148.50,0.00,3064.54
without_index_10,16,4,4282.45,15256.84,12256.35,1148.00,1852.49,38.14,149.00,0.00,3000.49
without_index_10,18,4,4253.07,15197.14,12155.75,1152.96,1888.43,37.49,145.99,0.00,3041.39
without_index_50,2,4,3496.47,13574.94,10346.96,1167.45,2060.53,122.52,59.97,0.00,3227.98
without_index_50,4,4,3493.06,13659.73,10310.16,1048.18,2301.39,110.18,59.01,0.00,3349.57
without_index_50,6,4,3513.50,13772.63,10365.01,1003.54,2404.09,81.53,65.00,0.00,3407.62
without_index_50,8,4,3558.00,13808.05,10516.49,1220.52,2071.04,146.44,51.50,0.00,3291.56
without_index_50,10,4,3525.56,13787.52,10407.18,1012.45,2367.88,118.27,66.00,0.00,3380.34
without_index_50,12,4,3512.45,13792.11,10366.84,1029.43,2395.84,112.13,60.50,0.00,3425.27
without_index_50,14,4,3578.48,13865.30,10569.42,995.62,2300.27,112.10,56.51,0.00,3295.88
without_index_50,16,4,3498.47,13601.24,10340.90,1078.95,2181.40,120.42,63.50,0.00,3260.34
without_index_50,18,4,3522.56,13747.45,10409.67,1114.59,2223.18,120.39,60.51,0.00,3337.78
