Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_10,1,1,1614.52,5822.66,4520.87,1082.99,218.80,12.40,0.00,0.00,1301.79
with_index_10,2,1,1636.75,5876.49,4585.17,1076.26,215.05,12.18,0.00,0.00,1291.32
with_index_10,3,1,1632.00,5859.96,4575.99,1069.98,214.00,12.18,0.00,0.00,1283.97
with_index_10,4,1,1672.98,6025.91,4686.94,1115.98,223.00,10.79,0.00,0.00,1338.97
with_index_10,5,1,1594.03,5742.11,4461.05,1067.05,214.01,11.79,0.00,0.00,1281.06
with_index_10,6,1,1547.93,5577.72,4330.81,1038.92,207.98,13.05,0.00,0.00,1246.91
with_index_10,7,1,1598.92,5736.75,4480.75,1047.00,209.00,11.98,0.00,0.00,1256.00
with_index_10,8,1,1648.17,5931.54,4617.47,1095.06,219.01,11.77,0.00,0.00,1314.07
with_index_40,1,1,1491.66,5470.46,4402.08,1015.46,52.92,49.96,0.00,0.00,1068.38
with_index_40,2,1,1495.65,5529.58,4404.88,1070.67,54.03,41.12,0.00,0.00,1124.70
with_index_40,3,1,1508.99,5577.92,4445.98,1077.94,54.00,43.36,0.00,0.00,1131.94
with_index_40,4,1,1497.01,5537.09,4409.04,1075.05,53.00,43.36,0.00,0.00,1128.05
with_index_40,5,1,1509.00,5594.01,4447.01,1092.00,55.00,44.13,0.00,0.00,1147.00
with_index_40,6,1,1518.01,5650.03,4471.03,1123.00,56.00,40.39,0.00,0.00,1179.00
with_index_40,7,1,1477.00,5532.03,4346.01,1130.02,56.00,41.85,0.00,0.00,1186.02
with_index_40,8,1,1509.01,5609.06,4443.03,1110.03,56.00,40.40,0.00,0.00,1166.03
without_index_10,1,1,1653.65,5948.15,4635.23,1092.10,220.82,12.17,0.00,0.00,1312.92
without_index_10,2,1,1693.56,6030.09,4764.57,1055.43,210.09,12.14,0.00,0.00,1265.52
without_index_10,3,1,1652.00,5952.96,4624.02,1106.95,221.99,11.37,0.00,0.00,1328.94
without_index_10,4,1,1694.01,6073.01,4751.02,1101.99,220.00,11.54,0.00,0.00,1321.99
without_index_10,5,1,1661.93,5954.86,4662.80,1076.05,216.01,12.40,0.00,0.00,1292.06
without_index_10,6,1,1672.06,6008.15,4686.19,1101.97,219.99,11.76,0.00,0.00,1321.96
without_index_10,7,1,1700.02,6075.05,4777.05,1082.00,216.00,11.34,0.00,0.00,1298.00
without_index_40,1,1,1485.93,5500.80,4379.85,1066.00,54.95,41.10,0.00,0.00,1120.95
without_index_40,2,1,1515.38,5588.64,4467.12,1067.50,54.03,43.33,0.00,0.00,1121.52
without_index_40,3,1,1502.06,5544.21,4423.18,1067.03,54.00,43.36,0.00,0.00,1121.03
without_index_40,4,1,1482.84,5511.52,4367.53,1089.99,54.00,44.14,0.00,0.00,1143.99
without_index_40,5,1,1507.14,5603.41,4438.41,1109.00,56.00,41.12,0.00,0.00,1165.00
without_index_40,6,1,1473.84,5522.47,4337.53,1128.95,56.00,40.42,0.00,0.00,1184.94
without_index_40,7,1,1484.09,5584.28,4366.26,1160.02,58.00,39.02,0.00,0.00,1218.02
