Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,1,1,107.90,1301.79,0.00,1082.99,218.80,11.65,0.00,0.00
with_index_10_insert,2,1,108.03,1291.32,0.00,1076.26,215.05,11.45,0.00,0.00
with_index_10_insert,3,1,107.00,1283.97,0.00,1069.98,214.00,11.45,0.00,0.00
with_index_10_insert,4,1,111.00,1338.97,0.00,1115.98,223.00,10.09,0.00,0.00
with_index_10_insert,5,1,107.01,1281.06,0.00,1067.05,214.01,11.04,0.00,0.00
with_index_10_insert,6,1,103.99,1246.91,0.00,1038.92,207.98,12.30,0.00,0.00
with_index_10_insert,7,1,105.00,1256.00,0.00,1047.00,209.00,11.24,0.00,0.00
with_index_10_insert,8,1,109.01,1314.07,0.00,1095.06,219.01,11.04,0.00,0.00
with_index_10_select,1,1,1506.62,4520.87,4520.87,0.00,0.00,0.75,0.00,0.00
with_index_10_select,2,1,1528.72,4585.17,4585.17,0.00,0.00,0.73,0.00,0.00
with_index_10_select,3,1,1525.00,4575.99,4575.99,0.00,0.00,0.73,0.00,0.00
with_index_10_select,4,1,1561.98,4686.94,4686.94,0.00,0.00,0.70,0.00,0.00
with_index_10_select,5,1,1487.02,4461.05,4461.05,0.00,0.00,0.75,0.00,0.00
with_index_10_select,6,1,1443.94,4330.81,4330.81,0.00,0.00,0.75,0.00,0.00
with_index_10_select,7,1,1493.92,4480.75,4480.75,0.00,0.00,0.74,0.00,0.00
with_index_10_select,8,1,1539.16,4617.47,4617.47,0.00,0.00,0.73,0.00,0.00
with_index_40_insert,1,1,24.96,1068.38,0.00,1015.46,52.92,49.21,0.00,0.00
with_index_40_insert,2,1,27.02,1124.70,0.00,1070.67,54.03,40.37,0.00,0.00
with_index_40_insert,3,1,27.00,1131.94,0.00,1077.94,54.00,42.61,0.00,0.00
with_index_40_insert,4,1,27.00,1128.05,0.00,1075.05,53.00,42.61,0.00,0.00
with_index_40_insert,5,1,27.00,1147.00,0.00,1092.00,55.00,43.39,0.00,0.00
with_index_40_insert,6,1,28.00,1179.00,0.00,1123.00,56.00,39.65,0.00,0.00
with_index_40_insert,7,1,28.00,1186.02,0.00,1130.02,56.00,41.10,0.00,0.00
with_index_40_insert,8,1,28.00,1166.03,0.00,1110.03,56.00,39.65,0.00,0.00
with_index_40_select,1,1,1466.70,4402.08,4402.08,0.00,0.00,0.75,0.00,0.00
with_index_40_select,2,1,1468.63,4404.88,4404.88,0.00,0.00,0.75,0.00,0.00
with_index_40_select,3,1,1481.99,4445.98,4445.98,0.00,0.00,0.75,0.00,0.00
with_index_40_select,4,1,1470.01,4409.04,4409.04,0.00,0.00,0.75,0.00,0.00
with_index_40_select,5,1,1482.00,4447.01,4447.01,0.00,0.00,0.74,0.00,0.00
with_index_40_select,6,1,1490.01,4471.03,4471.03,0.00,0.00,0.74,0.00,0.00
with_index_40_select,7,1,1449.00,4346.01,4346.01,0.00,0.00,0.75,0.00,0.00
with_index_40_select,8,1,1481.01,4443.03,4443.03,0.00,0.00,0.75,0.00,0.00
without_index_10_insert,1,1,108.91,1312.92,0.00,1092.10,220.82,11.45,0.00,0.00
without_index_10_insert,2,1,105.04,1265.52,0.00,1055.43,210.09,11.45,0.00,0.00
without_index_10_insert,3,1,110.99,1328.94,0.00,1106.95,221.99,10.65,0.00,0.00
without_index_10_insert,4,1,110.00,1321.99,0.00,1101.99,220.00,10.84,0.00,0.00
without_index_10_insert,5,1,108.00,1292.06,0.00,1076.05,216.01,11.65,0.00,0.00
without_index_10_insert,6,1,110.00,1321.96,0.00,1101.97,219.99,11.04,0.00,0.00
without_index_10_insert,7,1,108.00,1298.00,0.00,1082.00,216.00,10.65,0.00,0.00
without_index_10_insert,8,1,106.00,1268.04,0.00,1056.03,212.01,11.24,0.00,0.00
without_index_10_select,1,1,1544.74,4635.23,4635.23,0.00,0.00,0.72,0.00,0.00
without_index_10_select,2,1,1588.52,4764.57,4764.57,0.00,0.00,0.69,0.00,0.00
without_index_10_select,3,1,1541.01,4624.02,4624.02,0.00,0.00,0.72,0.00,0.00
without_index_10_select,4,1,1584.01,4751.02,4751.02,0.00,0.00,0.70,0.00,0.00
without_index_10_select,5,1,1553.93,4662.80,4662.80,0.00,0.00,0.75,0.00,0.00
without_index_10_select,6,1,1562.06,4686.19,4686.19,0.00,0.00,0.72,0.00,0.00
without_index_10_select,7,1,1592.02,4777.05,4777.05,0.00,0.00,0.69,0.00,0.00
without_index_40_insert,1,1,25.98,1120.95,0.00,1066.00,54.95,40.37,0.00,0.00
without_index_40_insert,2,1,27.01,1121.52,0.00,1067.50,54.03,42.61,0.00,0.00
without_index_40_insert,3,1,27.00,1121.03,0.00,1067.03,54.00,42.61,0.00,0.00
without_index_40_insert,4,1,27.00,1143.99,0.00,1089.99,54.00,43.39,0.00,0.00
without_index_40_insert,5,1,28.00,1165.00,0.00,1109.00,56.00,40.37,0.00,0.00
without_index_40_insert,6,1,28.00,1184.94,0.00,1128.95,56.00,39.65,0.00,0.00
without_index_40_insert,7,1,29.00,1218.02,0.00,1160.02,58.00,38.25,0.00,0.00
without_index_40_insert,8,1,28.00,1168.03,0.00,1112.03,56.00,39.65,0.00,0.00
without_index_40_select,1,1,1459.95,4379.85,4379.85,0.00,0.00,0.73,0.00,0.00
without_index_40_select,2,1,1488.37,4467.12,4467.12,0.00,0.00,0.72,0.00,0.00
without_index_40_select,3,1,1475.06,4423.18,4423.18,0.00,0.00,0.75,0.00,0.00
without_index_40_select,4,1,1455.84,4367.53,4367.53,0.00,0.00,0.75,0.00,0.00
without_index_40_select,5,1,1479.14,4438.41,4438.41,0.00,0.00,0.75,0.00,0.00
without_index_40_select,6,1,1445.84,4337.53,4337.53,0.00,0.00,0.77,0.00,0.00
without_index_40_select,7,1,1455.09,4366.26,4366.26,0.00,0.00,0.77,0.00,0.00
