Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_10,1,1,1606.86,5582.92,4570.83,841.24,170.85,14.69,0.00,0.00,1012.09
with_index_10,2,1,1609.41,5579.56,4578.14,835.35,166.07,16.32,0.00,0.00,1001.42
with_index_10,3,1,1608.98,5622.96,4560.94,884.02,178.00,14.94,0.00,0.00,1062.02
with_index_10,4,1,1636.00,5702.04,4641.99,884.04,176.01,15.18,0.00,0.00,1060.05
with_index_10,5,1,1585.86,5531.54,4501.58,857.97,171.99,14.68,0.00,0.00,1029.96
with_index_10,6,1,1572.12,5484.35,4456.35,857.00,171.00,16.56,0.00,0.00,1028.00
with_index_10,7,1,1621.98,5677.93,4595.94,900.99,181.00,14.69,0.00,0.00,1081.99
with_index_50,1,1,1513.88,5426.89,4488.66,899.26,38.97,60.72,0.00,0.00,938.23
with_index_50,2,1,1483.38,5390.48,4393.11,959.36,38.01,60.74,0.00,0.00,997.37
with_index_50,3,1,1519.97,5432.94,4505.90,891.04,36.00,64.06,0.00,0.00,927.04
with_index_50,4,1,1527.06,5727.05,4512.17,1168.88,46.00,49.95,0.00,0.00,1214.88
with_index_50,5,1,1518.00,5700.08,4484.00,1170.08,46.00,49.06,0.00,0.00,1216.08
with_index_50,6,1,1502.98,5602.93,4441.95,1114.98,46.00,49.09,0.00,0.00,1160.98
with_index_50,7,1,1494.95,5561.85,4417.84,1100.01,44.00,54.60,0.00,0.00,1144.01
without_index_10,1,1,1672.78,5879.57,4734.57,952.17,192.83,13.45,0.00,0.00,1145.00
without_index_10,2,1,1670.41,5876.57,4722.10,962.39,192.08,13.02,0.00,0.00,1154.47
without_index_10,3,1,1659.06,5825.20,4696.19,941.01,188.00,14.67,0.00,0.00,1129.01
without_index_10,4,1,1675.98,5844.92,4754.93,907.99,182.00,14.18,0.00,0.00,1089.99
without_index_10,5,1,1675.03,5846.06,4753.09,910.98,182.00,14.40,0.00,0.00,1092.97
without_index_10,6,1,1684.00,5911.05,4762.98,956.05,192.01,13.70,0.00,0.00,1148.07
without_index_10,7,1,1695.97,5948.86,4799.91,957.96,190.99,13.92,0.00,0.00,1148.95
without_index_50,1,1,1444.72,5297.29,4277.22,979.11,40.96,56.59,0.00,0.00,1020.07
without_index_50,2,1,1467.62,5358.29,4342.83,975.44,40.02,59.69,0.00,0.00,1015.46
without_index_50,3,1,1459.95,5293.85,4327.84,930.01,36.00,64.09,0.00,0.00,966.01
without_index_50,4,1,1456.97,5265.98,4313.91,915.07,37.00,62.96,0.00,0.00,952.07
without_index_50,5,1,1430.09,5264.23,4233.27,991.96,39.00,58.65,0.00,0.00,1030.96
without_index_50,6,1,1474.99,5397.90,4362.98,994.93,40.00,55.58,0.00,0.00,1034.92
without_index_50,7,1,1442.03,5315.11,4266.08,1009.03,40.00,56.59,0.00,0.00,1049.03
without_index_50,8,1,1452.91,5515.70,4286.74,1180.96,48.00,47.41,0.00,0.00,1228.96
