Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,1,1,83.92,1012.09,0.00,841.24,170.85,13.95,0.00,0.00
with_index_10_insert,2,1,83.03,1001.42,0.00,835.35,166.07,15.55,0.00,0.00
with_index_10_insert,3,1,89.00,1062.02,0.00,884.02,178.00,14.21,0.00,0.00
with_index_10_insert,4,1,88.00,1060.05,0.00,884.04,176.01,14.46,0.00,0.00
with_index_10_insert,5,1,86.00,1029.96,0.00,857.97,171.99,13.95,0.00,0.00
with_index_10_insert,6,1,86.00,1028.00,0.00,857.00,171.00,15.83,0.00,0.00
with_index_10_insert,7,1,90.00,1081.99,0.00,900.99,181.00,13.95,0.00,0.00
with_index_10_insert,8,1,89.01,1067.06,0.00,889.05,178.01,13.70,0.00,0.00
with_index_10_select,1,1,1522.94,4570.83,4570.83,0.00,0.00,0.74,0.00,0.00
with_index_10_select,2,1,1526.38,4578.14,4578.14,0.00,0.00,0.77,0.00,0.00
with_index_10_select,3,1,1519.98,4560.94,4560.94,0.00,0.00,0.73,0.00,0.00
with_index_10_select,4,1,1548.00,4641.99,4641.99,0.00,0.00,0.72,0.00,0.00
with_index_10_select,5,1,1499.86,4501.58,4501.58,0.00,0.00,0.73,0.00,0.00
with_index_10_select,6,1,1486.12,4456.35,4456.35,0.00,0.00,0.73,0.00,0.00
with_index_10_select,7,1,1531.98,4595.94,4595.94,0.00,0.00,0.74,0.00,0.00
with_index_50_insert,1,1,17.99,938.23,0.00,899.26,38.97,59.99,0.00,0.00
with_index_50_insert,2,1,19.01,997.37,0.00,959.36,38.01,59.99,0.00,0.00
with_index_50_insert,3,1,18.00,927.04,0.00,891.04,36.00,63.32,0.00,0.00
with_index_50_insert,4,1,23.00,1214.88,0.00,1168.88,46.00,49.21,0.00,0.00
with_index_50_insert,5,1,23.00,1216.08,0.00,1170.08,46.00,48.34,0.00,0.00
with_index_50_insert,6,1,23.00,1160.98,0.00,1114.98,46.00,48.34,0.00,0.00
with_index_50_insert,7,1,22.00,1144.01,0.00,1100.01,44.00,53.85,0.00,0.00
with_index_50_insert,8,1,21.00,1108.94,0.00,1066.94,42.00,51.94,0.00,0.00
with_index_50_select,1,1,1495.89,4488.66,4488.66,0.00,0.00,0.73,0.00,0.00
with_index_50_select,2,1,1464.37,4393.11,4393.11,0.00,0.00,0.75,0.00,0.00
with_index_50_select,3,1,1501.97,4505.90,4505.90,0.00,0.00,0.74,0.00,0.00
with_index_50_select,4,1,1504.06,4512.17,4512.17,0.00,0.00,0.74,0.00,0.00
with_index_50_select,5,1,1495.00,4484.00,4484.00,0.00,0.00,0.72,0.00,0.00
with_index_50_select,6,1,1479.98,4441.95,4441.95,0.00,0.00,0.75,0.00,0.00
with_index_50_select,7,1,1472.95,4417.84,4417.84,0.00,0.00,0.75,0.00,0.00
without_index_10_insert,1,1,94.92,1145.00,0.00,952.17,192.83,12.75,0.00,0.00
without_index_10_insert,2,1,96.04,1154.47,0.00,962.39,192.08,12.30,0.00,0.00
without_index_10_insert,3,1,94.00,1129.01,0.00,941.01,188.00,13.95,0.00,0.00
without_index_10_insert,4,1,91.00,1089.99,0.00,907.99,182.00,13.46,0.00,0.00
without_index_10_insert,5,1,91.00,1092.97,0.00,910.98,182.00,13.70,0.00,0.00
without_index_10_insert,6,1,96.01,1148.07,0.00,956.05,192.01,12.98,0.00,0.00
without_index_10_insert,7,1,96.00,1148.95,0.00,957.96,190.99,13.22,0.00,0.00
without_index_10_insert,8,1,94.01,1130.07,0.00,941.05,189.01,13.70,0.00,0.00
without_index_10_select,1,1,1577.86,4734.57,4734.57,0.00,0.00,0.70,0.00,0.00
without_index_10_select,2,1,1574.37,4722.10,4722.10,0.00,0.00,0.72,0.00,0.00
without_index_10_select,3,1,1565.06,4696.19,4696.19,0.00,0.00,0.72,0.00,0.00
without_index_10_select,4,1,1584.98,4754.93,4754.93,0.00,0.00,0.72,0.00,0.00
without_index_10_select,5,1,1584.03,4753.09,4753.09,0.00,0.00,0.70,0.00,0.00
without_index_10_select,6,1,1587.99,4762.98,4762.98,0.00,0.00,0.72,0.00,0.00
without_index_10_select,7,1,1599.97,4799.91,4799.91,0.00,0.00,0.70,0.00,0.00
without_index_50_insert,1,1,18.98,1020.07,0.00,979.11,40.96,55.82,0.00,0.00
without_index_50_insert,2,1,20.01,1015.46,0.00,975.44,40.02,58.92,0.00,0.00
without_index_50_insert,3,1,18.00,966.01,0.00,930.01,36.00,63.32,0.00,0.00
without_index_50_insert,4,1,19.00,952.07,0.00,915.07,37.00,62.19,0.00,0.00
without_index_50_insert,5,1,19.00,1030.96,0.00,991.96,39.00,57.87,0.00,0.00
without_index_50_insert,6,1,20.00,1034.92,0.00,994.93,40.00,54.83,0.00,0.00
without_index_50_insert,7,1,20.00,1049.03,0.00,1009.03,40.00,55.82,0.00,0.00
without_index_50_insert,8,1,24.00,1228.96,0.00,1180.96,48.00,46.63,0.00,0.00
without_index_50_select,1,1,1425.74,4277.22,4277.22,0.00,0.00,0.77,0.00,0.00
without_index_50_select,2,1,1447.61,4342.83,4342.83,0.00,0.00,0.77,0.00,0.00
without_index_50_select,3,1,1441.95,4327.84,4327.84,0.00,0.00,0.77,0.00,0.00
without_index_50_select,4,1,1437.97,4313.91,4313.91,0.00,0.00,0.77,0.00,0.00
without_index_50_select,5,1,1411.09,4233.27,4233.27,0.00,0.00,0.78,0.00,0.00
without_index_50_select,6,1,1454.99,4362.98,4362.98,0.00,0.00,0.75,0.00,0.00
without_index_50_select,7,1,1422.03,4266.08,4266.08,0.00,0.00,0.77,0.00,0.00
without_index_50_select,8,1,1428.91,4286.74,4286.74,0.00,0.00,0.78,0.00,0.00
