Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_10,1,1,1588.87,5506.03,4523.80,817.36,164.87,15.46,0.00,0.00,982.23
with_index_10,2,1,1621.22,5639.91,4604.57,862.28,173.06,14.94,0.00,0.00,1035.34
with_index_10,3,1,1619.15,5614.42,4604.45,840.98,169.00,15.19,0.00,0.00,1009.97
with_index_10,4,1,1509.99,5260.98,4285.98,813.00,162.00,16.87,0.00,0.00,975.00
with_index_10,5,1,1499.85,5267.58,4245.56,852.01,170.00,16.02,0.00,0.00,1022.02
with_index_10,6,1,1603.06,5581.14,4552.19,856.96,171.99,15.19,0.00,0.00,1028.95
with_index_10,7,1,1633.13,5714.43,4629.40,905.02,180.00,13.68,0.00,0.00,1085.03
with_index_10,8,1,1581.82,5520.50,4482.47,864.03,174.01,14.69,0.00,0.00,1038.03
with_index_50,1,1,1476.89,5170.04,4386.70,750.37,32.97,77.94,0.00,0.00,783.34
with_index_50,2,1,1484.41,5213.49,4407.21,776.27,30.01,71.30,0.00,0.00,806.28
with_index_50,3,1,1460.87,5244.55,4328.60,879.95,36.00,61.85,0.00,0.00,915.95
with_index_50,4,1,1478.14,5339.47,4382.42,921.05,36.00,59.67,0.00,0.00,957.05
with_index_50,5,1,1482.93,5310.78,4392.80,881.98,36.00,61.83,0.00,0.00,917.98
with_index_50,6,1,1459.92,5246.75,4328.77,883.98,34.00,62.99,0.00,0.00,917.98
with_index_50,7,1,1457.11,5192.36,4321.32,837.04,34.00,66.43,0.00,0.00,871.04
with_index_50,8,1,1474.94,5225.83,4373.81,819.02,33.00,67.59,0.00,0.00,852.02
without_index_10,1,1,1626.68,5672.38,4619.25,876.27,176.85,15.72,0.00,0.00,1053.13
without_index_10,2,1,1660.60,5777.12,4715.72,883.33,178.07,15.72,0.00,0.00,1061.40
without_index_10,3,1,1655.04,5724.15,4713.12,843.03,168.01,15.18,0.00,0.00,1011.03
without_index_10,4,1,1649.99,5750.92,4682.97,889.96,177.99,14.42,0.00,0.00,1067.95
without_index_10,5,1,1695.89,6089.64,4753.67,1113.97,221.99,12.35,0.00,0.00,1335.97
without_index_10,6,1,1682.18,6044.54,4714.53,1108.01,222.00,12.17,0.00,0.00,1330.01
without_index_10,7,1,1662.94,5978.79,4658.83,1099.97,219.99,11.76,0.00,0.00,1319.96
without_index_10,8,1,1671.05,5969.13,4695.14,1061.99,212.00,12.17,0.00,0.00,1273.99
without_index_50,1,1,1428.98,5121.20,4240.96,845.27,34.97,70.06,0.00,0.00,880.24
without_index_50,2,1,1427.41,5143.51,4228.20,879.30,36.01,68.83,0.00,0.00,915.31
without_index_50,3,1,1447.97,5191.95,4292.90,865.05,34.00,66.43,0.00,0.00,899.05
without_index_50,4,1,1461.02,5132.08,4335.05,765.03,32.00,70.02,0.00,0.00,797.03
without_index_50,5,1,1418.98,4987.93,4211.95,745.98,30.00,75.26,0.00,0.00,775.98
without_index_50,6,1,1442.03,5130.07,4277.10,820.98,32.00,65.25,0.00,0.00,852.97
without_index_50,7,1,1433.01,5058.04,4254.03,774.01,30.00,70.07,0.00,0.00,804.01
without_index_50,8,1,1434.97,5086.90,4255.91,798.99,32.00,70.07,0.00,0.00,830.99
