Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_10,1,1,1590.87,5353.12,4582.75,639.48,130.89,20.73,0.00,0.00,770.37
with_index_10,2,1,1619.38,5450.37,4659.08,660.24,131.05,21.09,0.00,0.00,791.29
with_index_10,3,1,1617.00,5443.99,4651.99,660.00,132.00,19.68,0.00,0.00,792.00
with_index_10,4,1,1597.02,5377.07,4601.05,647.02,129.00,21.47,0.00,0.00,776.02
with_index_10,5,1,1632.91,5467.70,4706.77,632.94,127.99,19.99,0.00,0.00,760.93
with_index_10,6,1,1642.09,5502.32,4732.26,642.05,128.01,19.96,0.00,0.00,770.06
with_index_10,7,1,1599.01,5336.03,4618.03,598.00,120.00,20.73,0.00,0.00,718.00
with_index_10,8,1,1623.82,5492.46,4663.46,691.00,138.00,18.04,0.00,0.00,829.00
with_index_40,1,1,1515.81,5183.87,4500.47,648.43,34.97,70.03,0.00,0.00,683.40
with_index_40,2,1,1527.55,5259.94,4531.62,694.30,34.01,66.39,0.00,0.00,728.32
with_index_40,3,1,1535.92,5278.76,4556.77,687.99,34.00,68.78,0.00,0.00,721.99
with_index_40,4,1,1554.05,5243.15,4617.16,595.99,30.00,73.82,0.00,0.00,625.99
with_index_40,5,1,1502.03,5148.10,4455.08,659.02,34.00,70.03,0.00,0.00,693.02
with_index_40,6,1,1512.86,5111.56,4495.59,587.97,28.00,80.77,0.00,0.00,615.97
with_index_40,7,1,1532.99,5187.97,4553.96,604.01,30.00,75.20,0.00,0.00,634.01
without_index_10,1,1,1642.79,5471.97,4749.53,599.54,122.90,20.70,0.00,0.00,722.44
without_index_10,2,1,1642.42,5564.45,4716.20,708.21,140.04,19.67,0.00,0.00,848.25
without_index_10,3,1,1628.02,5526.01,4668.06,713.96,143.99,20.72,0.00,0.00,857.95
without_index_10,4,1,1645.00,5525.06,4739.97,655.07,130.01,20.70,0.00,0.00,785.09
without_index_10,5,1,1627.02,5389.01,4711.05,563.97,113.99,25.10,0.00,0.00,677.96
without_index_10,6,1,1635.97,5516.90,4707.92,674.98,134.00,19.00,0.00,0.00,808.98
without_index_10,7,1,1648.02,5605.11,4722.06,735.04,148.01,18.98,0.00,0.00,883.05
without_index_10,8,1,1672.93,5612.75,4819.82,660.94,131.99,19.29,0.00,0.00,792.93
without_index_40,1,1,1472.80,5069.87,4370.44,664.46,34.97,71.30,0.00,0.00,699.43
without_index_40,2,1,1469.51,4999.73,4365.50,604.21,30.01,80.80,0.00,0.00,634.23
without_index_40,3,1,1507.89,5140.69,4475.68,633.01,32.00,72.56,0.00,0.00,665.01
without_index_40,4,1,1463.06,5023.15,4341.18,649.97,32.00,70.10,0.00,0.00,681.97
without_index_40,5,1,1493.08,5158.25,4423.23,699.02,36.00,65.24,0.00,0.00,735.02
without_index_40,6,1,1478.87,5067.60,4390.60,645.00,32.00,71.30,0.00,0.00,677.00
without_index_40,7,1,1510.13,5208.39,4478.40,695.99,34.00,67.57,0.00,0.00,729.99
without_index_40,8,1,1488.92,5280.75,4402.76,835.99,42.00,60.74,0.00,0.00,877.99
