Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,1,1,84.93,1028.15,0.00,855.29,172.86,15.55,0.00,0.00
with_index_10_insert,2,1,87.03,1045.36,0.00,871.30,174.06,13.22,0.00,0.00
with_index_10_insert,3,1,85.00,1019.03,0.00,849.02,170.01,14.73,0.00,0.00
with_index_10_insert,4,1,85.00,1020.00,0.00,850.00,170.00,14.21,0.00,0.00
with_index_10_insert,5,1,85.00,1017.98,0.00,847.98,170.00,14.73,0.00,0.00
with_index_10_insert,6,1,83.00,998.98,0.00,832.98,166.00,16.41,0.00,0.00
with_index_10_insert,7,1,88.00,1056.01,0.00,880.01,176.00,14.21,0.00,0.00
with_index_10_insert,8,1,86.00,1031.00,0.00,859.00,172.00,13.70,0.00,0.00
with_index_10_select,1,1,1481.90,4445.71,4445.71,0.00,0.00,0.74,0.00,0.00
with_index_10_select,2,1,1483.41,4451.24,4451.24,0.00,0.00,0.73,0.00,0.00
with_index_10_select,3,1,1516.91,4551.72,4551.72,0.00,0.00,0.80,0.00,0.00
with_index_10_select,4,1,1529.94,4589.81,4589.81,0.00,0.00,0.73,0.00,0.00
with_index_10_select,5,1,1549.15,4646.45,4646.45,0.00,0.00,0.73,0.00,0.00
with_index_10_select,6,1,1531.97,4596.91,4596.91,0.00,0.00,0.73,0.00,0.00
with_index_10_select,7,1,1552.87,4657.62,4657.62,0.00,0.00,0.73,0.00,0.00
with_index_50_insert,1,1,15.99,869.22,0.00,834.25,34.97,71.83,0.00,0.00
with_index_50_insert,2,1,19.01,974.41,0.00,936.40,38.02,56.84,0.00,0.00
with_index_50_insert,3,1,17.00,874.04,0.00,840.04,34.00,64.47,0.00,0.00
with_index_50_insert,4,1,17.00,917.00,0.00,883.00,34.00,63.32,0.00,0.00
with_index_50_insert,5,1,17.00,865.01,0.00,831.01,34.00,64.47,0.00,0.00
with_index_50_insert,6,1,17.00,891.92,0.00,857.92,34.00,65.65,0.00,0.00
with_index_50_insert,7,1,17.00,876.03,0.00,842.03,34.00,68.05,0.00,0.00
with_index_50_insert,8,1,16.00,852.01,0.00,820.01,32.00,66.84,0.00,0.00
with_index_50_select,1,1,1434.03,4304.09,4304.09,0.00,0.00,0.77,0.00,0.00
with_index_50_select,2,1,1449.27,4346.81,4346.81,0.00,0.00,0.77,0.00,0.00
with_index_50_select,3,1,1446.01,4338.02,4338.02,0.00,0.00,0.77,0.00,0.00
with_index_50_select,4,1,1462.00,4385.01,4385.01,0.00,0.00,0.75,0.00,0.00
with_index_50_select,5,1,1440.00,4321.00,4321.00,0.00,0.00,0.77,0.00,0.00
with_index_50_select,6,1,1470.90,4412.69,4412.69,0.00,0.00,0.75,0.00,0.00
with_index_50_select,7,1,1456.13,4369.39,4369.39,0.00,0.00,0.75,0.00,0.00
with_index_50_select,8,1,1465.93,4397.79,4397.79,0.00,0.00,0.75,0.00,0.00
without_index_10_insert,1,1,83.93,1009.15,0.00,839.29,169.86,15.55,0.00,0.00
without_index_10_insert,2,1,82.03,993.41,0.00,828.34,165.07,15.27,0.00,0.00
without_index_10_insert,3,1,90.99,1091.93,0.00,909.94,181.99,12.75,0.00,0.00
without_index_10_insert,4,1,88.00,1051.99,0.00,875.99,176.00,14.46,0.00,0.00
without_index_10_insert,5,1,83.00,994.05,0.00,828.04,166.01,15.00,0.00,0.00
without_index_10_insert,6,1,84.00,1004.99,0.00,837.99,167.00,15.83,0.00,0.00
without_index_10_insert,7,1,86.00,1036.97,0.00,863.98,173.00,14.46,0.00,0.00
without_index_10_insert,8,1,92.00,1102.04,0.00,918.03,184.01,12.75,0.00,0.00
without_index_10_select,1,1,1570.85,4714.54,4714.54,0.00,0.00,0.72,0.00,0.00
without_index_10_select,2,1,1591.48,4774.43,4774.43,0.00,0.00,0.70,0.00,0.00
without_index_10_select,3,1,1518.80,4555.39,4555.39,0.00,0.00,0.73,0.00,0.00
without_index_10_select,4,1,1585.08,4756.24,4756.24,0.00,0.00,0.70,0.00,0.00
without_index_10_select,5,1,1585.06,4755.19,4755.19,0.00,0.00,0.72,0.00,0.00
without_index_10_select,6,1,1572.96,4717.87,4717.87,0.00,0.00,0.72,0.00,0.00
without_index_10_select,7,1,1573.06,4720.18,4720.18,0.00,0.00,0.72,0.00,0.00
without_index_10_select,8,1,1548.92,4646.75,4646.75,0.00,0.00,0.72,0.00,0.00
without_index_50_insert,1,1,16.99,899.23,0.00,862.26,36.97,62.19,0.00,0.00
without_index_50_insert,2,1,17.01,910.36,0.00,876.35,34.01,64.47,0.00,0.00
without_index_50_insert,3,1,17.00,873.01,0.00,839.01,34.00,64.47,0.00,0.00
without_index_50_insert,4,1,17.00,867.99,0.00,833.99,34.00,66.84,0.00,0.00
without_index_50_insert,5,1,17.00,898.00,0.00,864.00,34.00,63.32,0.00,0.00
without_index_50_insert,6,1,18.00,924.98,0.00,888.98,36.00,62.19,0.00,0.00
without_index_50_insert,7,1,19.00,1018.02,0.00,980.02,38.00,61.08,0.00,0.00
