Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,1,1,82.92,994.99,0.00,828.16,166.83,14.46,0.00,0.00
with_index_10_insert,2,1,85.05,1026.55,0.00,854.46,172.09,13.95,0.00,0.00
with_index_10_insert,3,1,89.00,1064.05,0.00,887.04,177.01,15.00,0.00,0.00
with_index_10_insert,4,1,88.99,1074.93,0.00,895.94,178.99,13.22,0.00,0.00
with_index_10_insert,5,1,89.00,1067.03,0.00,889.02,178.00,13.70,0.00,0.00
with_index_10_insert,6,1,93.00,1107.99,0.00,923.99,184.00,12.75,0.00,0.00
with_index_10_insert,7,1,90.00,1090.03,0.00,908.02,182.00,13.46,0.00,0.00
with_index_10_insert,8,1,93.00,1115.01,0.00,929.01,186.00,13.22,0.00,0.00
with_index_10_select,1,1,1514.94,4544.81,4544.81,0.00,0.00,0.73,0.00,0.00
with_index_10_select,2,1,1542.34,4627.01,4627.01,0.00,0.00,0.72,0.00,0.00
with_index_10_select,3,1,1485.03,4457.10,4457.10,0.00,0.00,0.74,0.00,0.00
with_index_10_select,4,1,1475.98,4426.93,4426.93,0.00,0.00,0.73,0.00,0.00
with_index_10_select,5,1,1547.03,4640.09,4640.09,0.00,0.00,0.74,0.00,0.00
with_index_10_select,6,1,1528.88,4586.64,4586.64,0.00,0.00,0.74,0.00,0.00
with_index_10_select,7,1,1558.13,4676.38,4676.38,0.00,0.00,0.72,0.00,0.00
with_index_10_select,8,1,1510.87,4532.61,4532.61,0.00,0.00,0.73,0.00,0.00
with_index_50_insert,1,1,16.98,929.10,0.00,892.14,36.96,59.99,0.00,0.00
with_index_50_insert,2,1,18.01,926.43,0.00,890.41,36.02,62.19,0.00,0.00
with_index_50_insert,3,1,18.00,904.05,0.00,868.05,36.00,66.84,0.00,0.00
with_index_50_insert,4,1,20.00,1086.93,0.00,1046.93,40.00,58.92,0.00,0.00
with_index_50_insert,5,1,23.00,1196.02,0.00,1150.02,46.00,48.34,0.00,0.00
with_index_50_insert,6,1,23.00,1155.99,0.00,1109.99,46.00,51.02,0.00,0.00
with_index_50_insert,7,1,22.00,1144.03,0.00,1100.03,44.00,51.02,0.00,0.00
with_index_50_insert,8,1,22.00,1133.96,0.00,1090.96,43.00,49.21,0.00,0.00
with_index_50_select,1,1,1447.94,4344.83,4344.83,0.00,0.00,0.75,0.00,0.00
with_index_50_select,2,1,1488.31,4464.92,4464.92,0.00,0.00,0.74,0.00,0.00
with_index_50_select,3,1,1460.04,4379.12,4379.12,0.00,0.00,0.75,0.00,0.00
with_index_50_select,4,1,1471.04,4415.11,4415.11,0.00,0.00,0.74,0.00,0.00
with_index_50_select,5,1,1472.87,4416.60,4416.60,0.00,0.00,0.75,0.00,0.00
with_index_50_select,6,1,1479.11,4439.33,4439.33,0.00,0.00,0.74,0.00,0.00
with_index_50_select,7,1,1468.02,4404.05,4404.05,0.00,0.00,0.75,0.00,0.00
with_index_50_select,8,1,1471.00,4411.99,4411.99,0.00,0.00,0.75,0.00,0.00
without_index_10_insert,1,1,88.93,1072.13,0.00,891.28,180.85,14.73,0.00,0.00
without_index_10_insert,2,1,93.04,1113.43,0.00,928.36,185.07,12.52,0.00,0.00
without_index_10_insert,3,1,87.00,1043.99,0.00,869.99,174.00,14.46,0.00,0.00
without_index_10_insert,4,1,94.00,1128.97,0.00,939.97,188.99,12.98,0.00,0.00
without_index_10_insert,5,1,90.00,1082.01,0.00,902.00,180.00,12.75,0.00,0.00
without_index_10_insert,6,1,92.00,1105.02,0.00,921.02,184.00,13.46,0.00,0.00
without_index_10_insert,7,1,103.00,1237.02,0.00,1031.02,206.00,11.45,0.00,0.00
without_index_10_insert,8,1,97.99,1171.89,0.00,975.91,195.98,15.27,0.00,0.00
without_index_10_select,1,1,1559.76,4679.29,4679.29,0.00,0.00,0.72,0.00,0.00
without_index_10_select,2,1,1540.44,4623.32,4623.32,0.00,0.00,0.72,0.00,0.00
without_index_10_select,3,1,1562.04,4684.13,4684.13,0.00,0.00,0.72,0.00,0.00
