Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_10,2,4,4046.67,14349.04,11641.26,1082.01,1625.77,48.79,144.93,0.00,2707.78
with_index_10,4,4,4099.76,14631.24,11745.17,1051.71,1834.36,44.71,145.53,0.00,2886.07
with_index_10,6,4,4041.87,14637.51,11529.14,1173.95,1934.42,39.59,158.49,0.00,3108.37
with_index_10,8,4,4080.50,14730.20,11668.95,1173.60,1887.66,43.93,161.01,0.00,3061.25
with_index_10,10,4,4120.01,14827.36,11788.07,1151.92,1887.37,41.67,152.99,0.00,3039.29
with_index_10,12,4,4107.54,14768.71,11747.09,1104.54,1917.07,40.95,158.01,0.00,3021.62
with_index_10,14,4,4139.47,14914.87,11820.41,1124.99,1969.47,40.95,158.00,0.00,3094.46
with_index_10,16,4,4120.99,14844.49,11758.96,1163.01,1922.52,38.88,151.50,0.00,3085.53
with_index_10,18,4,4111.01,15014.50,11715.53,1296.99,2001.98,40.24,172.50,0.00,3298.97
with_index_50,2,4,3656.41,14058.69,10834.79,1101.95,2121.94,146.36,72.46,0.00,3223.90
with_index_50,4,4,3683.03,14217.89,10905.56,1109.28,2203.05,131.55,70.02,0.00,3312.33
with_index_50,6,4,3665.03,14137.06,10858.59,1188.49,2089.98,149.03,70.50,0.00,3278.47
with_index_50,8,4,3699.02,14464.03,10945.05,1220.99,2297.99,124.70,75.00,0.00,3518.98
with_index_50,10,4,3740.49,14523.54,11071.46,1341.03,2111.05,136.29,72.00,0.00,3452.08
with_index_50,12,4,3684.99,13950.99,10912.48,968.50,2070.01,138.74,61.00,0.00,3038.51
with_index_50,14,4,3680.52,14170.38,10898.55,1173.94,2097.89,122.50,67.00,0.00,3271.83
with_index_50,16,4,3707.49,14280.03,10986.98,1240.02,2053.03,160.02,75.00,0.00,3293.05
with_index_50,18,4,3684.99,14355.49,10896.46,1114.51,2344.52,124.70,59.50,0.00,3459.03
without_index_10,2,4,4168.59,14884.21,11924.05,1081.01,1879.15,37.51,141.94,0.00,2960.16
without_index_10,4,4,4125.18,14768.05,11755.92,1015.71,1996.42,32.74,135.53,0.00,3012.13
without_index_10,6,4,4203.48,14880.83,12041.48,994.45,1844.90,36.86,139.99,0.00,2839.35
without_index_10,8,4,4251.55,14968.71,12195.61,969.03,1804.06,34.97,139.50,0.00,2773.10
without_index_10,10,4,4183.97,14645.38,12043.42,921.99,1679.97,47.04,132.00,0.00,2601.96
without_index_10,12,4,4224.02,14954.13,12104.53,961.54,1888.07,33.21,145.01,0.00,2849.60
without_index_10,14,4,4257.97,15015.91,12203.92,943.00,1869.00,33.21,141.00,0.00,2811.99
without_index_10,16,4,4303.01,15211.50,12332.54,990.99,1887.97,31.49,144.50,0.00,2878.96
without_index_10,18,4,4210.49,14880.01,12070.48,936.01,1873.52,38.83,141.50,0.00,2809.53
without_index_50,2,4,3485.93,13380.07,10315.86,945.60,2118.61,133.96,59.97,0.00,3064.21
without_index_50,4,4,3505.59,13382.65,10358.24,893.12,2131.29,99.05,53.51,0.00,3024.41
without_index_50,6,4,3447.01,13185.04,10197.53,930.50,2057.00,146.52,57.50,0.00,2987.51
without_index_50,8,4,3449.45,13251.95,10196.36,922.03,2133.56,131.65,52.50,0.00,3055.59
without_index_50,10,4,3493.52,13281.98,10337.06,901.47,2043.44,138.82,50.00,0.00,2944.92
without_index_50,12,4,3482.49,13367.09,10319.97,1098.54,1948.58,143.89,57.50,0.00,3047.12
without_index_50,14,4,3506.50,13376.93,10372.50,913.48,2090.95,131.60,55.00,0.00,3004.43
without_index_50,16,4,3511.48,13388.00,10376.95,927.02,2084.04,114.14,54.50,0.00,3011.05
without_index_50,18,4,3488.50,13246.41,10319.49,833.98,2092.95,90.66,52.50,0.00,2926.92
