Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,2,4,166.92,2707.78,0.00,1082.01,1625.77,47.47,144.93,0.00
with_index_10_insert,4,4,185.04,2886.07,0.00,1051.71,1834.36,43.39,145.53,0.00
with_index_10_insert,6,4,198.49,3108.37,0.00,1173.95,1934.42,38.25,158.49,0.00
with_index_10_insert,8,4,190.52,3061.25,0.00,1173.60,1887.66,42.61,161.01,0.00
with_index_10_insert,10,4,191.49,3039.29,0.00,1151.92,1887.37,40.37,152.99,0.00
with_index_10_insert,12,4,191.51,3021.62,0.00,1104.54,1917.07,39.65,158.01,0.00
with_index_10_insert,14,4,199.50,3094.46,0.00,1124.99,1969.47,39.65,158.00,0.00
with_index_10_insert,16,4,201.50,3085.53,0.00,1163.01,1922.52,37.56,151.50,0.00
with_index_10_insert,18,4,205.50,3298.97,0.00,1296.99,2001.98,38.94,172.50,0.00
with_index_10_select,2,4,3879.75,11641.26,11641.26,0.00,0.00,1.32,0.00,0.00
with_index_10_select,4,4,3914.72,11745.17,11745.17,0.00,0.00,1.32,0.00,0.00
with_index_10_select,6,4,3843.38,11529.14,11529.14,0.00,0.00,1.34,0.00,0.00
with_index_10_select,8,4,3889.98,11668.95,11668.95,0.00,0.00,1.32,0.00,0.00
with_index_10_select,10,4,3928.52,11788.07,11788.07,0.00,0.00,1.30,0.00,0.00
with_index_10_select,12,4,3916.03,11747.09,11747.09,0.00,0.00,1.30,0.00,0.00
with_index_10_select,14,4,3939.97,11820.41,11820.41,0.00,0.00,1.30,0.00,0.00
with_index_10_select,16,4,3919.49,11758.96,11758.96,0.00,0.00,1.32,0.00,0.00
with_index_10_select,18,4,3905.51,11715.53,11715.53,0.00,0.00,1.30,0.00,0.00
with_index_50_insert,2,4,44.98,3223.90,0.00,1101.95,2121.94,144.97,72.46,0.00
with_index_50_insert,4,4,48.51,3312.33,0.00,1109.28,2203.05,130.13,70.02,0.00
with_index_50_insert,6,4,45.00,3278.47,0.00,1188.49,2089.98,147.61,70.50,0.00
with_index_50_insert,8,4,51.50,3518.98,0.00,1220.99,2297.99,123.28,75.00,0.00
with_index_50_insert,10,4,49.50,3452.08,0.00,1341.03,2111.05,134.90,72.00,0.00
with_index_50_insert,12,4,47.50,3038.51,0.00,968.50,2070.01,137.35,61.00,0.00
with_index_50_insert,14,4,47.50,3271.83,0.00,1173.94,2097.89,121.08,67.00,0.00
with_index_50_insert,16,4,45.50,3293.05,0.00,1240.02,2053.03,158.63,75.00,0.00
with_index_50_insert,18,4,52.50,3459.03,0.00,1114.51,2344.52,123.28,59.50,0.00
with_index_50_select,2,4,3611.43,10834.79,10834.79,0.00,0.00,1.39,0.00,0.00
with_index_50_select,4,4,3634.52,10905.56,10905.56,0.00,0.00,1.42,0.00,0.00
with_index_50_select,6,4,3620.03,10858.59,10858.59,0.00,0.00,1.42,0.00,0.00
with_index_50_select,8,4,3647.52,10945.05,10945.05,0.00,0.00,1.42,0.00,0.00
with_index_50_select,10,4,3690.99,11071.46,11071.46,0.00,0.00,1.39,0.00,0.00
with_index_50_select,12,4,3637.49,10912.48,10912.48,0.00,0.00,1.39,0.00,0.00
with_index_50_select,14,4,3633.02,10898.55,10898.55,0.00,0.00,1.42,0.00,0.00
with_index_50_select,16,4,3661.99,10986.98,10986.98,0.00,0.00,1.39,0.00,0.00
with_index_50_select,18,4,3632.49,10896.46,10896.46,0.00,0.00,1.42,0.00,0.00
without_index_10_insert,2,4,194.41,2960.16,0.00,1081.01,1879.15,36.24,141.94,0.00
without_index_10_insert,4,4,206.54,3012.13,0.00,1015.71,1996.42,31.37,135.53,0.00
without_index_10_insert,6,4,189.99,2839.35,0.00,994.45,1844.90,35.59,139.99,0.00
without_index_10_insert,8,4,186.51,2773.10,0.00,969.03,1804.06,33.72,139.50,0.00
