Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,2,4,170.92,2555.84,0.00,857.61,1698.23,41.10,121.94,0.00
with_index_10_insert,4,4,160.53,2522.90,0.00,962.15,1560.75,48.34,129.02,0.00
with_index_10_insert,6,4,189.50,2888.00,0.00,1047.00,1841.00,42.61,139.00,0.00
with_index_10_insert,8,4,197.50,3082.94,0.00,1093.48,1989.46,42.61,160.50,0.00
with_index_10_insert,10,4,207.50,3175.53,0.00,1126.51,2049.02,38.25,162.50,0.00
with_index_10_insert,12,4,192.01,2932.10,0.00,998.04,1934.07,34.33,149.01,0.00
with_index_10_insert,14,4,168.50,2607.50,0.00,933.00,1674.50,48.34,134.50,0.00
with_index_10_insert,16,4,173.50,2662.97,0.00,964.49,1698.48,43.39,131.50,0.00
with_index_10_insert,18,4,174.51,2669.13,0.00,976.55,1692.58,44.17,130.51,0.00
with_index_10_select,2,4,3906.74,11722.22,11722.22,0.00,0.00,1.30,0.00,0.00
with_index_10_select,4,4,3910.13,11729.39,11729.39,0.00,0.00,1.30,0.00,0.00
with_index_10_select,6,4,3895.96,11687.38,11687.38,0.00,0.00,1.32,0.00,0.00
with_index_10_select,8,4,3947.02,11841.55,11841.55,0.00,0.00,1.30,0.00,0.00
with_index_10_select,10,4,3948.57,11846.70,11846.70,0.00,0.00,1.30,0.00,0.00
with_index_10_select,12,4,3972.41,11916.23,11916.23,0.00,0.00,1.30,0.00,0.00
with_index_10_select,14,4,3971.11,11913.33,11913.33,0.00,0.00,1.30,0.00,0.00
with_index_10_select,16,4,3969.89,11911.16,11911.16,0.00,0.00,1.32,0.00,0.00
with_index_10_select,18,4,3953.45,11860.36,11860.36,0.00,0.00,1.30,0.00,0.00
with_index_50_insert,2,4,48.48,2943.51,0.00,946.52,1996.99,130.13,60.47,0.00
with_index_50_insert,4,4,45.01,2733.23,0.00,904.74,1828.49,167.44,48.51,0.00
with_index_50_insert,6,4,45.50,2906.46,0.00,862.49,2043.98,147.61,56.00,0.00
with_index_50_insert,8,4,42.50,2539.05,0.00,815.51,1723.53,142.39,43.00,0.00
with_index_50_insert,10,4,42.00,2707.45,0.00,899.48,1807.97,132.49,54.00,0.00
with_index_50_insert,12,4,42.50,2691.07,0.00,854.02,1837.05,164.45,47.00,0.00
with_index_50_insert,14,4,49.50,2936.98,0.00,900.99,2035.99,130.13,57.50,0.00
with_index_50_insert,16,4,50.00,2902.93,0.00,834.98,2067.95,94.10,52.00,0.00
with_index_50_insert,18,4,45.50,2749.97,0.00,835.99,1913.98,134.90,54.00,0.00
with_index_50_select,2,4,3644.87,10937.12,10937.12,0.00,0.00,1.39,0.00,0.00
with_index_50_select,4,4,3671.13,11012.88,11012.88,0.00,0.00,1.39,0.00,0.00
with_index_50_select,6,4,3690.49,11072.98,11072.98,0.00,0.00,1.37,0.00,0.00
with_index_50_select,8,4,3702.50,11106.49,11106.49,0.00,0.00,1.37,0.00,0.00
with_index_50_select,10,4,3698.99,11097.48,11097.48,0.00,0.00,1.37,0.00,0.00
with_index_50_select,12,4,3723.25,11168.24,11168.24,0.00,0.00,1.37,0.00,0.00
with_index_50_select,14,4,3719.22,11159.67,11159.67,0.00,0.00,1.37,0.00,0.00
with_index_50_select,16,4,3692.04,11075.61,11075.61,0.00,0.00,1.39,0.00,0.00
with_index_50_select,18,4,3693.51,11079.53,11079.53,0.00,0.00,1.39,0.00,0.00
without_index_10_insert,2,4,165.93,2606.85,0.00,926.59,1680.26,42.61,131.44,0.00
without_index_10_insert,4,4,193.53,3024.50,0.00,1156.69,1867.81,41.85,154.53,0.00
without_index_10_insert,6,4,183.50,2867.99,0.00,1076.00,1792.00,44.98,142.00,0.00
without_index_10_insert,8,4,172.50,2752.52,0.00,1058.01,1694.51,51.02,143.00,0.00
without_index_10_insert,10,4,174.51,2799.12,0.00,1097.05,1702.08,49.21,146.01,0.00
without_index_10_insert,12,4,156.49,2401.90,0.00,832.97,1568.93,44.98,120.99,0.00
without_index_10_insert,14,4,184.50,2857.98,0.00,1040.49,1817.49,45.79,145.50,0.00
without_index_10_insert,16,4,226.00,3472.08,0.00,1339.53,2132.55,34.95,159.00,0.00
without_index_10_insert,18,4,214.00,3394.06,0.00,1305.02,2089.04,38.94,173.50,0.00
without_index_10_select,2,4,3937.66,11814.99,11814.99,0.00,0.00,1.30,0.00,0.00
without_index_10_select,4,4,4007.67,12023.02,12023.02,0.00,0.00,1.30,0.00,0.00
without_index_10_select,6,4,4037.52,12112.07,12112.07,0.00,0.00,1.27,0.00,0.00
without_index_10_select,8,4,4061.99,12186.48,12186.48,0.00,0.00,1.27,0.00,0.00
without_index_10_select,10,4,4056.00,12167.49,12167.49,0.00,0.00,1.27,0.00,0.00
without_index_10_select,12,4,4046.49,12140.47,12140.47,0.00,0.00,1.27,0.00,0.00
without_index_10_select,14,4,4036.01,12108.03,12108.03,0.00,0.00,1.27,0.00,0.00
without_index_10_select,16,4,4041.03,12122.60,12122.60,0.00,0.00,1.27,0.00,0.00
without_index_10_select,18,4,4045.49,12135.47,12135.47,0.00,0.00,1.27,0.00,0.00
without_index_50_insert,2,4,52.98,3242.00,0.00,959.06,2282.94,121.08,49.98,0.00
without_index_50_insert,4,4,48.51,2972.01,0.00,899.15,2072.85,123.28,54.51,0.00
without_index_50_insert,6,4,46.00,2866.13,0.00,927.04,1939.09,142.39,47.50,0.00
without_index_50_insert,8,4,50.50,3007.00,0.00,869.50,2137.50,127.81,51.50,0.00
without_index_50_insert,10,4,45.00,2850.00,0.00,953.50,1896.50,125.52,51.50,0.00
without_index_50_insert,12,4,50.00,3020.87,0.00,938.96,2081.91,127.81,57.00,0.00
without_index_50_insert,14,4,47.00,2981.59,0.00,939.03,2042.56,130.13,60.50,0.00
without_index_50_insert,16,4,46.50,2715.94,0.00,779.98,1935.95,97.55,51.00,0.00
without_index_50_insert,18,4,46.00,2682.02,0.00,802.01,1880.01,101.13,45.50,0.00
without_index_50_select,2,4,3406.96,10222.39,10222.39,0.00,0.00,1.50,0.00,0.00
without_index_50_select,4,4,3418.53,10256.58,10256.58,0.00,0.00,1.50,0.00,0.00
