Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_10,2,4,4036.11,14273.01,11603.05,977.62,1692.34,54.19,139.45,0.00,2669.96
with_index_10,4,4,4164.70,14904.52,11942.02,1162.70,1799.80,42.40,156.03,0.00,2962.50
with_index_10,6,4,4080.02,14578.41,11675.08,1050.94,1852.39,47.13,138.99,0.00,2903.33
with_index_10,8,4,4159.47,14869.94,11897.41,1028.51,1944.02,40.21,154.50,0.00,2972.53
with_index_10,10,4,4128.44,14540.85,11867.81,971.51,1701.53,46.30,135.50,0.00,2673.04
with_index_10,12,4,4162.04,14626.05,11970.65,991.96,1663.43,43.88,134.99,0.00,2655.40
with_index_10,14,4,4144.03,14582.71,11917.05,1009.06,1656.60,49.64,132.51,0.00,2665.66
with_index_10,16,4,4125.49,14601.02,11841.48,968.51,1791.03,42.40,139.50,0.00,2759.54
with_index_10,18,4,4127.45,14560.28,11858.39,986.96,1714.93,47.90,137.49,0.00,2701.89
with_index_50,2,4,3603.84,13563.79,10689.09,995.55,1879.15,138.77,59.97,0.00,2874.70
with_index_50,4,4,3649.58,13927.37,10812.22,1112.73,2002.42,165.87,63.51,0.00,3115.15
with_index_50,6,4,3638.02,13493.56,10793.55,843.50,1856.51,160.05,55.00,0.00,2700.01
with_index_50,8,4,3668.49,14010.39,10864.97,1017.47,2127.95,129.23,72.00,0.00,3145.42
with_index_50,10,4,3706.51,14044.12,10975.02,1034.53,2034.57,116.11,61.00,0.00,3069.10
with_index_50,12,4,3720.53,13915.07,11034.10,971.99,1908.98,146.36,60.50,0.00,2880.97
with_index_50,14,4,3715.44,13991.81,11019.33,1116.49,1855.99,224.71,70.00,0.00,2972.48
with_index_50,16,4,3667.00,13726.04,10877.00,1030.52,1818.53,151.71,58.50,0.00,2849.04
with_index_50,18,4,3696.00,14042.44,10954.01,1074.47,2013.95,143.78,56.00,0.00,3088.43
without_index_10,2,4,4022.28,14534.99,11495.02,1160.61,1879.36,43.24,153.45,0.00,3039.97
without_index_10,4,4,4084.82,14612.24,11724.90,1145.64,1741.71,48.86,150.52,0.00,2887.34
without_index_10,6,4,4100.19,14493.43,11755.11,930.44,1807.88,40.31,132.49,0.00,2738.32
without_index_10,8,4,4140.14,14810.47,11862.93,1070.52,1877.03,42.47,155.50,0.00,2947.54
without_index_10,10,4,4182.48,14993.49,11961.91,1090.03,1941.55,40.97,156.00,0.00,3031.58
without_index_10,12,4,4133.77,14607.76,11874.31,976.98,1756.47,43.22,137.00,0.00,2733.45
without_index_10,14,4,4100.65,14540.53,11771.93,1038.54,1730.06,44.00,143.51,0.00,2768.60
without_index_10,16,4,4151.96,14797.31,11896.37,1050.48,1850.46,46.32,145.00,0.00,2900.94
without_index_10,18,4,4176.00,14684.08,12014.51,972.03,1697.55,45.49,141.00,0.00,2669.57
without_index_50,2,4,3446.02,13082.81,10205.13,884.09,1993.58,154.52,60.47,0.00,2877.68
without_index_50,4,4,3466.00,13043.48,10264.47,896.17,1882.85,136.45,49.51,0.00,2779.01
without_index_50,6,4,3440.00,12900.03,10198.01,937.51,1764.51,146.52,52.50,0.00,2702.02
without_index_50,8,4,3497.49,13025.47,10365.96,901.50,1758.01,188.06,54.00,0.00,2659.51
without_index_50,10,4,3475.01,12972.98,10288.54,832.98,1851.46,106.34,46.00,0.00,2684.44
without_index_50,12,4,3477.50,12823.96,10307.99,784.49,1731.48,163.03,46.00,0.00,2515.97
without_index_50,14,4,3490.09,13129.87,10345.76,878.54,1905.58,157.30,55.50,0.00,2784.11
without_index_50,16,4,3510.88,13240.91,10400.14,883.43,1957.34,131.63,56.00,0.00,2840.77
without_index_50,18,4,3477.03,13099.18,10293.08,838.53,1967.57,131.63,47.50,0.00,2806.10
