Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,2,4,183.42,2828.34,0.00,1003.09,1825.25,39.65,143.94,0.00
with_index_10_insert,4,4,166.53,2636.43,0.00,996.66,1639.77,49.21,135.52,0.00
with_index_10_insert,6,4,176.00,2716.56,0.00,1000.02,1716.54,46.63,133.50,0.00
with_index_10_insert,8,4,207.99,3282.87,0.00,1271.95,2010.92,38.94,160.99,0.00
with_index_10_insert,10,4,205.50,3220.46,0.00,1198.49,2021.97,36.24,168.50,0.00
with_index_10_insert,12,4,171.51,2623.08,0.00,924.03,1699.05,41.10,134.00,0.00
with_index_10_insert,14,4,167.50,2594.95,0.00,911.48,1683.47,46.63,129.00,0.00
with_index_10_insert,16,4,188.50,2823.56,0.00,934.02,1889.54,37.56,140.50,0.00
with_index_10_insert,18,4,168.49,2737.87,0.00,1074.45,1663.42,50.11,141.99,0.00
with_index_10_select,2,4,3859.75,11582.74,11582.74,0.00,0.00,1.32,0.00,0.00
with_index_10_select,4,4,3877.67,11632.00,11632.00,0.00,0.00,1.32,0.00,0.00
with_index_10_select,6,4,3901.48,11702.95,11702.95,0.00,0.00,1.32,0.00,0.00
with_index_10_select,8,4,3891.51,11676.54,11676.54,0.00,0.00,1.30,0.00,0.00
with_index_10_select,10,4,3892.52,11677.55,11677.55,0.00,0.00,1.32,0.00,0.00
with_index_10_select,12,4,3943.60,11830.30,11830.30,0.00,0.00,1.30,0.00,0.00
with_index_10_select,14,4,3958.39,11874.66,11874.66,0.00,0.00,1.30,0.00,0.00
with_index_10_select,16,4,3937.03,11809.58,11809.58,0.00,0.00,1.30,0.00,0.00
with_index_10_select,18,4,3917.96,11755.38,11755.38,0.00,0.00,1.32,0.00,0.00
with_index_50_insert,2,4,37.98,2651.37,0.00,987.58,1663.79,161.51,59.97,0.00
with_index_50_insert,4,4,42.01,2767.92,0.00,978.15,1789.77,173.58,59.01,0.00
with_index_50_insert,6,4,50.00,3469.39,0.00,1275.96,2193.43,125.52,73.00,0.00
with_index_50_insert,8,4,52.50,3508.15,0.00,1146.05,2362.10,123.28,73.50,0.00
with_index_50_insert,10,4,41.50,2603.88,0.00,830.46,1773.42,144.97,48.00,0.00
with_index_50_insert,12,4,47.00,2844.06,0.00,880.52,1963.54,106.75,60.00,0.00
with_index_50_insert,14,4,36.00,2610.54,0.00,1048.52,1562.02,183.21,44.50,0.00
with_index_50_insert,16,4,39.00,2577.00,0.00,823.50,1753.50,196.89,58.00,0.00
with_index_50_insert,18,4,43.50,3015.01,0.00,1115.50,1899.51,153.02,64.50,0.00
with_index_50_select,2,4,3478.90,10440.21,10440.21,0.00,0.00,1.52,0.00,0.00
with_index_50_select,4,4,3508.62,10524.85,10524.85,0.00,0.00,1.58,0.00,0.00
with_index_50_select,6,4,3531.50,10594.00,10594.00,0.00,0.00,1.58,0.00,0.00
with_index_50_select,8,4,3498.22,10493.65,10493.65,0.00,0.00,1.55,0.00,0.00
with_index_50_select,10,4,3518.32,10556.97,10556.97,0.00,0.00,1.55,0.00,0.00
with_index_50_select,12,4,3570.44,10710.82,10710.82,0.00,0.00,1.52,0.00,0.00
with_index_50_select,14,4,3555.55,10666.15,10666.15,0.00,0.00,1.58,0.00,0.00
with_index_50_select,16,4,3575.51,10727.52,10727.52,0.00,0.00,1.50,0.00,0.00
with_index_50_select,18,4,3506.92,10518.76,10518.76,0.00,0.00,1.61,0.00,0.00
without_index_10_insert,2,4,159.95,2486.16,0.00,924.69,1561.47,47.47,123.46,0.00
without_index_10_insert,4,4,179.02,2749.80,0.00,938.60,1811.20,45.79,140.02,0.00
without_index_10_insert,6,4,186.00,2803.99,0.00,949.50,1854.50,36.89,136.50,0.00
without_index_10_insert,8,4,168.50,2601.99,0.00,879.00,1722.99,44.98,134.50,0.00
