Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,2,4,171.43,2626.95,0.00,885.15,1741.80,44.17,131.45,0.00
with_index_10_insert,4,4,171.52,2631.34,0.00,929.62,1701.72,44.17,133.02,0.00
with_index_10_insert,6,4,165.01,2616.61,0.00,936.04,1680.57,48.34,138.01,0.00
with_index_10_insert,8,4,181.99,2873.85,0.00,1139.44,1734.41,42.61,145.49,0.00
with_index_10_insert,10,4,217.51,3323.67,0.00,1222.56,2101.11,34.95,156.51,0.00
with_index_10_insert,12,4,192.00,2961.54,0.00,1101.52,1860.03,42.61,146.50,0.00
with_index_10_insert,14,4,180.49,2749.39,0.00,986.96,1762.43,40.37,133.99,0.00
with_index_10_insert,16,4,171.99,2707.91,0.00,1008.97,1698.94,51.94,138.50,0.00
with_index_10_insert,18,4,176.01,2748.10,0.00,1008.54,1739.57,48.34,143.51,0.00
with_index_10_select,2,4,3852.77,11559.31,11559.31,0.00,0.00,1.32,0.00,0.00
with_index_10_select,4,4,3878.12,11634.87,11634.87,0.00,0.00,1.32,0.00,0.00
with_index_10_select,6,4,3834.76,11505.28,11505.28,0.00,0.00,1.37,0.00,0.00
with_index_10_select,8,4,3920.26,11760.77,11760.77,0.00,0.00,1.32,0.00,0.00
with_index_10_select,10,4,3923.01,11769.02,11769.02,0.00,0.00,1.30,0.00,0.00
with_index_10_select,12,4,3915.99,11749.46,11749.46,0.00,0.00,1.32,0.00,0.00
with_index_10_select,14,4,3913.00,11737.00,11737.00,0.00,0.00,1.32,0.00,0.00
with_index_10_select,16,4,3903.51,11712.03,11712.03,0.00,0.00,1.34,0.00,0.00
with_index_10_select,18,4,3917.48,11750.95,11750.95,0.00,0.00,1.30,0.00,0.00
with_index_50_insert,2,4,45.48,3358.78,0.00,1169.40,2189.38,118.92,77.46,0.00
with_index_50_insert,4,4,47.01,3397.43,0.00,1272.35,2125.08,176.73,59.02,0.00
with_index_50_insert,6,4,50.50,3274.88,0.00,1010.46,2264.42,139.85,56.50,0.00
with_index_50_insert,8,4,46.50,2958.14,0.00,990.05,1968.09,132.49,62.50,0.00
with_index_50_insert,10,4,40.50,2816.42,0.00,1018.47,1797.95,161.51,58.00,0.00
with_index_50_insert,12,4,43.50,2753.96,0.00,952.98,1800.97,179.94,52.00,0.00
with_index_50_insert,14,4,44.00,3126.64,0.00,1047.05,2079.59,164.45,68.00,0.00
with_index_50_insert,16,4,41.50,2885.47,0.00,1023.49,1861.98,147.61,58.50,0.00
with_index_50_insert,18,4,44.50,2799.95,0.00,967.98,1831.97,207.82,51.50,0.00
with_index_50_select,2,4,3482.49,10448.96,10448.96,0.00,0.00,1.52,0.00,0.00
with_index_50_select,4,4,3584.02,10751.56,10751.56,0.00,0.00,1.44,0.00,0.00
with_index_50_select,6,4,3594.00,10782.49,10782.49,0.00,0.00,1.44,0.00,0.00
with_index_50_select,8,4,3610.98,10833.43,10833.43,0.00,0.00,1.39,0.00,0.00
with_index_50_select,10,4,3617.57,10851.70,10851.70,0.00,0.00,1.39,0.00,0.00
with_index_50_select,12,4,3677.00,11031.99,11031.99,0.00,0.00,1.39,0.00,0.00
with_index_50_select,14,4,3599.01,10797.03,10797.03,0.00,0.00,1.42,0.00,0.00
with_index_50_select,16,4,3580.46,10739.89,10739.89,0.00,0.00,1.44,0.00,0.00
with_index_50_select,18,4,3578.01,10735.54,10735.54,0.00,0.00,1.44,0.00,0.00
without_index_10_insert,2,4,184.93,2777.41,0.00,954.13,1823.29,36.89,130.45,0.00
without_index_10_insert,4,4,177.02,2656.23,0.00,932.58,1723.65,36.89,130.01,0.00
without_index_10_insert,6,4,181.00,2715.03,0.00,883.01,1832.02,36.89,138.00,0.00
without_index_10_insert,8,4,172.50,2621.57,0.00,912.52,1709.04,41.10,134.00,0.00
without_index_10_insert,10,4,187.00,2755.98,0.00,862.49,1893.48,32.53,129.50,0.00
without_index_10_insert,12,4,173.51,2581.09,0.00,856.03,1725.06,38.94,130.50,0.00
without_index_10_insert,14,4,178.50,2595.43,0.00,828.48,1766.95,36.24,122.50,0.00
without_index_10_insert,16,4,180.00,2670.93,0.00,848.48,1822.45,33.12,133.50,0.00
without_index_10_insert,18,4,184.01,2769.08,0.00,942.53,1826.55,42.61,133.00,0.00
without_index_10_select,2,4,3912.61,11739.32,11739.32,0.00,0.00,1.30,0.00,0.00
without_index_10_select,4,4,3974.18,11923.55,11923.55,0.00,0.00,1.30,0.00,0.00
without_index_10_select,6,4,3987.52,11960.56,11960.56,0.00,0.00,1.30,0.00,0.00
without_index_10_select,8,4,4085.48,12257.93,12257.93,0.00,0.00,1.25,0.00,0.00
without_index_10_select,10,4,4024.49,12073.98,12073.98,0.00,0.00,1.27,0.00,0.00
