Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_10,2,4,4162.63,15560.29,11731.67,1349.01,2479.61,30.49,177.94,0.00,3828.62
with_index_10,4,4,4166.44,15291.07,11849.26,1440.13,2001.68,35.63,172.02,0.00,3441.81
with_index_10,6,4,4177.27,15674.75,11757.82,1436.47,2480.46,31.04,176.50,0.00,3916.93
with_index_10,8,4,4220.03,15737.23,11909.06,1479.56,2348.60,33.83,176.01,0.00,3828.17
with_index_10,10,4,4206.46,15633.86,11913.89,1505.49,2214.48,38.19,174.00,0.00,3719.97
with_index_10,12,4,4222.01,15803.10,11894.03,1447.03,2462.05,29.97,180.50,0.00,3909.07
with_index_10,14,4,4241.00,15787.94,12002.51,1509.47,2275.96,34.99,180.50,0.00,3785.43
with_index_10,16,4,4214.99,15671.44,11907.98,1407.49,2355.98,34.99,176.50,0.00,3763.46
with_index_10,18,4,4249.00,15806.92,11990.02,1424.96,2391.94,32.08,170.00,0.00,3816.90
with_index_50,2,4,3651.43,14252.77,10789.39,1036.02,2427.37,124.67,61.97,0.00,3463.38
with_index_50,4,4,3658.58,14234.31,10814.72,1101.19,2318.40,114.09,69.01,0.00,3419.59
with_index_50,6,4,3654.98,14194.48,10794.45,1091.51,2308.52,116.16,63.50,0.00,3400.03
with_index_50,8,4,3692.49,14332.09,10919.48,1083.53,2329.07,126.91,61.50,0.00,3412.61
with_index_50,10,4,3689.52,14374.55,10896.55,1050.50,2427.50,118.19,68.50,0.00,3478.00
with_index_50,12,4,3659.97,14230.91,10826.40,1090.50,2314.01,124.70,67.50,0.00,3404.51
with_index_50,14,4,3690.03,14245.60,10902.58,1033.51,2309.51,102.52,54.50,0.00,3343.02
with_index_50,16,4,3671.98,14209.79,10849.43,1066.96,2293.41,118.22,59.00,0.00,3360.36
with_index_50,18,4,3673.00,14188.60,10863.01,1060.53,2265.06,116.14,62.00,0.00,3325.59
without_index_10,2,4,4222.61,15831.99,11909.66,1466.88,2455.46,33.21,183.42,0.00,3922.33
without_index_10,4,4,4265.19,15939.52,12019.96,1474.21,2445.35,32.08,177.53,0.00,3919.56
without_index_10,6,4,4281.57,16079.13,12060.70,1492.47,2525.96,32.64,183.00,0.00,4018.43
without_index_10,8,4,4327.29,16244.39,12154.87,1450.01,2639.51,28.93,181.00,0.00,4089.52
without_index_10,10,4,4288.35,15997.09,12108.56,1515.01,2373.52,34.99,183.00,0.00,3888.53
without_index_10,12,4,4341.31,16166.87,12261.97,1506.96,2397.94,34.97,184.00,0.00,3904.90
without_index_10,14,4,4318.51,16213.63,12141.00,1492.05,2580.58,33.21,175.51,0.00,4072.63
without_index_10,16,4,4298.49,16111.91,12109.46,1488.98,2513.47,30.44,178.00,0.00,4002.45
without_index_10,18,4,4328.00,16289.86,12163.52,1499.44,2626.90,29.41,183.99,0.00,4126.34
without_index_50,2,4,3497.90,13745.99,10338.26,1153.07,2254.66,124.75,60.48,0.00,3407.73
without_index_50,4,4,3499.58,13841.69,10322.70,1045.64,2473.34,116.22,64.51,0.00,3518.99
without_index_50,6,4,3471.00,13694.86,10256.01,1169.45,2269.40,134.04,65.50,0.00,3438.85
without_index_50,8,4,3464.52,13737.60,10219.05,1082.51,2436.03,116.27,62.00,0.00,3518.55
without_index_50,10,4,3523.00,13906.02,10395.00,1066.51,2444.51,110.15,59.00,0.00,3511.02
without_index_50,12,4,3532.97,13950.96,10431.41,1109.52,2410.04,116.19,63.50,0.00,3519.55
without_index_50,14,4,3536.02,13848.02,10446.56,1085.49,2315.97,126.96,70.00,0.00,3401.46
without_index_50,16,4,3439.03,13626.50,10148.59,1099.97,2377.94,131.71,60.00,0.00,3477.91
without_index_50,18,4,3512.96,13759.98,10383.39,1152.03,2224.56,129.28,64.50,0.00,3376.59
