Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,2,4,175.94,2844.08,0.00,1162.62,1681.45,45.79,142.95,0.00
with_index_10_insert,4,4,182.51,2878.73,0.00,1046.08,1832.65,44.17,151.01,0.00
with_index_10_insert,6,4,211.99,3273.90,0.00,1311.46,1962.44,38.25,154.00,0.00
with_index_10_insert,8,4,221.00,3448.54,0.00,1239.51,2209.02,34.33,171.00,0.00
with_index_10_insert,10,4,205.00,3125.46,0.00,1078.49,2046.97,37.56,154.00,0.00
with_index_10_insert,12,4,183.51,2910.15,0.00,1080.55,1829.59,41.10,153.51,0.00
with_index_10_insert,14,4,180.49,2817.90,0.00,1043.46,1774.44,46.63,142.49,0.00
with_index_10_insert,16,4,185.50,2872.56,0.00,1110.52,1762.04,43.39,141.00,0.00
with_index_10_insert,18,4,190.99,2976.86,0.00,1140.45,1836.41,42.61,149.99,0.00
with_index_10_select,2,4,3775.81,11330.44,11330.44,0.00,0.00,1.37,0.00,0.00
with_index_10_select,4,4,3884.64,11651.41,11651.41,0.00,0.00,1.32,0.00,0.00
with_index_10_select,6,4,3889.01,11668.53,11668.53,0.00,0.00,1.32,0.00,0.00
with_index_10_select,8,4,3902.98,11708.95,11708.95,0.00,0.00,1.32,0.00,0.00
with_index_10_select,10,4,3893.01,11679.03,11679.03,0.00,0.00,1.32,0.00,0.00
with_index_10_select,12,4,3924.56,11774.19,11774.19,0.00,0.00,1.30,0.00,0.00
with_index_10_select,14,4,3917.41,11752.23,11752.23,0.00,0.00,1.30,0.00,0.00
with_index_10_select,16,4,3924.26,11771.27,11771.27,0.00,0.00,1.30,0.00,0.00
with_index_10_select,18,4,3917.73,11755.70,11755.70,0.00,0.00,1.30,0.00,0.00
with_index_50_insert,2,4,45.48,3028.47,0.00,1051.47,1977.00,150.29,59.47,0.00
with_index_50_insert,4,4,47.01,3108.79,0.00,1025.26,2083.53,132.49,63.02,0.00
with_index_50_insert,6,4,40.00,3058.51,0.00,1122.00,1936.51,196.89,65.00,0.00
with_index_50_insert,8,4,43.00,3103.00,0.00,1101.00,2002.00,142.39,73.50,0.00
with_index_50_insert,10,4,40.50,2942.79,0.00,1203.41,1739.38,179.94,69.00,0.00
with_index_50_insert,12,4,47.00,3074.53,0.00,1004.51,2070.02,132.49,60.00,0.00
with_index_50_insert,14,4,44.50,2990.53,0.00,1029.01,1961.52,150.29,65.50,0.00
with_index_50_insert,16,4,39.50,2932.06,0.00,1153.02,1779.03,204.11,64.00,0.00
with_index_50_insert,18,4,42.50,3050.01,0.00,1106.50,1943.51,139.85,67.50,0.00
with_index_50_select,2,4,3605.28,10818.34,10818.34,0.00,0.00,1.39,0.00,0.00
with_index_50_select,4,4,3650.13,10950.38,10950.38,0.00,0.00,1.39,0.00,0.00
with_index_50_select,6,4,3644.51,10932.04,10932.04,0.00,0.00,1.39,0.00,0.00
with_index_50_select,8,4,3669.50,11011.51,11011.51,0.00,0.00,1.39,0.00,0.00
with_index_50_select,10,4,3663.97,10988.42,10988.42,0.00,0.00,1.39,0.00,0.00
with_index_50_select,12,4,3677.02,11032.07,11032.07,0.00,0.00,1.39,0.00,0.00
with_index_50_select,14,4,3658.57,10976.71,10976.71,0.00,0.00,1.39,0.00,0.00
with_index_50_select,16,4,3642.93,10928.78,10928.78,0.00,0.00,1.39,0.00,0.00
with_index_50_select,18,4,3663.99,10991.97,10991.97,0.00,0.00,1.39,0.00,0.00
