Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_10_insert,2,4,251.40,3819.92,0.00,1343.94,2475.97,30.81,171.93,0.00
with_index_10_insert,4,4,266.04,3874.56,0.00,1330.19,2544.37,28.16,152.52,0.00
with_index_10_insert,6,4,262.49,3935.92,0.00,1343.47,2592.45,30.26,181.00,0.00
with_index_10_insert,8,4,282.00,4106.53,0.00,1388.51,2718.02,30.26,161.00,0.00
with_index_10_insert,10,4,257.50,3854.57,0.00,1401.03,2453.55,29.72,168.50,0.00
with_index_10_insert,12,4,260.00,3906.98,0.00,1414.49,2492.49,30.81,170.50,0.00
with_index_10_insert,14,4,263.00,3959.00,0.00,1418.50,2540.50,30.26,179.00,0.00
with_index_10_insert,16,4,243.49,3791.41,0.00,1457.97,2333.45,31.94,183.00,0.00
with_index_10_insert,18,4,260.00,3870.00,0.00,1330.00,2540.00,30.26,163.00,0.00
with_index_10_select,2,4,3910.23,11734.19,11734.19,0.00,0.00,1.30,0.00,0.00
with_index_10_select,4,4,3912.22,11734.67,11734.67,0.00,0.00,1.32,0.00,0.00
with_index_10_select,6,4,3901.46,11703.88,11703.88,0.00,0.00,1.34,0.00,0.00
with_index_10_select,8,4,3927.98,11785.43,11785.43,0.00,0.00,1.32,0.00,0.00
with_index_10_select,10,4,3939.04,11816.11,11816.11,0.00,0.00,1.30,0.00,0.00
with_index_10_select,12,4,3959.48,11878.95,11878.95,0.00,0.00,1.30,0.00,0.00
with_index_10_select,14,4,3961.51,11884.52,11884.52,0.00,0.00,1.30,0.00,0.00
with_index_10_select,16,4,3961.51,11885.03,11885.03,0.00,0.00,1.27,0.00,0.00
with_index_10_select,18,4,3963.03,11888.59,11888.59,0.00,0.00,1.30,0.00,0.00
with_index_50_insert,2,4,56.97,4011.69,0.00,1577.79,2433.90,116.80,84.46,0.00
with_index_50_insert,4,4,66.01,4234.92,0.00,1487.32,2747.60,104.84,65.51,0.00
with_index_50_insert,6,4,58.50,4143.65,0.00,1586.37,2557.28,108.68,85.49,0.00
with_index_50_insert,8,4,67.00,4395.59,0.00,1316.03,3079.56,99.33,68.00,0.00
with_index_50_insert,10,4,63.00,3909.11,0.00,1265.03,2644.07,121.08,54.00,0.00
with_index_50_insert,12,4,68.50,4301.93,0.00,1372.98,2928.95,101.13,68.00,0.00
with_index_50_insert,14,4,55.00,4276.53,0.00,1574.51,2702.02,112.67,92.00,0.00
with_index_50_insert,16,4,67.50,4286.63,0.00,1404.04,2882.58,110.66,56.00,0.00
with_index_50_insert,18,4,67.50,4358.39,0.00,1444.96,2913.42,97.55,74.00,0.00
with_index_50_select,2,4,3631.81,10896.93,10896.93,0.00,0.00,1.39,0.00,0.00
with_index_50_select,4,4,3669.36,11008.07,11008.07,0.00,0.00,1.39,0.00,0.00
with_index_50_select,6,4,3677.24,11032.72,11032.72,0.00,0.00,1.39,0.00,0.00
with_index_50_select,8,4,3677.54,11032.11,11032.11,0.00,0.00,1.39,0.00,0.00
with_index_50_select,10,4,3701.49,11103.98,11103.98,0.00,0.00,1.39,0.00,0.00
with_index_50_select,12,4,3759.99,11280.97,11280.97,0.00,0.00,1.34,0.00,0.00
with_index_50_select,14,4,3682.01,11046.02,11046.02,0.00,0.00,1.37,0.00,0.00
with_index_50_select,16,4,3707.53,11121.09,11121.09,0.00,0.00,1.37,0.00,0.00
with_index_50_select,18,4,3684.99,11055.48,11055.48,0.00,0.00,1.37,0.00,0.00
without_index_10_insert,2,4,213.40,3219.07,0.00,1259.44,1959.63,34.33,139.94,0.00
without_index_10_insert,4,4,215.53,3177.50,0.00,1198.19,1979.31,32.53,139.52,0.00
without_index_10_insert,6,4,205.50,3172.56,0.00,1254.03,1918.54,34.33,151.50,0.00
without_index_10_insert,8,4,211.50,3237.43,0.00,1279.47,1957.96,34.95,152.50,0.00
without_index_10_insert,10,4,215.46,3293.91,0.00,1235.28,2058.63,33.12,161.47,0.00
without_index_10_insert,12,4,226.05,3371.27,0.00,1206.27,2164.99,29.19,159.04,0.00
without_index_10_insert,14,4,206.50,3182.98,0.00,1273.49,1909.49,38.94,155.50,0.00
without_index_10_insert,16,4,210.49,3214.33,0.00,1221.93,1992.39,34.95,155.99,0.00
without_index_10_insert,18,4,216.01,3250.13,0.00,1181.55,2068.58,33.72,155.01,0.00
without_index_10_select,2,4,4000.69,12003.56,12003.56,0.00,0.00,1.25,0.00,0.00
without_index_10_select,4,4,4036.66,12110.47,12110.47,0.00,0.00,1.27,0.00,0.00
without_index_10_select,6,4,4072.55,12217.16,12217.16,0.00,0.00,1.25,0.00,0.00
without_index_10_select,8,4,4093.46,12280.88,12280.88,0.00,0.00,1.25,0.00,0.00
without_index_10_select,10,4,4008.02,12024.07,12024.07,0.00,0.00,1.32,0.00,0.00
without_index_10_select,12,4,4076.51,12229.54,12229.54,0.00,0.00,1.25,0.00,0.00
without_index_10_select,14,4,4063.10,12189.30,12189.30,0.00,0.00,1.27,0.00,0.00
without_index_10_select,16,4,4110.38,12330.63,12330.63,0.00,0.00,1.25,0.00,0.00
without_index_10_select,18,4,4119.52,12357.57,12357.57,0.00,0.00,1.25,0.00,0.00
without_index_50_insert,2,4,51.98,3313.00,0.00,1107.00,2206.00,116.80,64.97,0.00
without_index_50_insert,4,4,52.01,3249.49,0.00,957.64,2291.84,139.85,61.51,0.00
without_index_50_insert,6,4,53.50,3398.01,0.00,1099.50,2298.51,127.81,66.50,0.00
without_index_50_insert,8,4,55.00,3468.10,0.00,1118.03,2350.07,102.97,59.50,0.00
without_index_50_insert,10,4,55.50,3519.43,0.00,1126.98,2392.46,114.72,66.50,0.00
without_index_50_insert,12,4,55.00,3477.98,0.00,1071.99,2405.99,121.08,71.00,0.00
without_index_50_insert,14,4,62.00,3538.96,0.00,995.49,2543.47,97.55,52.50,0.00
without_index_50_insert,16,4,58.00,3495.11,0.00,1108.04,2387.08,106.75,66.00,0.00
without_index_50_insert,18,4,58.50,3598.88,0.00,1078.96,2519.92,86.00,70.00,0.00
without_index_50_select,2,4,3478.42,10437.27,10437.27,0.00,0.00,1.44,0.00,0.00
without_index_50_select,4,4,3492.57,10477.20,10477.20,0.00,0.00,1.47,0.00,0.00
without_index_50_select,6,4,3488.51,10465.03,10465.03,0.00,0.00,1.50,0.00,0.00
without_index_50_select,8,4,3487.01,10461.02,10461.02,0.00,0.00,1.50,0.00,0.00
without_index_50_select,10,4,3481.49,10446.47,10446.47,0.00,0.00,1.50,0.00,0.00
without_index_50_select,12,4,3509.60,10527.79,10527.79,0.00,0.00,1.44,0.00,0.00
without_index_50_select,14,4,3504.88,10516.15,10516.15,0.00,0.00,1.44,0.00,0.00
without_index_50_select,16,4,3491.73,10474.18,10474.18,0.00,0.00,1.47,0.00,0.00
without_index_50_select,18,4,3467.80,10402.91,10402.91,0.00,0.00,1.50,0.00,0.00
