Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
default_null_count_null_2,1,1,5587.93,6592.00,5587.93,1001.07,3.00,0.20,0.00,0.00
default_null_count_null_2,2,1,5591.41,6635.94,5591.41,1044.53,0.00,0.20,0.00,0.00
default_null_count_null_2,3,1,5929.11,7021.07,5929.11,1091.96,0.00,0.21,0.00,0.00
default_null_count_null_2,4,1,5833.52,6879.56,5832.52,1045.04,2.00,3773.61,0.00,0.00
default_null_count_null_2,5,1,5950.44,7011.45,5950.44,1061.01,0.00,0.19,0.00,0.00
default_null_count_null_2,6,1,6059.50,7067.50,6059.50,1008.00,0.00,0.19,0.00,0.00
default_null_count_null_2,7,1,6038.55,7056.45,6038.55,1017.90,0.00,0.19,0.00,0.00
default_null_count_query_2,8,1,664.03,1655.13,663.03,990.10,2.00,3913.34,0.00,0.00
default_null_count_null_25,1,1,5906.62,6931.69,5906.62,1022.07,3.00,0.19,0.00,0.00
default_null_count_null_25,2,1,6008.68,7077.16,6008.68,1068.48,0.00,0.19,0.00,0.00
default_null_count_null_25,3,1,5964.70,7025.67,5964.70,1060.97,0.00,0.19,0.00,0.00
default_null_count_null_25,4,1,5903.23,6882.31,5902.23,978.08,2.00,3842.17,0.00,0.00
default_null_count_null_25,5,1,5855.09,6918.05,5855.09,1062.96,0.00,0.19,0.00,0.00
default_null_count_null_25,6,1,6008.70,7080.74,6008.70,1072.04,0.00,0.19,0.00,0.00
default_null_count_null_25,7,1,6051.67,7234.61,6051.67,1182.94,0.00,0.19,0.00,0.00
default_null_count_query_25,8,1,853.00,1829.97,852.00,975.97,2.00,3707.29,0.00,0.00
not_null_count_null,1,1,5947.47,6966.63,5947.47,1016.16,3.00,0.19,0.00,0.00
not_null_count_null,2,1,5948.57,6993.94,5948.57,1045.37,0.00,0.19,0.00,0.00
not_null_count_null,3,1,6012.20,7089.24,6012.20,1077.04,0.00,0.19,0.00,0.00
not_null_count_null,4,1,5928.87,6932.83,5927.87,1002.96,2.00,3842.17,0.00,0.00
not_null_count_null,5,1,5924.62,6983.65,5924.62,1059.03,0.00,0.19,0.00,0.00
not_null_count_null,6,1,6002.44,7054.42,6002.44,1051.98,0.00,0.19,0.00,0.00
not_null_count_null,7,1,6002.04,7053.01,6002.04,1050.97,0.00,0.19,0.00,0.00
not_null_count_query,8,1,885.02,1873.06,884.02,987.04,2.00,3843.14,0.00,0.00
