Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
default_null_count_null_2,1.00,1.00,5899.59,6596.00,5899.59,693.41,3.00,0.19,0.00,0.00
default_null_count_null_2,2.00,1.00,5834.44,6611.77,5834.44,777.33,0.00,0.20,0.00,0.00
default_null_count_null_2,3.00,1.00,6002.31,6881.31,6002.31,879.00,0.00,0.19,0.00,0.00
default_null_count_null_2,4.00,1.00,5912.94,6637.93,5912.94,724.99,0.00,0.20,0.00,0.00
default_null_count_null_2,5.00,1.00,5939.58,6711.58,5939.58,772.00,0.00,0.19,0.00,0.00
default_null_count_null_2,6.00,1.00,5889.30,6581.30,5888.30,691.00,2.00,5218.11,0.00,0.00
default_null_count_null_2,7.00,1.00,5951.14,6635.14,5951.14,684.00,0.00,0.19,0.00,0.00
default_null_count_query_2,1.00,1.00,647.57,1343.98,647.57,693.41,3.00,1.55,0.00,0.00
default_null_count_query_2,2.00,1.00,656.12,1433.45,656.12,777.33,0.00,1.55,0.00,0.00
default_null_count_query_2,3.00,1.00,644.05,1523.05,644.05,879.00,0.00,1.61,0.00,0.00
default_null_count_query_2,4.00,1.00,653.00,1377.99,653.00,724.99,0.00,1.55,0.00,0.00
default_null_count_query_2,5.00,1.00,652.94,1424.94,652.94,772.00,0.00,1.55,0.00,0.00
default_null_count_query_2,6.00,1.00,652.06,1344.06,651.06,691.00,2.00,5219.47,0.00,0.00
default_null_count_query_2,7.00,1.00,652.94,1336.94,652.94,684.00,0.00,1.55,0.00,0.00
default_null_count_query_2,8.00,1.00,650.02,1504.02,650.02,854.00,0.00,1.58,0.00,0.00
default_null_count_null_25,1.00,1.00,5831.00,6889.94,5831.00,1055.94,3.00,0.19,0.00,0.00
default_null_count_null_25,2.00,1.00,5969.67,6869.17,5969.67,899.50,0.00,0.19,0.00,0.00
default_null_count_null_25,3.00,1.00,5930.48,6798.45,5930.48,867.97,0.00,0.19,0.00,0.00
default_null_count_null_25,4.00,1.00,5987.77,6852.77,5987.77,865.00,0.00,0.19,0.00,0.00
default_null_count_null_25,5.00,1.00,5878.39,6723.38,5877.39,843.99,2.00,4358.28,0.00,0.00
default_null_count_null_25,6.00,1.00,6013.98,6872.05,6013.98,858.07,0.00,0.19,0.00,0.00
default_null_count_null_25,7.00,1.00,6025.95,6816.89,6025.95,790.94,0.00,0.19,0.00,0.00
default_null_count_query_25,1.00,1.00,836.34,1895.28,836.34,1055.94,3.00,1.21,0.00,0.00
default_null_count_query_25,2.00,1.00,851.26,1750.76,851.26,899.50,0.00,1.21,0.00,0.00
default_null_count_query_25,3.00,1.00,850.01,1717.98,850.01,867.97,0.00,1.21,0.00,0.00
default_null_count_query_25,4.00,1.00,847.04,1712.04,847.04,865.00,0.00,1.21,0.00,0.00
default_null_count_query_25,5.00,1.00,844.01,1689.00,843.01,843.99,2.00,4359.32,0.00,0.00
default_null_count_query_25,6.00,1.00,846.00,1704.07,846.00,858.07,0.00,1.23,0.00,0.00
default_null_count_query_25,7.00,1.00,834.00,1624.94,834.00,790.94,0.00,1.21,0.00,0.00
default_null_count_query_25,8.00,1.00,853.01,1728.05,853.01,875.04,0.00,1.21,0.00,0.00
not_null_count_null,1.00,1.00,5985.61,6774.93,5985.61,786.32,3.00,0.19,0.00,0.00
not_null_count_null,2.00,1.00,5913.17,6773.54,5913.17,860.37,0.00,0.19,0.00,0.00
not_null_count_null,3.00,1.00,5987.43,6898.41,5987.43,910.98,0.00,0.19,0.00,0.00
not_null_count_null,4.00,1.00,5972.77,6790.73,5972.77,817.96,0.00,0.19,0.00,0.00
not_null_count_null,5.00,1.00,6004.76,6734.79,6003.76,729.03,2.00,4768.86,0.00,0.00
not_null_count_null,6.00,1.00,6006.37,6718.38,6006.37,712.01,0.00,0.19,0.00,0.00
not_null_count_null,7.00,1.00,5804.83,6527.85,5804.83,723.02,0.00,0.20,0.00,0.00
not_null_count_query,1.00,1.00,845.45,1634.77,845.45,786.32,3.00,1.32,0.00,0.00
not_null_count_query,2.00,1.00,872.16,1732.53,872.16,860.37,0.00,1.18,0.00,0.00
not_null_count_query,3.00,1.00,877.05,1788.03,877.05,910.98,0.00,1.18,0.00,0.00
not_null_count_query,4.00,1.00,875.99,1693.95,875.99,817.96,0.00,1.16,0.00,0.00
not_null_count_query,5.00,1.00,883.01,1613.04,882.01,729.03,2.00,4769.83,0.00,0.00
not_null_count_query,6.00,1.00,872.00,1584.01,872.00,712.01,0.00,1.18,0.00,0.00
not_null_count_query,7.00,1.00,882.97,1605.99,882.97,723.02,0.00,1.16,0.00,0.00
