Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
default_null_count_null_2,3.00,4.00,16304.66,20158.08,16304.66,962.36,2891.07,0.35,0.00,0.00
default_null_count_null_2,6.00,4.00,16512.73,20442.34,16511.40,986.82,2944.12,4129.27,1.67,0.00
default_null_count_null_2,9.00,4.00,16932.39,20808.97,16931.06,969.65,2908.27,4129.26,0.67,0.00
default_null_count_null_2,12.00,4.00,16823.07,20797.72,16823.07,993.66,2980.98,0.35,0.00,0.00
default_null_count_null_2,15.00,4.00,17502.37,21474.77,17501.04,1020.68,2953.05,4055.57,3.33,0.00
default_null_count_null_2,18.00,4.00,16880.85,20884.57,16879.52,1025.01,2980.04,4129.26,4.00,0.00
default_null_count_null_2,21.00,4.00,16645.94,20651.51,16644.61,1014.31,2992.59,3983.21,3.00,0.00
default_null_count_null_2,24.00,4.00,16792.49,20897.82,16792.49,1026.33,3079.00,0.35,0.00,0.00
default_null_count_null_2,27.00,4.00,16369.14,20456.56,16367.81,1024.69,3064.06,3983.22,1.33,0.00
default_null_count_null_2,30.00,4.00,16618.18,20609.51,16616.85,1020.00,2972.67,3912.15,4.67,0.00
default_null_count_null_2,33.00,4.00,17527.19,21477.51,17525.86,993.00,2958.66,4055.57,2.33,0.00
default_null_count_null_2,36.00,4.00,17004.34,20894.96,17004.34,972.66,2917.97,0.35,0.00,0.00
default_null_count_null_2,39.00,4.00,16983.82,20964.93,16982.49,1021.69,2960.75,4129.26,4.33,0.00
default_null_count_null_2,42.00,4.00,17216.02,21111.61,17214.69,985.31,2911.60,4129.25,3.33,0.00
default_null_count_null_2,45.00,4.00,16268.02,20217.34,16266.69,990.33,2960.32,4055.59,1.67,0.00
default_null_count_null_2,48.00,4.00,16452.38,20526.02,16452.72,1018.33,3054.98,0.36,0.00,0.00
default_null_count_null_2,51.00,4.00,16880.63,20707.65,16878.96,956.67,2872.02,3983.21,0.67,0.00
default_null_count_null_2,54.00,4.00,16956.79,20924.76,16955.46,1029.33,2939.98,4129.25,4.33,0.00
default_null_count_null_2,57.00,4.00,16514.77,20469.23,16513.44,994.37,2961.43,4055.58,2.33,0.00
default_null_count_null_2,60.00,4.00,17160.75,21119.39,17160.75,989.66,2968.98,0.35,0.00,0.00
default_null_count_query_2,3.00,4.00,1331.34,5184.76,1331.34,962.36,2891.07,3.13,0.00,0.00
default_null_count_query_2,6.00,4.00,1356.43,5286.04,1355.10,986.82,2944.12,4132.04,1.67,0.00
default_null_count_query_2,9.00,4.00,1362.34,5238.92,1361.01,969.65,2908.27,4131.98,0.67,0.00
default_null_count_query_2,12.00,4.00,1359.65,5334.30,1359.65,993.66,2980.98,3.13,0.00,0.00
default_null_count_query_2,15.00,4.00,1358.33,5330.73,1357.00,1020.68,2953.05,4058.36,3.33,0.00
default_null_count_query_2,18.00,4.00,1362.67,5366.39,1361.34,1025.01,2980.04,4132.04,4.00,0.00
default_null_count_query_2,21.00,4.00,1360.65,5366.22,1359.32,1014.31,2992.59,3985.99,3.00,0.00
default_null_count_query_2,24.00,4.00,1360.68,5466.01,1360.68,1026.33,3079.00,3.13,0.00,0.00
default_null_count_query_2,27.00,4.00,1366.66,5454.08,1365.33,1024.69,3064.06,3985.93,1.33,0.00
default_null_count_query_2,30.00,4.00,1364.99,5356.32,1363.66,1020.00,2972.67,3914.86,4.67,0.00
default_null_count_query_2,33.00,4.00,1363.66,5313.98,1362.33,993.00,2958.66,4058.36,2.33,0.00
default_null_count_query_2,36.00,4.00,1362.66,5253.28,1362.66,972.66,2917.97,3.07,0.00,0.00
default_null_count_query_2,39.00,4.00,1363.34,5344.45,1362.01,1021.69,2960.75,4131.98,4.33,0.00
default_null_count_query_2,42.00,4.00,1367.33,5262.92,1366.00,985.31,2911.60,4132.04,3.33,0.00
default_null_count_query_2,45.00,4.00,1362.00,5311.32,1360.67,990.33,2960.32,4058.30,1.67,0.00
default_null_count_query_2,48.00,4.00,1364.33,5437.63,1364.33,1018.33,3054.98,3.13,0.00,0.00
default_null_count_query_2,51.00,4.00,1359.33,5186.69,1358.00,956.67,2872.02,3985.99,0.67,0.00
default_null_count_query_2,54.00,4.00,1362.66,5330.63,1361.33,1029.33,2939.98,4132.04,4.33,0.00
default_null_count_query_2,57.00,4.00,1357.66,5312.12,1356.33,994.37,2961.43,4058.42,2.33,0.00
default_null_count_query_2,60.00,4.00,1350.66,5309.30,1350.66,989.66,2968.98,3.13,0.00,0.00
default_null_count_null_25,3.00,4.00,16416.28,19896.61,16416.28,869.08,2611.25,0.35,0.00,0.00
default_null_count_null_25,6.00,4.00,16302.34,19783.77,16301.01,870.44,2612.32,4600.35,0.33,0.00
default_null_count_null_25,9.00,4.00,16901.35,20365.30,16901.35,865.99,2597.96,0.35,0.00,0.00
default_null_count_null_25,12.00,4.00,16652.52,20113.52,16651.19,880.00,2582.33,4600.35,3.67,0.00
default_null_count_null_25,15.00,4.00,16628.98,20081.35,16627.65,864.67,2589.02,4683.92,1.33,0.00
default_null_count_null_25,18.00,4.00,17688.69,21158.77,17689.03,867.35,2602.39,0.33,0.00,0.00
default_null_count_null_25,21.00,4.00,16877.85,20299.44,16876.18,884.32,2538.95,4600.34,4.33,0.00
default_null_count_null_25,24.00,4.00,16023.54,19434.82,16022.21,866.99,2545.63,4683.93,3.33,0.00
default_null_count_null_25,27.00,4.00,16280.77,19779.51,16280.77,874.68,2624.05,0.36,0.00,0.00
default_null_count_null_25,30.00,4.00,17196.35,20569.36,17195.02,846.33,2528.00,4683.91,1.33,0.00
default_null_count_null_25,33.00,4.00,17877.21,21321.53,17875.88,864.00,2581.65,4600.31,1.33,0.00
default_null_count_null_25,36.00,4.00,16989.53,20474.11,16989.53,870.98,2613.60,0.35,0.00,0.00
default_null_count_null_25,39.00,4.00,16749.15,20183.61,16747.82,865.36,2570.42,4600.34,1.67,0.00
default_null_count_null_25,42.00,4.00,17255.04,20732.00,17253.71,868.66,2609.64,4600.33,0.33,0.00
default_null_count_null_25,45.00,4.00,17245.33,20650.68,17245.33,851.34,2554.01,0.34,0.00,0.00
default_null_count_null_25,48.00,4.00,17025.68,20486.24,17024.35,867.31,2594.59,4683.92,1.33,0.00
default_null_count_null_25,51.00,4.00,17229.23,20759.87,17229.23,882.66,2647.98,0.35,0.00,0.00
default_null_count_null_25,54.00,4.00,16264.07,19685.19,16262.74,859.03,2563.42,4600.35,1.67,0.00
default_null_count_null_25,57.00,4.00,16773.98,20168.53,16772.65,852.97,2542.91,4683.92,1.67,0.00
