Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
null_length_2_insert,3,4,0.00,3853.42,0.00,962.36,2891.07,0.00,0.00,0.00
null_length_2_insert,6,4,1.33,3930.94,0.00,986.82,2944.12,4128.91,1.67,0.00
null_length_2_insert,9,4,1.33,3877.91,0.00,969.65,2908.27,4128.91,0.67,0.00
null_length_2_insert,12,4,0.00,3974.65,0.00,993.66,2980.98,0.00,0.00,0.00
null_length_2_insert,15,4,1.33,3973.73,0.00,1020.68,2953.05,4055.23,3.33,0.00
null_length_2_insert,18,4,1.33,4005.05,0.00,1025.01,2980.04,4128.91,4.00,0.00
null_length_2_insert,21,4,1.33,4006.90,0.00,1014.31,2992.59,3982.86,3.00,0.00
null_length_2_insert,24,4,0.00,4105.33,0.00,1026.33,3079.00,0.00,0.00,0.00
null_length_2_insert,27,4,1.33,4088.75,0.00,1024.69,3064.06,3982.86,1.33,0.00
null_length_2_insert,30,4,1.33,3992.66,0.00,1020.00,2972.67,3911.79,4.67,0.00
null_length_2_insert,33,4,1.33,3951.65,0.00,993.00,2958.66,4055.23,2.33,0.00
null_length_2_insert,36,4,0.00,3890.62,0.00,972.66,2917.97,0.00,0.00,0.00
null_length_2_insert,39,4,1.33,3982.44,0.00,1021.69,2960.75,4128.91,4.33,0.00
null_length_2_insert,42,4,1.33,3896.92,0.00,985.31,2911.60,4128.91,3.33,0.00
null_length_2_insert,45,4,1.33,3950.65,0.00,990.33,2960.32,4055.23,1.67,0.00
null_length_2_insert,48,4,0.00,4073.30,0.00,1018.33,3054.98,0.00,0.00,0.00
null_length_2_insert,51,4,1.33,3828.69,0.00,956.67,2872.02,3982.86,0.67,0.00
null_length_2_insert,54,4,1.33,3969.30,0.00,1029.33,2939.98,4128.91,4.33,0.00
null_length_2_insert,57,4,1.33,3955.79,0.00,994.37,2961.43,4055.23,2.33,0.00
null_length_2_insert,60,4,0.00,3958.64,0.00,989.66,2968.98,0.00,0.00,0.00
null_length_2_select_default_null_count_null,3,4,16304.66,16304.66,16304.66,0.00,0.00,0.35,0.00,0.00
null_length_2_select_default_null_count_null,6,4,16511.40,16511.40,16511.40,0.00,0.00,0.36,0.00,0.00
null_length_2_select_default_null_count_null,9,4,16931.06,16931.06,16931.06,0.00,0.00,0.35,0.00,0.00
null_length_2_select_default_null_count_null,12,4,16823.07,16823.07,16823.07,0.00,0.00,0.35,0.00,0.00
null_length_2_select_default_null_count_null,15,4,17501.04,17501.04,17501.04,0.00,0.00,0.34,0.00,0.00
null_length_2_select_default_null_count_null,18,4,16879.52,16879.52,16879.52,0.00,0.00,0.35,0.00,0.00
null_length_2_select_default_null_count_null,21,4,16644.61,16644.61,16644.61,0.00,0.00,0.35,0.00,0.00
null_length_2_select_default_null_count_null,24,4,16792.49,16792.49,16792.49,0.00,0.00,0.35,0.00,0.00
null_length_2_select_default_null_count_null,27,4,16367.81,16367.81,16367.81,0.00,0.00,0.36,0.00,0.00
null_length_2_select_default_null_count_null,30,4,16616.85,16616.85,16616.85,0.00,0.00,0.36,0.00,0.00
null_length_2_select_default_null_count_null,33,4,17525.86,17525.86,17525.86,0.00,0.00,0.34,0.00,0.00
null_length_2_select_default_null_count_null,36,4,17004.34,17004.34,17004.34,0.00,0.00,0.35,0.00,0.00
null_length_2_select_default_null_count_null,39,4,16982.49,16982.49,16982.49,0.00,0.00,0.35,0.00,0.00
null_length_2_select_default_null_count_null,42,4,17214.69,17214.69,17214.69,0.00,0.00,0.34,0.00,0.00
null_length_2_select_default_null_count_null,45,4,16266.69,16266.69,16266.69,0.00,0.00,0.36,0.00,0.00
null_length_2_select_default_null_count_null,48,4,16452.38,16452.72,16452.72,0.00,0.00,0.36,0.00,0.00
null_length_2_select_default_null_count_null,51,4,16879.30,16878.96,16878.96,0.00,0.00,0.35,0.00,0.00
null_length_2_select_default_null_count_null,54,4,16955.46,16955.46,16955.46,0.00,0.00,0.34,0.00,0.00
null_length_2_select_default_null_count_null,57,4,16513.44,16513.44,16513.44,0.00,0.00,0.35,0.00,0.00
null_length_2_select_default_null_count_null,60,4,17160.75,17160.75,17160.75,0.00,0.00,0.35,0.00,0.00
null_length_2_select_default_null_count_query,3,4,1331.34,1331.34,1331.34,0.00,0.00,3.13,0.00,0.00
null_length_2_select_default_null_count_query,6,4,1355.10,1355.10,1355.10,0.00,0.00,3.13,0.00,0.00
null_length_2_select_default_null_count_query,9,4,1361.01,1361.01,1361.01,0.00,0.00,3.07,0.00,0.00
null_length_2_select_default_null_count_query,12,4,1359.65,1359.65,1359.65,0.00,0.00,3.13,0.00,0.00
null_length_2_select_default_null_count_query,15,4,1357.00,1357.00,1357.00,0.00,0.00,3.13,0.00,0.00
null_length_2_select_default_null_count_query,18,4,1361.34,1361.34,1361.34,0.00,0.00,3.13,0.00,0.00
null_length_2_select_default_null_count_query,21,4,1359.32,1359.32,1359.32,0.00,0.00,3.13,0.00,0.00
null_length_2_select_default_null_count_query,24,4,1360.68,1360.68,1360.68,0.00,0.00,3.13,0.00,0.00
null_length_2_select_default_null_count_query,27,4,1365.33,1365.33,1365.33,0.00,0.00,3.07,0.00,0.00
null_length_2_select_default_null_count_query,30,4,1363.66,1363.66,1363.66,0.00,0.00,3.07,0.00,0.00
