Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
null_length_2_insert,1,1,0.00,1119.00,0.00,1116.00,3.00,0.00,0.00,0.00
null_length_2_insert,2,1,0.00,1127.47,0.00,1127.47,0.00,0.00,0.00,0.00
null_length_2_insert,3,1,0.00,1194.01,0.00,1194.01,0.00,0.00,0.00,0.00
null_length_2_insert,4,1,1.00,1127.00,0.00,1125.00,2.00,3448.53,0.00,0.00
null_length_2_insert,5,1,0.00,1164.98,0.00,1164.98,0.00,0.00,0.00,0.00
null_length_2_insert,6,1,0.00,1129.99,0.00,1129.99,0.00,0.00,0.00,0.00
null_length_2_insert,7,1,0.00,1090.03,0.00,1090.03,0.00,0.00,0.00,0.00
null_length_2_insert,8,1,1.00,1074.01,0.00,1072.01,2.00,3574.99,0.00,0.00
null_length_2_insert,9,1,0.00,1137.00,0.00,1137.00,0.00,0.00,0.00,0.00
null_length_2_insert,10,1,0.00,1151.91,0.00,1151.91,0.00,0.00,0.00,0.00
null_length_2_select_default_null_count_null,1,1,5747.69,5747.69,5747.69,0.00,0.00,0.19,0.00,0.00
null_length_2_select_default_null_count_null,2,1,5640.10,5640.10,5640.10,0.00,0.00,0.20,0.00,0.00
null_length_2_select_default_null_count_null,3,1,5833.90,5833.90,5833.90,0.00,0.00,0.19,0.00,0.00
null_length_2_select_default_null_count_null,4,1,5976.64,5976.64,5976.64,0.00,0.00,0.19,0.00,0.00
null_length_2_select_default_null_count_null,5,1,5983.71,5983.71,5983.71,0.00,0.00,0.19,0.00,0.00
null_length_2_select_default_null_count_null,6,1,6103.35,6103.35,6103.35,0.00,0.00,0.18,0.00,0.00
null_length_2_select_default_null_count_null,7,1,6072.42,6072.42,6072.42,0.00,0.00,0.19,0.00,0.00
null_length_2_select_default_null_count_query,1,1,655.53,655.53,655.53,0.00,0.00,1.55,0.00,0.00
