Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
default_null_count_null_2,1.00,1.00,5021.51,5983.42,5021.51,958.91,3.00,0.22,0.00,0.00
default_null_count_null_2,2.00,1.00,5022.15,6050.75,5022.15,1028.60,0.00,0.22,0.00,0.00
default_null_count_null_2,3.00,1.00,4939.49,5894.50,4939.49,955.01,0.00,0.25,0.00,0.00
default_null_count_null_2,4.00,1.00,5043.80,5985.82,5043.80,942.02,0.00,0.22,0.00,0.00
default_null_count_null_2,5.00,1.00,5034.08,6043.17,5033.08,1008.09,2.00,4129.13,0.00,0.00
default_null_count_null_2,6.00,1.00,5085.09,6177.06,5085.09,1091.97,0.00,0.22,0.00,0.00
default_null_count_null_2,7.00,1.00,5088.98,6143.89,5088.98,1054.91,0.00,0.21,0.00,0.00
default_null_count_query_2,1.00,1.00,631.50,1593.41,631.50,958.91,3.00,1.61,0.00,0.00
default_null_count_query_2,2.00,1.00,637.18,1665.78,637.18,1028.60,0.00,1.61,0.00,0.00
default_null_count_query_2,3.00,1.00,640.99,1596.00,640.99,955.01,0.00,1.61,0.00,0.00
default_null_count_query_2,4.00,1.00,640.02,1582.04,640.02,942.02,0.00,1.61,0.00,0.00
default_null_count_query_2,5.00,1.00,641.01,1650.10,640.01,1008.09,2.00,4130.52,0.00,0.00
default_null_count_query_2,6.00,1.00,638.00,1729.97,638.00,1091.97,0.00,1.61,0.00,0.00
default_null_count_query_2,7.00,1.00,640.00,1694.91,640.00,1054.91,0.00,1.61,0.00,0.00
default_null_count_query_2,8.00,1.00,630.99,1632.01,629.99,1000.02,2.00,3775.15,0.00,0.00
default_null_count_null_25,1.00,1.00,5002.46,5846.50,5002.46,841.04,3.00,0.22,0.00,0.00
default_null_count_null_25,2.00,1.00,5043.51,5923.05,5043.51,879.54,0.00,0.22,0.00,0.00
default_null_count_null_25,3.00,1.00,5058.01,5895.01,5058.01,837.00,0.00,0.22,0.00,0.00
default_null_count_null_25,4.00,1.00,5089.39,5975.38,5089.39,885.99,0.00,0.21,0.00,0.00
default_null_count_null_25,5.00,1.00,5048.99,6082.95,5047.99,1032.96,2.00,4518.12,0.00,0.00
default_null_count_null_25,6.00,1.00,5117.12,6155.12,5117.12,1038.00,0.00,0.21,0.00,0.00
default_null_count_null_25,7.00,1.00,5097.80,6165.80,5098.80,1067.00,0.00,0.21,0.00,0.00
default_null_count_query_25,1.00,1.00,798.35,1642.39,798.35,841.04,3.00,1.27,0.00,0.00
default_null_count_query_25,2.00,1.00,798.23,1677.77,798.23,879.54,0.00,1.27,0.00,0.00
default_null_count_query_25,3.00,1.00,806.00,1643.00,806.00,837.00,0.00,1.27,0.00,0.00
default_null_count_query_25,4.00,1.00,808.02,1694.01,808.02,885.99,0.00,1.27,0.00,0.00
default_null_count_query_25,5.00,1.00,808.00,1841.96,807.00,1032.96,2.00,4519.17,0.00,0.00
default_null_count_query_25,6.00,1.00,806.01,1844.01,806.01,1038.00,0.00,1.27,0.00,0.00
default_null_count_query_25,7.00,1.00,806.00,1873.00,806.00,1067.00,0.00,1.27,0.00,0.00
default_null_count_query_25,8.00,1.00,805.98,1842.98,805.98,1037.00,0.00,1.30,0.00,0.00
not_null_count_null,1.00,1.00,5013.51,5871.61,5013.51,855.10,3.00,0.22,0.00,0.00
not_null_count_null,2.00,1.00,5085.81,5987.26,5085.81,901.45,0.00,0.21,0.00,0.00
not_null_count_null,3.00,1.00,5035.72,6002.73,5035.72,967.01,0.00,0.22,0.00,0.00
not_null_count_null,4.00,1.00,5052.01,5976.99,5052.01,924.98,0.00,0.22,0.00,0.00
not_null_count_null,5.00,1.00,5069.01,5910.01,5068.01,840.00,2.00,4437.49,0.00,0.00
not_null_count_null,6.00,1.00,5101.05,5951.04,5101.05,849.99,0.00,0.21,0.00,0.00
not_null_count_null,7.00,1.00,5093.93,5958.95,5093.93,865.02,0.00,0.22,0.00,0.00
not_null_count_null,8.00,1.00,5078.05,5862.08,5078.05,784.03,0.00,0.22,0.00,0.00
not_null_count_query,1.00,1.00,831.35,1689.45,831.35,855.10,3.00,1.23,0.00,0.00
not_null_count_query,2.00,1.00,792.20,1693.65,792.20,901.45,0.00,1.89,0.00,0.00
not_null_count_query,3.00,1.00,843.03,1810.04,843.03,967.01,0.00,1.23,0.00,0.00
not_null_count_query,4.00,1.00,841.99,1766.97,841.99,924.98,0.00,1.23,0.00,0.00
not_null_count_query,5.00,1.00,842.98,1683.98,841.98,840.00,2.00,4438.50,0.00,0.00
not_null_count_query,6.00,1.00,840.02,1690.01,840.02,849.99,0.00,1.23,0.00,0.00
not_null_count_query,7.00,1.00,843.01,1708.03,843.01,865.02,0.00,1.23,0.00,0.00
not_null_count_query,8.00,1.00,843.00,1627.03,843.00,784.03,0.00,1.23,0.00,0.00
