Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
null_length_2_insert,1,1,0.00,961.91,0.00,958.91,3.00,0.00,0.00,0.00
null_length_2_insert,2,1,0.00,1028.60,0.00,1028.60,0.00,0.00,0.00,0.00
null_length_2_insert,3,1,0.00,955.01,0.00,955.01,0.00,0.00,0.00,0.00
null_length_2_insert,4,1,0.00,942.02,0.00,942.02,0.00,0.00,0.00,0.00
null_length_2_insert,5,1,1.00,1010.09,0.00,1008.09,2.00,4128.91,0.00,0.00
null_length_2_insert,6,1,0.00,1091.97,0.00,1091.97,0.00,0.00,0.00,0.00
null_length_2_insert,7,1,0.00,1054.91,0.00,1054.91,0.00,0.00,0.00,0.00
null_length_2_insert,8,1,1.00,1002.02,0.00,1000.02,2.00,3773.42,0.00,0.00
null_length_2_insert,9,1,0.00,943.98,0.00,943.98,0.00,0.00,0.00,0.00
null_length_2_insert,10,1,0.00,848.10,0.00,848.10,0.00,0.00,0.00,0.00
null_length_2_insert,11,1,0.00,931.81,0.00,931.81,0.00,0.00,0.00,0.00
null_length_2_insert,12,1,0.00,931.08,0.00,931.08,0.00,0.00,0.00,0.00
null_length_2_select_default_null_count_null,1,1,5021.51,5021.51,5021.51,0.00,0.00,0.22,0.00,0.00
null_length_2_select_default_null_count_null,2,1,5022.15,5022.15,5022.15,0.00,0.00,0.22,0.00,0.00
null_length_2_select_default_null_count_null,3,1,4939.49,4939.49,4939.49,0.00,0.00,0.25,0.00,0.00
null_length_2_select_default_null_count_null,4,1,5043.80,5043.80,5043.80,0.00,0.00,0.22,0.00,0.00
null_length_2_select_default_null_count_null,5,1,5033.08,5033.08,5033.08,0.00,0.00,0.22,0.00,0.00
null_length_2_select_default_null_count_null,6,1,5085.09,5085.09,5085.09,0.00,0.00,0.22,0.00,0.00
null_length_2_select_default_null_count_null,7,1,5088.98,5088.98,5088.98,0.00,0.00,0.21,0.00,0.00
null_length_2_select_default_null_count_query,1,1,631.50,631.50,631.50,0.00,0.00,1.61,0.00,0.00
null_length_2_select_default_null_count_query,2,1,637.18,637.18,637.18,0.00,0.00,1.61,0.00,0.00
null_length_2_select_default_null_count_query,3,1,640.99,640.99,640.99,0.00,0.00,1.61,0.00,0.00
null_length_2_select_default_null_count_query,4,1,640.02,640.02,640.02,0.00,0.00,1.61,0.00,0.00
null_length_2_select_default_null_count_query,5,1,640.01,640.01,640.01,0.00,0.00,1.61,0.00,0.00
null_length_2_select_default_null_count_query,6,1,638.00,638.00,638.00,0.00,0.00,1.61,0.00,0.00
null_length_2_select_default_null_count_query,7,1,640.00,640.00,640.00,0.00,0.00,1.61,0.00,0.00
null_length_2_select_default_null_count_query,8,1,629.99,629.99,629.99,0.00,0.00,1.73,0.00,0.00
null_length_25_insert,1,1,0.00,844.04,0.00,841.04,3.00,0.00,0.00,0.00
null_length_25_insert,2,1,0.00,879.54,0.00,879.54,0.00,0.00,0.00,0.00
null_length_25_insert,3,1,0.00,837.00,0.00,837.00,0.00,0.00,0.00,0.00
null_length_25_insert,4,1,0.00,885.99,0.00,885.99,0.00,0.00,0.00,0.00
null_length_25_insert,5,1,1.00,1034.96,0.00,1032.96,2.00,4517.90,0.00,0.00
null_length_25_insert,6,1,0.00,1038.00,0.00,1038.00,0.00,0.00,0.00,0.00
null_length_25_insert,7,1,0.00,1067.00,0.00,1067.00,0.00,0.00,0.00,0.00
null_length_25_insert,8,1,0.00,1037.00,0.00,1037.00,0.00,0.00,0.00,0.00
null_length_25_select_default_null_count_null,1,1,5002.46,5002.46,5002.46,0.00,0.00,0.22,0.00,0.00
null_length_25_select_default_null_count_null,2,1,5043.51,5043.51,5043.51,0.00,0.00,0.22,0.00,0.00
null_length_25_select_default_null_count_null,3,1,5058.01,5058.01,5058.01,0.00,0.00,0.22,0.00,0.00
null_length_25_select_default_null_count_null,4,1,5089.39,5089.39,5089.39,0.00,0.00,0.21,0.00,0.00
null_length_25_select_default_null_count_null,5,1,5047.99,5047.99,5047.99,0.00,0.00,0.22,0.00,0.00
null_length_25_select_default_null_count_null,6,1,5117.12,5117.12,5117.12,0.00,0.00,0.21,0.00,0.00
null_length_25_select_default_null_count_null,7,1,5097.80,5098.80,5098.80,0.00,0.00,0.21,0.00,0.00
null_length_25_select_default_null_count_query,1,1,798.35,798.35,798.35,0.00,0.00,1.27,0.00,0.00
null_length_25_select_default_null_count_query,2,1,798.23,798.23,798.23,0.00,0.00,1.27,0.00,0.00
null_length_25_select_default_null_count_query,3,1,806.00,806.00,806.00,0.00,0.00,1.27,0.00,0.00
null_length_25_select_default_null_count_query,4,1,808.02,808.02,808.02,0.00,0.00,1.27,0.00,0.00
null_length_25_select_default_null_count_query,5,1,807.00,807.00,807.00,0.00,0.00,1.27,0.00,0.00
null_length_25_select_default_null_count_query,6,1,806.01,806.01,806.01,0.00,0.00,1.27,0.00,0.00
null_length_25_select_default_null_count_query,7,1,806.00,806.00,806.00,0.00,0.00,1.27,0.00,0.00
null_length_25_select_default_null_count_query,8,1,805.98,805.98,805.98,0.00,0.00,1.30,0.00,0.00
not_null_insert,1,1,0.00,858.10,0.00,855.10,3.00,0.00,0.00,0.00
not_null_insert,2,1,0.00,901.45,0.00,901.45,0.00,0.00,0.00,0.00
not_null_insert,3,1,0.00,967.01,0.00,967.01,0.00,0.00,0.00,0.00
not_null_insert,4,1,0.00,924.98,0.00,924.98,0.00,0.00,0.00,0.00
not_null_insert,5,1,1.00,842.00,0.00,840.00,2.00,4437.27,0.00,0.00
not_null_insert,6,1,0.00,849.99,0.00,849.99,0.00,0.00,0.00,0.00
