Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
null_2_insert,1,1,0.00,834.26,0.00,831.27,3.00,0.00,0.00,0.00
null_2_insert,2,1,0.00,794.33,0.00,794.33,0.00,0.00,0.00,0.00
null_2_insert,3,1,0.00,881.05,0.00,881.05,0.00,0.00,0.00,0.00
null_2_insert,4,1,0.00,785.91,0.00,785.91,0.00,0.00,0.00,0.00
null_2_insert,5,1,0.00,851.05,0.00,851.05,0.00,0.00,0.00,0.00
null_2_insert,6,1,1.00,880.95,0.00,878.95,2.00,5918.87,0.00,0.00
null_2_insert,7,1,0.00,993.02,0.00,993.02,0.00,0.00,0.00,0.00
null_2_insert,8,1,0.00,924.00,0.00,924.00,0.00,0.00,0.00,0.00
null_2_insert,9,1,0.00,897.05,0.00,897.05,0.00,0.00,0.00,0.00
null_2_insert,10,1,0.00,920.99,0.00,920.99,0.00,0.00,0.00,0.00
null_2_insert,11,1,0.00,949.00,0.00,949.00,0.00,0.00,0.00,0.00
null_2_select_default_null_count_null,1,1,5895.39,5895.39,5895.39,0.00,0.00,0.19,0.00,0.00
null_2_select_default_null_count_null,2,1,6004.61,6004.61,6004.61,0.00,0.00,0.19,0.00,0.00
null_2_select_default_null_count_null,3,1,6030.59,6030.59,6030.59,0.00,0.00,0.19,0.00,0.00
null_2_select_default_null_count_null,4,1,5970.99,5970.99,5970.99,0.00,0.00,0.19,0.00,0.00
null_2_select_default_null_count_null,5,1,6048.04,6048.04,6048.04,0.00,0.00,0.19,0.00,0.00
null_2_select_default_null_count_null,6,1,5981.94,5981.94,5981.94,0.00,0.00,0.19,0.00,0.00
null_2_select_default_null_count_null,7,1,6074.43,6074.43,6074.43,0.00,0.00,0.19,0.00,0.00
null_25_insert,1,1,0.00,887.28,0.00,884.28,3.00,0.00,0.00,0.00
null_25_insert,2,1,0.00,890.34,0.00,890.34,0.00,0.00,0.00,0.00
null_25_insert,3,1,0.00,881.95,0.00,881.95,0.00,0.00,0.00,0.00
null_25_insert,4,1,0.00,928.06,0.00,928.06,0.00,0.00,0.00,0.00
null_25_insert,5,1,0.00,864.96,0.00,864.96,0.00,0.00,0.00,0.00
null_25_insert,6,1,1.00,888.99,0.00,886.99,2.00,5607.61,0.00,0.00
null_25_insert,7,1,0.00,897.03,0.00,897.03,0.00,0.00,0.00,0.00
null_25_insert,8,1,0.00,926.01,0.00,926.01,0.00,0.00,0.00,0.00
null_25_insert,9,1,0.00,788.98,0.00,788.98,0.00,0.00,0.00,0.00
null_25_insert,10,1,0.00,909.03,0.00,909.03,0.00,0.00,0.00,0.00
null_25_insert,11,1,0.00,869.93,0.00,869.93,0.00,0.00,0.00,0.00
null_25_select_default_null_count_null,1,1,5928.80,5928.80,5928.80,0.00,0.00,0.19,0.00,0.00
null_25_select_default_null_count_null,2,1,5836.26,5836.26,5836.26,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,3,1,5941.04,5941.04,5941.04,0.00,0.00,0.19,0.00,0.00
null_25_select_default_null_count_null,4,1,5871.61,5872.61,5872.61,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,5,1,5911.01,5910.01,5910.01,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,6,1,5971.45,5971.45,5971.45,0.00,0.00,0.19,0.00,0.00
null_25_select_default_null_count_null,7,1,5810.89,5810.89,5810.89,0.00,0.00,0.20,0.00,0.00
not_null_25_insert,1,1,0.00,817.26,0.00,814.27,3.00,0.00,0.00,0.00
not_null_25_insert,2,1,0.00,1050.46,0.00,1050.46,0.00,0.00,0.00,0.00
not_null_25_insert,3,1,0.00,980.00,0.00,980.00,0.00,0.00,0.00,0.00
not_null_25_insert,4,1,0.00,924.98,0.00,924.98,0.00,0.00,0.00,0.00
not_null_25_insert,5,1,0.00,871.04,0.00,871.04,0.00,0.00,0.00,0.00
not_null_25_insert,6,1,1.00,904.00,0.00,902.00,2.00,5409.26,0.00,0.00
not_null_25_insert,7,1,0.00,877.01,0.00,877.01,0.00,0.00,0.00,0.00
not_null_25_insert,8,1,0.00,911.95,0.00,911.95,0.00,0.00,0.00,0.00
not_null_25_insert,9,1,0.00,990.98,0.00,990.98,0.00,0.00,0.00,0.00
not_null_25_insert,10,1,0.00,934.04,0.00,934.04,0.00,0.00,0.00,0.00
not_null_25_select_not_null_count_null,1,1,5954.85,5954.85,5954.85,0.00,0.00,0.19,0.00,0.00
not_null_25_select_not_null_count_null,2,1,5925.37,5925.37,5925.37,0.00,0.00,0.19,0.00,0.00
not_null_25_select_not_null_count_null,3,1,5901.08,5901.08,5901.08,0.00,0.00,0.19,0.00,0.00
not_null_25_select_not_null_count_null,4,1,5734.05,5734.05,5734.05,0.00,0.00,0.20,0.00,0.00
not_null_25_select_not_null_count_null,5,1,5907.55,5907.55,5907.55,0.00,0.00,0.19,0.00,0.00
not_null_25_select_not_null_count_null,6,1,5926.37,5926.37,5926.37,0.00,0.00,0.19,0.00,0.00
not_null_25_select_not_null_count_null,7,1,5958.09,5958.09,5958.09,0.00,0.00,0.19,0.00,0.00
