Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
null_2_insert,1,1,0.00,969.06,0.00,966.06,3.00,0.00,0.00,0.00
null_2_insert,2,1,0.00,999.50,0.00,999.50,0.00,0.00,0.00,0.00
null_2_insert,3,1,0.00,998.97,0.00,998.97,0.00,0.00,0.00,0.00
null_2_insert,4,1,0.00,944.01,0.00,944.01,0.00,0.00,0.00,0.00
null_2_insert,5,1,0.00,870.95,0.00,870.95,0.00,0.00,0.00,0.00
null_2_insert,6,1,1.00,918.09,0.00,916.09,2.00,5217.92,0.00,0.00
null_2_insert,7,1,0.00,1113.94,0.00,1113.94,0.00,0.00,0.00,0.00
null_2_insert,8,1,0.00,1053.02,0.00,1053.02,0.00,0.00,0.00,0.00
null_2_insert,9,1,0.00,1052.00,0.00,1052.00,0.00,0.00,0.00,0.00
null_2_insert,10,1,0.00,1009.98,0.00,1009.98,0.00,0.00,0.00,0.00
null_2_select_default_null_count_null,1,1,5912.69,5912.69,5912.69,0.00,0.00,0.19,0.00,0.00
null_2_select_default_null_count_null,2,1,5946.57,5946.57,5946.57,0.00,0.00,0.19,0.00,0.00
null_2_select_default_null_count_null,3,1,5878.96,5878.96,5878.96,0.00,0.00,0.20,0.00,0.00
null_2_select_default_null_count_null,4,1,5953.81,5953.81,5953.81,0.00,0.00,0.19,0.00,0.00
null_2_select_default_null_count_null,5,1,5860.81,5860.81,5860.81,0.00,0.00,0.20,0.00,0.00
null_2_select_default_null_count_null,6,1,5567.35,5567.35,5567.35,0.00,0.00,0.20,0.00,0.00
null_2_select_default_null_count_null,7,1,5572.01,5572.01,5572.01,0.00,0.00,0.20,0.00,0.00
null_25_insert,1,1,0.00,864.22,0.00,861.23,3.00,0.00,0.00,0.00
null_25_insert,2,1,0.00,780.32,0.00,780.32,0.00,0.00,0.00,0.00
null_25_insert,3,1,0.00,958.01,0.00,958.01,0.00,0.00,0.00,0.00
null_25_insert,4,1,0.00,990.08,0.00,990.08,0.00,0.00,0.00,0.00
null_25_insert,5,1,0.00,964.93,0.00,964.93,0.00,0.00,0.00,0.00
null_25_insert,6,1,1.00,970.00,0.00,968.00,2.00,5409.26,0.00,0.00
null_25_insert,7,1,0.00,1035.06,0.00,1035.06,0.00,0.00,0.00,0.00
null_25_insert,8,1,0.00,1029.00,0.00,1029.00,0.00,0.00,0.00,0.00
null_25_insert,9,1,0.00,1024.96,0.00,1024.96,0.00,0.00,0.00,0.00
null_25_insert,10,1,0.00,1018.95,0.00,1018.95,0.00,0.00,0.00,0.00
null_25_select_default_null_count_null,1,1,5809.79,5809.79,5809.79,0.00,0.00,0.19,0.00,0.00
null_25_select_default_null_count_null,2,1,5957.43,5957.43,5957.43,0.00,0.00,0.19,0.00,0.00
null_25_select_default_null_count_null,3,1,5797.03,5797.03,5797.03,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,4,1,5810.70,5810.70,5810.70,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,5,1,5813.24,5814.24,5814.24,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,6,1,5882.11,5881.11,5881.11,0.00,0.00,0.19,0.00,0.00
null_25_select_default_null_count_null,7,1,5889.74,5889.74,5889.74,0.00,0.00,0.20,0.00,0.00
not_null_25_insert,1,1,0.00,949.13,0.00,946.13,3.00,0.00,0.00,0.00
not_null_25_insert,2,1,0.00,1004.47,0.00,1004.47,0.00,0.00,0.00,0.00
not_null_25_insert,3,1,0.00,984.00,0.00,984.00,0.00,0.00,0.00,0.00
not_null_25_insert,4,1,0.00,1004.94,0.00,1004.94,0.00,0.00,0.00,0.00
not_null_25_insert,5,1,0.00,1023.07,0.00,1023.07,0.00,0.00,0.00,0.00
not_null_25_insert,6,1,1.00,984.00,0.00,982.00,2.00,5033.35,0.00,0.00
not_null_25_insert,7,1,0.00,1021.94,0.00,1021.94,0.00,0.00,0.00,0.00
not_null_25_insert,8,1,0.00,1007.99,0.00,1007.99,0.00,0.00,0.00,0.00
not_null_25_insert,9,1,0.00,1017.00,0.00,1017.00,0.00,0.00,0.00,0.00
not_null_25_select_not_null_count_null,1,1,5803.28,5803.28,5803.28,0.00,0.00,0.20,0.00,0.00
not_null_25_select_not_null_count_null,2,1,5837.12,5837.12,5837.12,0.00,0.00,0.20,0.00,0.00
not_null_25_select_not_null_count_null,3,1,5864.57,5864.57,5864.57,0.00,0.00,0.20,0.00,0.00
not_null_25_select_not_null_count_null,4,1,5894.93,5894.93,5894.93,0.00,0.00,0.20,0.00,0.00
not_null_25_select_not_null_count_null,5,1,5934.66,5934.66,5934.66,0.00,0.00,0.19,0.00,0.00
not_null_25_select_not_null_count_null,6,1,5944.28,5944.28,5944.28,0.00,0.00,0.19,0.00,0.00
not_null_25_select_not_null_count_null,7,1,5832.48,5832.48,5832.48,0.00,0.00,0.20,0.00,0.00
