Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
null_2_insert,1,1,0.00,1013.04,0.00,1010.04,3.00,0.00,0.00,0.00
null_2_insert,2,1,0.00,1085.48,0.00,1085.48,0.00,0.00,0.00,0.00
null_2_insert,3,1,0.00,1129.03,0.00,1129.03,0.00,0.00,0.00,0.00
null_2_insert,4,1,0.00,1154.98,0.00,1154.98,0.00,0.00,0.00,0.00
null_2_insert,5,1,1.00,1048.94,0.00,1046.94,2.00,4599.99,0.00,0.00
null_2_insert,6,1,0.00,1155.11,0.00,1155.11,0.00,0.00,0.00,0.00
null_2_insert,7,1,0.00,1089.96,0.00,1089.96,0.00,0.00,0.00,0.00
null_2_insert,8,1,0.00,1107.00,0.00,1107.00,0.00,0.00,0.00,0.00
null_2_insert,9,1,0.00,1030.95,0.00,1030.95,0.00,0.00,0.00,0.00
null_2_select_default_null_count_null,1,1,5473.65,5473.65,5473.65,0.00,0.00,0.21,0.00,0.00
null_2_select_default_null_count_null,2,1,5585.58,5585.58,5585.58,0.00,0.00,0.21,0.00,0.00
null_2_select_default_null_count_null,3,1,5723.97,5723.97,5723.97,0.00,0.00,0.21,0.00,0.00
null_2_select_default_null_count_null,4,1,5660.23,5660.23,5660.23,0.00,0.00,0.22,0.00,0.00
null_2_select_default_null_count_null,5,1,5780.47,5780.47,5780.47,0.00,0.00,0.21,0.00,0.00
null_2_select_default_null_count_null,6,1,5679.48,5679.48,5679.48,0.00,0.00,0.21,0.00,0.00
null_2_select_default_null_count_null,7,1,5656.94,5656.94,5656.94,0.00,0.00,0.21,0.00,0.00
null_25_insert,1,1,0.00,1132.97,0.00,1129.97,3.00,0.00,0.00,0.00
null_25_insert,2,1,0.00,1155.47,0.00,1155.47,0.00,0.00,0.00,0.00
null_25_insert,3,1,0.00,1128.93,0.00,1128.93,0.00,0.00,0.00,0.00
null_25_insert,4,1,0.00,1095.06,0.00,1095.06,0.00,0.00,0.00,0.00
null_25_insert,5,1,1.00,1047.03,0.00,1045.03,2.00,4437.27,0.00,0.00
null_25_insert,6,1,0.00,1169.96,0.00,1169.96,0.00,0.00,0.00,0.00
null_25_insert,7,1,0.00,1137.06,0.00,1137.06,0.00,0.00,0.00,0.00
null_25_insert,8,1,0.00,1147.92,0.00,1147.92,0.00,0.00,0.00,0.00
null_25_select_default_null_count_null,1,1,5797.82,5797.82,5797.82,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,2,1,5871.17,5871.17,5871.17,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,3,1,5915.39,5915.39,5915.39,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,4,1,5784.65,5784.65,5784.65,0.00,0.00,0.21,0.00,0.00
null_25_select_default_null_count_null,5,1,5880.46,5880.46,5880.46,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,6,1,5824.03,5824.03,5824.03,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,7,1,5713.91,5713.91,5713.91,0.00,0.00,0.21,0.00,0.00
not_null_25_insert,1,1,0.00,1196.82,0.00,1193.82,3.00,0.00,0.00,0.00
not_null_25_insert,2,1,0.00,1188.52,0.00,1188.52,0.00,0.00,0.00,0.00
not_null_25_insert,3,1,0.00,1150.06,0.00,1150.06,0.00,0.00,0.00,0.00
not_null_25_insert,4,1,0.00,1094.93,0.00,1094.93,0.00,0.00,0.00,0.00
not_null_25_insert,5,1,1.00,1042.04,0.00,1040.04,2.00,4358.09,0.00,0.00
not_null_25_insert,6,1,0.00,1108.00,0.00,1108.00,0.00,0.00,0.00,0.00
not_null_25_insert,7,1,0.00,1164.97,0.00,1164.97,0.00,0.00,0.00,0.00
not_null_25_insert,8,1,0.00,1110.03,0.00,1110.03,0.00,0.00,0.00,0.00
not_null_25_select_not_null_count_null,1,1,5738.85,5738.85,5738.85,0.00,0.00,0.21,0.00,0.00
not_null_25_select_not_null_count_null,2,1,5773.99,5773.99,5773.99,0.00,0.00,0.21,0.00,0.00
not_null_25_select_not_null_count_null,3,1,5824.02,5824.02,5824.02,0.00,0.00,0.20,0.00,0.00
not_null_25_select_not_null_count_null,4,1,5763.03,5763.03,5763.03,0.00,0.00,0.21,0.00,0.00
not_null_25_select_not_null_count_null,5,1,5821.17,5821.17,5821.17,0.00,0.00,0.20,0.00,0.00
not_null_25_select_not_null_count_null,6,1,5740.12,5740.12,5740.12,0.00,0.00,0.21,0.00,0.00
not_null_25_select_not_null_count_null,7,1,5655.11,5655.11,5655.11,0.00,0.00,0.21,0.00,0.00
