Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
default_null_count_null_2,1,1,5742.91,6581.13,5742.91,835.22,3.00,0.20,0.00,0.00,838.22
default_null_count_null_2,2,1,5885.35,6707.76,5885.35,822.41,0.00,0.20,0.00,0.00,822.41
default_null_count_null_2,3,1,5940.61,6776.57,5940.61,835.96,0.00,0.19,0.00,0.00,835.96
default_null_count_null_2,4,1,5935.54,6832.59,5935.54,897.05,0.00,0.20,0.00,0.00,897.05
default_null_count_null_2,5,1,5813.53,6645.45,5812.53,830.92,2.00,4683.77,0.00,0.00,832.92
default_null_count_null_2,6,1,5898.33,6674.37,5898.33,776.04,0.00,0.20,0.00,0.00,776.04
default_null_count_null_2,7,1,6035.75,6838.76,6035.75,803.01,0.00,0.19,0.00,0.00,803.01
default_null_count_query_2,1,1,549.61,1387.83,549.61,835.22,3.00,1.82,0.00,0.00,838.22
default_null_count_query_2,2,1,548.09,1370.50,548.09,822.41,0.00,1.86,0.00,0.00,822.41
default_null_count_query_2,3,1,550.02,1385.98,550.02,835.96,0.00,1.86,0.00,0.00,835.96
default_null_count_query_2,4,1,556.04,1453.09,556.04,897.05,0.00,1.82,0.00,0.00,897.05
default_null_count_query_2,5,1,555.95,1387.87,554.95,830.92,2.00,4685.43,0.00,0.00,832.92
default_null_count_query_2,6,1,558.06,1334.10,558.06,776.04,0.00,1.82,0.00,0.00,776.04
default_null_count_query_2,7,1,556.96,1359.97,556.96,803.01,0.00,1.82,0.00,0.00,803.01
default_null_count_query_2,8,1,557.04,1313.04,557.04,756.00,0.00,1.82,0.00,0.00,756.00
default_null_count_null_25,1,1,5830.48,6688.67,5830.48,855.19,3.00,0.20,0.00,0.00,858.19
default_null_count_null_25,2,1,5861.49,6654.87,5861.49,793.38,0.00,0.20,0.00,0.00,793.38
default_null_count_null_25,3,1,5922.88,6724.85,5922.88,801.97,0.00,0.19,0.00,0.00,801.97
default_null_count_null_25,4,1,5836.23,6570.26,5836.23,734.03,0.00,0.20,0.00,0.00,734.03
default_null_count_null_25,5,1,5827.13,6639.10,5828.13,810.97,0.00,0.20,0.00,0.00,810.97
default_null_count_null_25,6,1,5790.51,6600.57,5788.51,810.06,2.00,5033.55,0.00,0.00,812.06
default_null_count_null_25,7,1,5733.30,6572.25,5733.30,838.95,0.00,0.20,0.00,0.00,838.95
default_null_count_query_25,1,1,831.47,1689.66,831.47,855.19,3.00,1.23,0.00,0.00,858.19
default_null_count_query_25,2,1,841.18,1634.56,841.18,793.38,0.00,1.21,0.00,0.00,793.38
default_null_count_query_25,3,1,838.00,1639.97,838.00,801.97,0.00,1.23,0.00,0.00,801.97
default_null_count_query_25,4,1,838.01,1572.04,838.01,734.03,0.00,1.23,0.00,0.00,734.03
default_null_count_query_25,5,1,844.00,1654.97,844.00,810.97,0.00,1.23,0.00,0.00,810.97
default_null_count_query_25,6,1,844.00,1655.06,843.00,810.06,2.00,5034.58,0.00,0.00,812.06
default_null_count_query_25,7,1,841.00,1679.95,841.00,838.95,0.00,1.23,0.00,0.00,838.95
default_null_count_query_25,8,1,839.95,1783.97,839.95,944.02,0.00,1.23,0.00,0.00,944.02
not_null_count_null,1,1,5840.55,6716.71,5840.55,873.17,3.00,0.20,0.00,0.00,876.16
not_null_count_null,2,1,5998.58,6822.91,5998.58,824.33,0.00,0.19,0.00,0.00,824.33
not_null_count_null,3,1,5939.95,6821.98,5939.95,882.03,0.00,0.19,0.00,0.00,882.03
not_null_count_null,4,1,5920.14,6701.15,5920.14,781.01,0.00,0.19,0.00,0.00,781.01
not_null_count_null,5,1,5967.48,6766.48,5966.48,798.00,2.00,4768.86,0.00,0.00,800.00
not_null_count_null,6,1,5919.43,6737.38,5919.43,817.95,0.00,0.19,0.00,0.00,817.95
not_null_count_null,7,1,5960.86,6723.90,5960.86,763.04,0.00,0.19,0.00,0.00,763.04
not_null_count_query,1,1,853.43,1729.59,853.43,873.17,3.00,1.18,0.00,0.00,876.16
not_null_count_query,2,1,860.16,1684.49,860.16,824.33,0.00,1.18,0.00,0.00,824.33
not_null_count_query,3,1,864.02,1746.05,864.02,882.03,0.00,1.18,0.00,0.00,882.03
not_null_count_query,4,1,865.01,1646.02,865.01,781.01,0.00,1.18,0.00,0.00,781.01
not_null_count_query,5,1,857.02,1656.02,856.02,798.00,2.00,4769.88,0.00,0.00,800.00
not_null_count_query,6,1,860.00,1677.95,860.00,817.95,0.00,1.21,0.00,0.00,817.95
not_null_count_query,7,1,858.95,1621.99,858.95,763.04,0.00,1.21,0.00,0.00,763.04
