Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
default_null_count_null_2,1,1,5843.79,6840.72,5843.79,993.93,3.00,0.19,0.00,0.00,996.93
default_null_count_null_2,2,1,5994.67,6948.29,5994.67,953.62,0.00,0.19,0.00,0.00,953.62
default_null_count_null_2,3,1,5867.82,6792.78,5867.82,924.96,0.00,0.20,0.00,0.00,924.96
default_null_count_null_2,4,1,5933.83,6887.80,5933.83,953.97,0.00,0.19,0.00,0.00,953.97
default_null_count_null_2,5,1,5932.37,6829.37,5931.37,896.00,2.00,4204.13,0.00,0.00,898.00
default_null_count_null_2,6,1,5870.41,6771.40,5870.41,900.99,0.00,0.19,0.00,0.00,900.99
default_null_count_null_2,7,1,5942.29,6997.32,5942.29,1055.03,0.00,0.19,0.00,0.00,1055.03
default_null_count_query_2,1,1,550.63,1547.56,550.63,993.93,3.00,1.82,0.00,0.00,996.93
default_null_count_query_2,2,1,556.14,1509.76,556.14,953.62,0.00,1.82,0.00,0.00,953.62
default_null_count_query_2,3,1,554.95,1479.91,554.95,924.96,0.00,1.82,0.00,0.00,924.96
default_null_count_query_2,4,1,555.98,1509.95,555.98,953.97,0.00,1.82,0.00,0.00,953.97
default_null_count_query_2,5,1,557.02,1454.02,556.02,896.00,2.00,4205.75,0.00,0.00,898.00
default_null_count_query_2,6,1,554.00,1454.99,554.00,900.99,0.00,1.82,0.00,0.00,900.99
default_null_count_query_2,7,1,554.98,1610.01,554.98,1055.03,0.00,1.82,0.00,0.00,1055.03
default_null_count_query_2,8,1,556.07,1567.09,556.07,1011.02,0.00,1.82,0.00,0.00,1011.02
default_null_count_null_25,1,1,5762.91,6690.05,5762.91,924.15,3.00,0.20,0.00,0.00,927.14
default_null_count_null_25,2,1,5870.47,6771.88,5870.47,901.41,0.00,0.20,0.00,0.00,901.41
default_null_count_null_25,3,1,5883.76,6815.74,5883.76,931.98,0.00,0.20,0.00,0.00,931.98
default_null_count_null_25,4,1,6028.61,6982.64,6028.61,954.03,0.00,0.19,0.00,0.00,954.03
default_null_count_null_25,5,1,5879.56,6799.50,5878.56,918.94,2.00,4280.51,0.00,0.00,920.94
default_null_count_null_25,6,1,5902.08,6895.09,5902.08,993.01,0.00,0.19,0.00,0.00,993.01
default_null_count_null_25,7,1,5962.86,6931.90,5962.86,969.04,0.00,0.19,0.00,0.00,969.04
default_null_count_query_25,1,1,835.46,1762.60,835.46,924.15,3.00,1.23,0.00,0.00,927.14
default_null_count_query_25,2,1,845.20,1746.61,845.20,901.41,0.00,1.23,0.00,0.00,901.41
default_null_count_query_25,3,1,839.95,1771.93,839.95,931.98,0.00,1.23,0.00,0.00,931.98
default_null_count_query_25,4,1,850.05,1804.08,850.05,954.03,0.00,1.21,0.00,0.00,954.03
default_null_count_query_25,5,1,850.95,1770.89,849.95,918.94,2.00,4281.53,0.00,0.00,920.94
default_null_count_query_25,6,1,847.02,1840.03,847.02,993.01,0.00,1.23,0.00,0.00,993.01
default_null_count_query_25,7,1,847.03,1816.07,847.03,969.04,0.00,1.23,0.00,0.00,969.04
default_null_count_query_25,8,1,851.00,1818.98,851.00,967.98,0.00,1.21,0.00,0.00,967.98
not_null_count_null,1,1,5800.67,6752.73,5800.67,949.07,3.00,0.20,0.00,0.00,952.06
not_null_count_null,2,1,5892.55,6829.03,5892.55,936.48,0.00,0.20,0.00,0.00,936.48
not_null_count_null,3,1,5890.57,6875.56,5890.57,984.99,0.00,0.19,0.00,0.00,984.99
not_null_count_null,4,1,5893.19,6872.16,5893.19,978.97,0.00,0.19,0.00,0.00,978.97
not_null_count_null,5,1,5889.04,6771.04,5888.04,881.00,2.00,4129.11,0.00,0.00,883.00
not_null_count_null,6,1,5799.58,6736.63,5799.58,937.05,0.00,0.20,0.00,0.00,937.05
not_null_count_null,7,1,5913.41,6853.40,5913.41,939.99,0.00,0.19,0.00,0.00,939.99
not_null_count_query,1,1,861.34,1813.40,861.34,949.07,3.00,1.18,0.00,0.00,952.06
not_null_count_query,2,1,873.27,1809.75,873.27,936.48,0.00,1.16,0.00,0.00,936.48
not_null_count_query,3,1,876.98,1861.97,876.98,984.99,0.00,1.16,0.00,0.00,984.99
not_null_count_query,4,1,876.02,1854.99,876.02,978.97,0.00,1.16,0.00,0.00,978.97
not_null_count_query,5,1,877.01,1759.01,876.01,881.00,2.00,4130.07,0.00,0.00,883.00
not_null_count_query,6,1,867.98,1805.03,867.98,937.05,0.00,1.18,0.00,0.00,937.05
not_null_count_query,7,1,874.05,1814.04,874.05,939.99,0.00,1.18,0.00,0.00,939.99
