Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
null_2_insert,1,1,0.00,1131.94,0.00,1128.94,3.00,0.00,0.00,0.00
null_2_insert,2,1,0.00,1174.49,0.00,1174.49,0.00,0.00,0.00,0.00
null_2_insert,3,1,0.00,1167.02,0.00,1167.02,0.00,0.00,0.00,0.00
null_2_insert,4,1,0.00,1173.02,0.00,1173.02,0.00,0.00,0.00,0.00
null_2_insert,5,1,1.00,1081.02,0.00,1079.02,2.00,4280.32,0.00,0.00
null_2_insert,6,1,0.00,1149.97,0.00,1149.97,0.00,0.00,0.00,0.00
null_2_insert,7,1,0.00,1152.04,0.00,1152.04,0.00,0.00,0.00,0.00
null_2_insert,8,1,0.00,1131.93,0.00,1131.93,0.00,0.00,0.00,0.00
null_2_select_default_null_count_null,1,1,5835.46,5835.46,5835.46,0.00,0.00,0.20,0.00,0.00
null_2_select_default_null_count_null,2,1,5821.63,5821.63,5821.63,0.00,0.00,0.20,0.00,0.00
null_2_select_default_null_count_null,3,1,5875.86,5875.86,5875.86,0.00,0.00,0.20,0.00,0.00
null_2_select_default_null_count_null,4,1,5791.81,5791.81,5791.81,0.00,0.00,0.20,0.00,0.00
null_2_select_default_null_count_null,5,1,5921.13,5921.13,5921.13,0.00,0.00,0.19,0.00,0.00
null_2_select_default_null_count_null,6,1,5952.09,5952.09,5952.09,0.00,0.00,0.19,0.00,0.00
null_2_select_default_null_count_null,7,1,5925.13,5926.13,5926.13,0.00,0.00,0.19,0.00,0.00
null_2_select_default_null_count_null,8,1,5544.55,5543.55,5543.55,0.00,0.00,0.20,0.00,0.00
null_2_select_default_null_count_query,1,1,457.70,457.70,457.70,0.00,0.00,2.22,0.00,0.00
null_2_select_default_null_count_query,2,1,465.10,465.10,465.10,0.00,0.00,2.18,0.00,0.00
null_2_select_default_null_count_query,3,1,459.97,459.97,459.97,0.00,0.00,2.18,0.00,0.00
null_2_select_default_null_count_query,4,1,464.01,464.01,464.01,0.00,0.00,2.18,0.00,0.00
null_2_select_default_null_count_query,5,1,460.03,460.03,460.03,0.00,0.00,2.22,0.00,0.00
null_2_select_default_null_count_query,6,1,463.00,463.00,463.00,0.00,0.00,2.18,0.00,0.00
null_2_select_default_null_count_query,7,1,463.99,463.99,463.99,0.00,0.00,2.18,0.00,0.00
null_2_select_default_null_count_query,8,1,462.99,462.99,462.99,0.00,0.00,2.18,0.00,0.00
null_25_insert,1,1,0.00,1128.97,0.00,1125.97,3.00,0.00,0.00,0.00
null_25_insert,2,1,0.00,1132.50,0.00,1132.50,0.00,0.00,0.00,0.00
null_25_insert,3,1,0.00,1149.98,0.00,1149.98,0.00,0.00,0.00,0.00
null_25_insert,4,1,0.00,1126.99,0.00,1126.99,0.00,0.00,0.00,0.00
null_25_insert,5,1,1.00,1113.02,0.00,1111.02,2.00,4358.09,0.00,0.00
null_25_insert,6,1,0.00,1165.01,0.00,1165.01,0.00,0.00,0.00,0.00
null_25_insert,7,1,0.00,1143.01,0.00,1143.01,0.00,0.00,0.00,0.00
null_25_insert,8,1,0.00,1144.99,0.00,1144.99,0.00,0.00,0.00,0.00
null_25_select_default_null_count_null,1,1,5855.44,5855.44,5855.44,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,2,1,5846.50,5846.50,5846.50,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,3,1,5930.66,5930.66,5930.66,0.00,0.00,0.19,0.00,0.00
null_25_select_default_null_count_null,4,1,5845.50,5845.50,5845.50,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,5,1,5833.98,5833.98,5833.98,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,6,1,5880.05,5880.05,5880.05,0.00,0.00,0.20,0.00,0.00
null_25_select_default_null_count_null,7,1,5898.78,5898.78,5898.78,0.00,0.00,0.19,0.00,0.00
null_25_select_default_null_count_query,1,1,699.55,699.55,699.55,0.00,0.00,1.44,0.00,0.00
null_25_select_default_null_count_query,2,1,689.12,689.12,689.12,0.00,0.00,1.52,0.00,0.00
null_25_select_default_null_count_query,3,1,703.03,703.03,703.03,0.00,0.00,1.47,0.00,0.00
null_25_select_default_null_count_query,4,1,701.99,701.99,701.99,0.00,0.00,1.47,0.00,0.00
null_25_select_default_null_count_query,5,1,701.01,701.01,701.01,0.00,0.00,1.47,0.00,0.00
null_25_select_default_null_count_query,6,1,709.01,709.01,709.01,0.00,0.00,1.44,0.00,0.00
null_25_select_default_null_count_query,7,1,699.00,699.00,699.00,0.00,0.00,1.47,0.00,0.00
null_25_select_default_null_count_query,8,1,702.93,702.93,702.93,0.00,0.00,1.47,0.00,0.00
not_null_insert,1,1,0.00,1117.68,0.00,1114.69,3.00,0.00,0.00,0.00
not_null_insert,2,1,0.00,1098.67,0.00,1098.67,0.00,0.00,0.00,0.00
not_null_insert,3,1,0.00,1103.09,0.00,1103.09,0.00,0.00,0.00,0.00
not_null_insert,4,1,0.00,1051.97,0.00,1051.97,0.00,0.00,0.00,0.00
not_null_insert,5,1,1.00,1041.96,0.00,1039.96,2.00,4599.99,0.00,0.00
not_null_insert,6,1,0.00,1115.95,0.00,1115.95,0.00,0.00,0.00,0.00
not_null_insert,7,1,0.00,1090.15,0.00,1090.15,0.00,0.00,0.00,0.00
not_null_insert,8,1,0.00,1085.80,0.00,1085.80,0.00,0.00,0.00,0.00
not_null_insert,9,1,0.00,1116.17,0.00,1116.17,0.00,0.00,0.00,0.00
not_null_select_not_null_count_null,1,1,5740.73,5740.73,5740.73,0.00,0.00,0.20,0.00,0.00
not_null_select_not_null_count_null,2,1,5848.43,5848.43,5848.43,0.00,0.00,0.20,0.00,0.00
not_null_select_not_null_count_null,3,1,5846.93,5846.93,5846.93,0.00,0.00,0.20,0.00,0.00
not_null_select_not_null_count_null,4,1,5735.65,5735.65,5735.65,0.00,0.00,0.20,0.00,0.00
not_null_select_not_null_count_null,5,1,5911.23,5911.23,5911.23,0.00,0.00,0.19,0.00,0.00
not_null_select_not_null_count_null,6,1,5994.08,5994.08,5994.08,0.00,0.00,0.19,0.00,0.00
not_null_select_not_null_count_null,7,1,5859.98,5860.98,5860.98,0.00,0.00,0.20,0.00,0.00
not_null_select_not_null_count_query,1,1,724.52,724.52,724.52,0.00,0.00,1.42,0.00,0.00
not_null_select_not_null_count_query,2,1,718.17,718.17,718.17,0.00,0.00,1.52,0.00,0.00
not_null_select_not_null_count_query,3,1,732.00,732.00,732.00,0.00,0.00,1.39,0.00,0.00
not_null_select_not_null_count_query,4,1,727.98,727.98,727.98,0.00,0.00,1.39,0.00,0.00
not_null_select_not_null_count_query,5,1,727.99,727.99,727.99,0.00,0.00,1.42,0.00,0.00
not_null_select_not_null_count_query,6,1,730.00,730.00,730.00,0.00,0.00,1.39,0.00,0.00
not_null_select_not_null_count_query,7,1,730.03,730.03,730.03,0.00,0.00,1.42,0.00,0.00
not_null_select_not_null_count_query,8,1,730.97,730.97,730.97,0.00,0.00,1.39,0.00,0.00
