Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
default_null_count_null_2,1,1,5747.83,6868.80,5747.83,1117.97,3.00,0.20,0.00,0.00,1120.97
default_null_count_null_2,2,1,5792.30,6929.83,5792.30,1137.53,0.00,0.20,0.00,0.00,1137.53
default_null_count_null_2,3,1,5894.07,6998.08,5894.07,1104.01,0.00,0.19,0.00,0.00,1104.01
default_null_count_null_2,4,1,5820.22,6998.21,5820.22,1177.99,0.00,0.20,0.00,0.00,1177.99
default_null_count_null_2,5,1,5881.83,6973.84,5880.83,1091.01,2.00,4437.47,0.00,0.00,1093.01
default_null_count_null_2,6,1,5671.93,6874.83,5671.93,1202.90,0.00,0.20,0.00,0.00,1202.90
default_null_count_null_2,7,1,5822.40,7012.48,5822.40,1190.08,0.00,0.20,0.00,0.00,1190.08
default_null_count_null_2,8,1,5977.18,7141.19,5977.18,1164.01,0.00,0.19,0.00,0.00,1164.01
default_null_count_query_2,1,1,455.68,1576.65,455.68,1117.97,3.00,2.22,0.00,0.00,1120.97
default_null_count_query_2,2,1,464.08,1601.61,464.08,1137.53,0.00,2.18,0.00,0.00,1137.53
default_null_count_query_2,3,1,460.01,1564.02,460.01,1104.01,0.00,2.22,0.00,0.00,1104.01
default_null_count_query_2,4,1,462.99,1640.98,462.99,1177.99,0.00,2.22,0.00,0.00,1177.99
default_null_count_query_2,5,1,463.01,1555.02,462.01,1091.01,2.00,4439.49,0.00,0.00,1093.01
default_null_count_query_2,6,1,462.03,1664.93,462.03,1202.90,0.00,2.22,0.00,0.00,1202.90
default_null_count_query_2,7,1,461.96,1652.04,461.96,1190.08,0.00,2.18,0.00,0.00,1190.08
default_null_count_query_2,8,1,462.99,1627.00,462.99,1164.01,0.00,2.18,0.00,0.00,1164.01
default_null_count_null_25,1,1,5734.92,6850.90,5734.92,1112.98,3.00,0.20,0.00,0.00,1115.98
default_null_count_null_25,2,1,5941.98,7051.44,5941.98,1109.46,0.00,0.20,0.00,0.00,1109.46
default_null_count_null_25,3,1,5827.45,6958.48,5827.45,1131.03,0.00,0.20,0.00,0.00,1131.03
default_null_count_null_25,4,1,5923.13,7038.09,5923.13,1114.96,0.00,0.20,0.00,0.00,1114.96
default_null_count_null_25,5,1,5915.97,7005.00,5914.97,1088.03,2.00,4437.46,0.00,0.00,1090.03
default_null_count_null_25,6,1,5803.89,6988.87,5803.89,1184.98,0.00,0.20,0.00,0.00,1184.98
default_null_count_null_25,7,1,5893.56,7045.52,5893.56,1151.96,0.00,0.20,0.00,0.00,1151.96
default_null_count_query_25,1,1,688.57,1804.55,688.57,1112.98,3.00,1.47,0.00,0.00,1115.98
default_null_count_query_25,2,1,691.08,1800.54,691.08,1109.46,0.00,1.47,0.00,0.00,1109.46
default_null_count_query_25,3,1,696.00,1827.03,696.00,1131.03,0.00,1.47,0.00,0.00,1131.03
default_null_count_query_25,4,1,694.04,1809.00,694.04,1114.96,0.00,1.50,0.00,0.00,1114.96
default_null_count_query_25,5,1,692.03,1781.06,691.03,1088.03,2.00,4438.77,0.00,0.00,1090.03
default_null_count_query_25,6,1,692.93,1877.91,692.93,1184.98,0.00,1.50,0.00,0.00,1184.98
default_null_count_query_25,7,1,692.05,1844.01,692.05,1151.96,0.00,1.47,0.00,0.00,1151.96
default_null_count_query_25,8,1,690.02,1839.07,690.02,1149.05,0.00,1.50,0.00,0.00,1149.05
not_null_count_null_25,1,1,5814.34,6945.14,5814.34,1127.80,3.00,0.20,0.00,0.00,1130.80
not_null_count_null_25,2,1,5842.67,7040.29,5842.67,1197.62,0.00,0.20,0.00,0.00,1197.62
not_null_count_null_25,3,1,5907.44,7079.51,5907.44,1172.07,0.00,0.19,0.00,0.00,1172.07
not_null_count_null_25,4,1,5837.01,6982.01,5837.01,1145.00,0.00,0.20,0.00,0.00,1145.00
not_null_count_null_25,5,1,5863.75,6912.71,5863.75,1046.96,2.00,4358.29,0.00,0.00,1048.96
not_null_count_null_25,6,1,5881.03,6969.11,5880.03,1089.08,0.00,0.20,0.00,0.00,1089.08
not_null_count_null_25,7,1,5759.03,6883.94,5759.03,1124.91,0.00,0.20,0.00,0.00,1124.91
not_null_count_null_25,8,1,5890.69,6984.65,5890.69,1093.96,0.00,0.20,0.00,0.00,1093.96
not_null_count_query_25,1,1,722.54,1853.34,722.54,1127.80,3.00,1.42,0.00,0.00,1130.80
not_null_count_query_25,2,1,715.09,1912.71,715.09,1197.62,0.00,1.44,0.00,0.00,1197.62
not_null_count_query_25,3,1,721.06,1893.13,721.06,1172.07,0.00,1.42,0.00,0.00,1172.07
not_null_count_query_25,4,1,725.01,1870.01,725.01,1145.00,0.00,1.42,0.00,0.00,1145.00
not_null_count_query_25,5,1,728.00,1775.96,727.00,1046.96,2.00,4359.51,0.00,0.00,1048.96
not_null_count_query_25,6,1,727.96,1817.04,727.96,1089.08,0.00,1.42,0.00,0.00,1089.08
not_null_count_query_25,7,1,715.00,1839.91,715.00,1124.91,0.00,1.44,0.00,0.00,1124.91
