Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
default_null_count_null_2,1,1,5577.92,6730.69,5577.92,1149.77,3.00,0.22,0.00,0.00,1152.77
default_null_count_null_2,2,1,5769.60,6915.29,5769.60,1145.69,0.00,0.21,0.00,0.00,1145.69
default_null_count_null_2,3,1,5655.92,6830.87,5655.92,1174.95,0.00,0.22,0.00,0.00,1174.95
default_null_count_null_2,4,1,5768.21,6936.22,5768.21,1168.01,0.00,0.21,0.00,0.00,1168.01
default_null_count_null_2,5,1,5825.78,6927.75,5824.78,1100.97,2.00,4280.53,0.00,0.00,1102.97
default_null_count_null_2,6,1,5841.08,7036.15,5841.08,1195.07,0.00,0.20,0.00,0.00,1195.07
default_null_count_null_2,7,1,5792.76,6968.74,5792.76,1175.98,0.00,0.21,0.00,0.00,1175.98
default_null_count_query_2,1,1,458.70,1611.47,458.70,1149.77,3.00,2.22,0.00,0.00,1152.77
default_null_count_query_2,2,1,463.10,1608.79,463.10,1145.69,0.00,2.22,0.00,0.00,1145.69
default_null_count_query_2,3,1,461.00,1635.95,461.00,1174.95,0.00,2.22,0.00,0.00,1174.95
default_null_count_query_2,4,1,460.96,1628.97,460.96,1168.01,0.00,2.22,0.00,0.00,1168.01
default_null_count_query_2,5,1,463.01,1564.98,462.01,1100.97,2.00,4282.54,0.00,0.00,1102.97
default_null_count_query_2,6,1,461.03,1656.10,461.03,1195.07,0.00,2.22,0.00,0.00,1195.07
default_null_count_query_2,7,1,459.00,1634.98,459.00,1175.98,0.00,2.22,0.00,0.00,1175.98
default_null_count_query_2,8,1,461.00,1623.02,461.00,1162.02,0.00,2.22,0.00,0.00,1162.02
default_null_count_null_25,1,1,5504.93,6658.91,5504.93,1150.98,3.00,0.22,0.00,0.00,1153.98
default_null_count_null_25,2,1,5639.73,6758.18,5639.73,1118.45,0.00,0.22,0.00,0.00,1118.45
default_null_count_null_25,3,1,5716.41,6864.43,5716.41,1148.02,0.00,0.22,0.00,0.00,1148.02
default_null_count_null_25,4,1,5645.10,6795.13,5645.10,1150.03,0.00,0.22,0.00,0.00,1150.03
default_null_count_null_25,5,1,5568.09,6664.14,5567.09,1095.05,2.00,4358.31,0.00,0.00,1097.05
default_null_count_null_25,6,1,5579.04,6727.93,5579.04,1148.89,0.00,0.22,0.00,0.00,1148.89
default_null_count_null_25,7,1,5813.47,6987.50,5813.47,1174.03,0.00,0.21,0.00,0.00,1174.03
default_null_count_query_25,1,1,697.55,1851.53,697.55,1150.98,3.00,1.47,0.00,0.00,1153.98
default_null_count_query_25,2,1,704.13,1822.58,704.13,1118.45,0.00,1.47,0.00,0.00,1118.45
default_null_count_query_25,3,1,700.01,1848.03,700.01,1148.02,0.00,1.47,0.00,0.00,1148.02
default_null_count_query_25,4,1,703.04,1853.07,703.04,1150.03,0.00,1.47,0.00,0.00,1150.03
default_null_count_query_25,5,1,701.95,1798.00,700.95,1095.05,2.00,4359.56,0.00,0.00,1097.05
default_null_count_query_25,6,1,698.01,1846.90,698.01,1148.89,0.00,1.50,0.00,0.00,1148.89
default_null_count_query_25,7,1,700.04,1874.07,700.04,1174.03,0.00,1.47,0.00,0.00,1174.03
default_null_count_query_25,8,1,699.97,1842.95,699.97,1142.98,0.00,1.50,0.00,0.00,1142.98
not_null_count_null_25,1,1,5707.86,6826.83,5707.86,1115.97,3.00,0.21,0.00,0.00,1118.97
not_null_count_null_25,2,1,5532.73,6674.23,5532.73,1141.50,0.00,0.22,0.00,0.00,1141.50
not_null_count_null_25,3,1,5677.76,6826.78,5677.76,1149.02,0.00,0.22,0.00,0.00,1149.02
not_null_count_null_25,4,1,5561.83,6665.83,5561.83,1104.00,0.00,0.22,0.00,0.00,1104.00
not_null_count_null_25,5,1,5676.02,6762.00,5675.02,1084.98,2.00,4437.49,0.00,0.00,1086.98
not_null_count_null_25,6,1,5724.09,6881.02,5724.09,1156.93,0.00,0.21,0.00,0.00,1156.93
not_null_count_null_25,7,1,5622.86,6769.96,5622.86,1147.10,0.00,0.22,0.00,0.00,1147.10
not_null_count_query_25,1,1,695.49,1814.46,695.49,1115.97,3.00,1.55,0.00,0.00,1118.97
not_null_count_query_25,2,1,726.18,1867.68,726.18,1141.50,0.00,1.44,0.00,0.00,1141.50
not_null_count_query_25,3,1,731.03,1880.05,731.03,1149.02,0.00,1.42,0.00,0.00,1149.02
not_null_count_query_25,4,1,706.03,1810.03,706.03,1104.00,0.00,1.55,0.00,0.00,1104.00
not_null_count_query_25,5,1,730.97,1816.95,729.97,1084.98,2.00,4438.69,0.00,0.00,1086.98
not_null_count_query_25,6,1,729.04,1885.97,729.04,1156.93,0.00,1.42,0.00,0.00,1156.93
not_null_count_query_25,7,1,729.00,1876.10,729.00,1147.10,0.00,1.42,0.00,0.00,1147.10
not_null_count_query_25,8,1,728.00,1873.01,728.00,1145.01,0.00,1.42,0.00,0.00,1145.01
