Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
query_differences_insert,0,20349,60040,80389,16,80389,29,0,21.2319s,16,4570.30,5307.74,5589.31,5607.61,84923.77
query_differences_select_column_prefix,24603,0,0,24603,24603,24603,0,0,18.0029s,24603,1.27,2.93,19.88,3.82,71973.84
query_differences_select_combined_match_with_range,146789,0,0,146789,146789,146789,0,0,18.0012s,146789,0.27,0.49,18.19,0.68,71829.65
query_differences_select_exact_with_prefix,100422,0,0,100422,100422,100422,0,0,18.0018s,100422,0.38,0.72,18.70,0.97,71876.63
query_differences_select_full_match,190373,0,0,190373,190373,190373,0,0,18.0013s,190373,0.21,0.38,19.93,0.53,71785.65
query_differences_select_leftmost_prefix,45494,0,0,45494,45494,45494,0,0,18.0018s,45494,0.74,1.58,26.01,2.14,71944.83
query_differences_select_not_leftmost,8656,0,0,8656,8656,8656,0,0,18.0041s,8656,3.57,8.32,25.78,11.45,71997.34
query_differences_select_range_values,10440,0,0,10440,10440,10440,0,0,18.0051s,10440,2.88,6.90,27.98,8.90,71994.19
query_differences_select_range_with_like,127881,0,0,127881,127881,127881,0,0,18.0012s,127881,0.31,0.56,19.42,0.77,71848.49
query_differences_select_skip_columns,58021,0,0,58021,58021,58021,0,0,18.0020s,58021,0.59,1.24,18.77,1.64,71929.46
