Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
column_prefix,2,4,1352.88,5666.53,1352.88,1078.91,3234.74,3.82,0.00,0.00,4313.65
column_prefix,4,4,1368.67,5789.89,1368.67,1105.31,3315.92,3.82,0.00,0.00,4421.22
column_prefix,6,4,1375.56,5158.63,1373.56,1011.52,2773.55,4603.88,7.50,0.00,3785.07
column_prefix,8,4,1352.50,5040.48,1352.50,921.99,2765.98,3.96,0.00,0.00,3687.98
column_prefix,10,4,1369.50,5071.53,1369.50,925.51,2776.53,3.82,0.00,0.00,3702.03
column_prefix,12,4,1373.99,4887.23,1371.99,939.93,2575.31,5511.36,7.00,0.00,3515.24
column_prefix,14,4,1373.52,5101.12,1373.52,932.03,2795.58,3.82,0.00,0.00,3727.60
column_prefix,16,4,1361.99,4922.57,1359.99,889.52,2673.06,5511.43,0.00,0.00,3562.58
column_prefix,18,4,1376.50,5056.39,1376.50,919.97,2759.92,3.82,0.00,0.00,3679.89
combined_match_with_range,2,4,8128.20,12441.85,8128.20,1078.91,3234.74,0.68,0.00,0.00,4313.65
combined_match_with_range,4,4,8178.38,12599.60,8178.38,1105.31,3315.92,0.68,0.00,0.00,4421.22
combined_match_with_range,6,4,8176.95,11960.02,8174.95,1011.52,2773.55,4600.66,7.50,0.00,3785.07
combined_match_with_range,8,4,8137.09,11825.07,8137.09,921.99,2765.98,0.69,0.00,0.00,3687.98
combined_match_with_range,10,4,8098.48,11800.51,8098.48,925.51,2776.53,0.69,0.00,0.00,3702.03
combined_match_with_range,12,4,8046.99,11560.23,8044.99,939.93,2575.31,5508.24,7.00,0.00,3515.24
combined_match_with_range,14,4,8160.98,11888.58,8160.98,932.03,2795.58,0.68,0.00,0.00,3727.60
combined_match_with_range,16,4,8229.55,11790.13,8227.55,889.52,2673.06,5508.21,0.00,0.00,3562.58
combined_match_with_range,18,4,8239.97,11919.86,8239.97,919.97,2759.92,0.67,0.00,0.00,3679.89
exact_with_prefix,2,4,5487.02,9800.67,5487.02,1078.91,3234.74,0.99,0.00,0.00,4313.65
exact_with_prefix,4,4,5591.34,10012.56,5591.34,1105.31,3315.92,0.97,0.00,0.00,4421.22
exact_with_prefix,6,4,5600.03,9383.10,5598.03,1011.52,2773.55,4600.96,7.50,0.00,3785.07
exact_with_prefix,8,4,5606.98,9294.96,5606.98,921.99,2765.98,0.97,0.00,0.00,3687.98
exact_with_prefix,10,4,5569.03,9271.06,5569.03,925.51,2776.53,0.99,0.00,0.00,3702.03
exact_with_prefix,12,4,5600.05,9113.29,5598.05,939.93,2575.31,5508.49,7.00,0.00,3515.24
exact_with_prefix,14,4,5617.93,9345.53,5617.93,932.03,2795.58,0.95,0.00,0.00,3727.60
exact_with_prefix,16,4,5572.49,9133.07,5570.49,889.52,2673.06,5508.51,0.00,0.00,3562.58
exact_with_prefix,18,4,5568.60,9248.49,5568.60,919.97,2759.92,0.95,0.00,0.00,3679.89
full_match,2,4,10462.80,14776.45,10462.80,1078.91,3234.74,0.54,0.00,0.00,4313.65
full_match,4,4,10494.79,14916.01,10494.79,1105.31,3315.92,0.54,0.00,0.00,4421.22
full_match,6,4,10503.98,14287.05,10501.98,1011.52,2773.55,4600.54,7.50,0.00,3785.07
full_match,8,4,10568.66,14256.64,10568.66,921.99,2765.98,0.54,0.00,0.00,3687.98
