Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,2,4,3304.36,9782.82,3302.36,1618.62,4861.85,1837.71,0.00,0.00,6480.46
combined_match_with_range,4,4,3350.06,9939.69,3348.06,1646.91,4944.73,1837.71,0.00,0.00,6591.63
combined_match_with_range,6,4,3364.06,9870.17,3362.06,1626.03,4882.08,1837.66,0.00,0.00,6508.11
combined_match_with_range,8,4,3335.49,9981.49,3333.49,1661.00,4987.00,1837.68,0.00,0.00,6648.00
combined_match_with_range,10,4,3370.23,9996.43,3368.23,1656.05,4972.15,1804.91,0.00,0.00,6628.20
combined_match_with_range,12,4,3374.50,9930.21,3372.50,1638.43,4919.28,1837.66,0.00,0.00,6557.71
combined_match_with_range,14,4,3395.58,10007.59,3393.58,1652.50,4961.51,1837.66,0.00,0.00,6614.01
combined_match_with_range,16,4,3394.13,10018.38,3392.13,1655.56,4970.69,1804.89,0.00,0.00,6626.25
combined_match_with_range,18,4,3373.46,9867.12,3371.46,1622.92,4872.75,1837.68,0.00,0.00,6495.66
full_match,2,4,11400.17,17878.63,11398.17,1618.62,4861.85,1836.75,0.00,0.00,6480.46
full_match,4,4,11503.51,18093.14,11501.51,1646.91,4944.73,1836.75,0.00,0.00,6591.63
full_match,6,4,11375.78,17881.89,11373.78,1626.03,4882.08,1836.76,0.00,0.00,6508.11
full_match,8,4,11543.57,18189.57,11541.57,1661.00,4987.00,1836.75,0.00,0.00,6648.00
full_match,10,4,11619.03,18245.23,11617.03,1656.05,4972.15,1803.97,0.00,0.00,6628.20
full_match,12,4,11536.35,18092.56,11534.85,1638.43,4919.28,1836.74,0.00,0.00,6557.71
full_match,14,4,11530.26,18141.77,11527.76,1652.50,4961.51,1836.75,0.00,0.00,6614.01
full_match,16,4,11673.29,18297.54,11671.29,1655.56,4970.69,1803.97,0.00,0.00,6626.25
full_match,18,4,11728.86,18222.52,11726.86,1622.92,4872.75,1836.72,0.00,0.00,6495.66
leftmost_prefix,2,4,2828.69,9307.15,2826.69,1618.62,4861.85,1838.06,0.00,0.00,6480.46
leftmost_prefix,4,4,2833.28,9422.91,2831.28,1646.91,4944.73,1838.06,0.00,0.00,6591.63
leftmost_prefix,6,4,2858.40,9364.51,2856.40,1626.03,4882.08,1838.10,0.00,0.00,6508.11
leftmost_prefix,8,4,2872.74,9518.74,2870.74,1661.00,4987.00,1838.06,0.00,0.00,6648.00
leftmost_prefix,10,4,2868.96,9495.16,2866.96,1656.05,4972.15,1805.33,0.00,0.00,6628.20
leftmost_prefix,12,4,2846.56,9402.77,2845.06,1638.43,4919.28,1838.06,0.00,0.00,6557.71
leftmost_prefix,14,4,2852.51,9464.02,2850.01,1652.50,4961.51,1838.10,0.00,0.00,6614.01
leftmost_prefix,16,4,2795.93,9420.18,2793.93,1655.56,4970.69,1805.33,0.00,0.00,6626.25
leftmost_prefix,18,4,2827.57,9321.23,2825.57,1622.92,4872.75,1838.06,0.00,0.00,6495.66
partial_match_range_query,2,4,3070.02,9548.48,3068.02,1618.62,4861.85,1837.85,0.00,0.00,6480.46
partial_match_range_query,4,4,3117.05,9706.68,3115.05,1646.91,4944.73,1837.82,0.00,0.00,6591.63
partial_match_range_query,6,4,3129.98,9636.09,3127.98,1626.03,4882.08,1837.85,0.00,0.00,6508.11
partial_match_range_query,8,4,3148.48,9794.48,3146.48,1661.00,4987.00,1837.79,0.00,0.00,6648.00
partial_match_range_query,10,4,3137.47,9763.67,3135.47,1656.05,4972.15,1805.05,0.00,0.00,6628.20
partial_match_range_query,12,4,3124.51,9680.22,3122.51,1638.43,4919.28,1837.79,0.00,0.00,6557.71
partial_match_range_query,14,4,3091.01,9703.02,3089.01,1652.50,4961.51,1837.85,0.00,0.00,6614.01
partial_match_range_query,16,4,3123.00,9747.25,3121.00,1655.56,4970.69,1805.02,0.00,0.00,6626.25
partial_match_range_query,18,4,3142.46,9636.12,3140.46,1622.92,4872.75,1837.82,0.00,0.00,6495.66
