Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_500_insert,2,4,4.00,2584.65,0.00,651.66,1932.99,773.68,3.00,0.00
with_index_500_insert,4,4,6.00,2852.81,0.00,765.72,2087.09,787.74,12.00,0.00
with_index_500_insert,6,4,4.00,2622.97,0.00,683.99,1938.98,816.63,9.00,0.00
with_index_500_insert,8,4,6.00,2736.02,0.00,714.50,2021.51,773.68,10.00,0.00
with_index_500_insert,10,4,6.00,2848.11,0.00,750.40,2097.71,759.88,11.50,0.00
with_index_500_insert,12,4,4.00,2589.39,0.00,666.60,1922.79,816.63,8.00,0.00
with_index_500_insert,14,4,6.00,2804.48,0.00,731.00,2073.49,802.05,7.00,0.00
with_index_500_insert,16,4,6.00,3017.46,0.00,787.99,2229.47,773.68,11.00,0.00
with_index_500_insert,18,4,6.00,2964.41,0.00,779.98,2184.44,746.32,12.00,0.00
with_index_500_select,2,4,2290.36,6875.07,6875.07,0.00,0.00,2.26,0.00,0.00
with_index_500_select,4,4,2325.98,6976.94,6976.94,0.00,0.00,2.26,0.00,0.00
with_index_500_select,6,4,2335.49,7003.98,7003.98,0.00,0.00,2.26,0.00,0.00
with_index_500_select,8,4,2345.53,7038.10,7038.10,0.00,0.00,2.26,0.00,0.00
with_index_500_select,10,4,2353.01,7059.02,7059.02,0.00,0.00,2.30,0.00,0.00
with_index_500_select,12,4,2329.96,6990.37,6990.37,0.00,0.00,2.26,0.00,0.00
with_index_500_select,14,4,2355.05,7065.14,7065.14,0.00,0.00,2.22,0.00,0.00
with_index_500_select,16,4,2347.49,7042.96,7042.96,0.00,0.00,2.18,0.00,0.00
with_index_500_select,18,4,2363.00,7089.00,7089.00,0.00,0.00,2.22,0.00,0.00
with_index_5000_insert,2,4,0.00,2598.22,0.00,654.68,1943.54,0.00,1.00,0.00
with_index_5000_insert,4,4,0.00,3824.88,0.00,956.22,2868.66,0.00,0.00,0.00
with_index_5000_insert,6,4,2.00,3594.05,0.00,898.01,2696.04,5918.87,1.50,0.00
