Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_10,2,4,4080.12,14402.93,11728.56,941.10,1733.27,44.69,138.44,0.00,2674.37
with_index_10,4,4,4124.67,14641.87,11827.93,989.65,1824.28,43.15,138.52,0.00,2813.94
with_index_10,6,4,4104.52,14505.10,11766.02,932.03,1807.05,43.93,137.00,0.00,2739.08
with_index_10,8,4,4138.97,14624.32,11886.43,988.96,1748.93,42.37,142.49,0.00,2737.89
with_index_10,10,4,4321.01,15095.56,12453.04,965.01,1677.51,48.72,138.00,0.00,2642.52
with_index_10,12,4,4105.05,14587.17,11757.65,961.51,1868.01,40.99,142.50,0.00,2829.52
with_index_10,14,4,4144.96,14517.89,11926.38,934.00,1657.51,44.69,130.50,0.00,2591.51
with_index_10,16,4,4102.49,14463.53,11774.45,938.53,1750.55,38.88,130.50,0.00,2689.08
with_index_10,18,4,4140.48,14577.39,11908.98,940.47,1727.94,47.93,131.50,0.00,2668.41
with_index_50,2,4,3626.88,13653.05,10754.19,994.61,1904.25,178.15,57.98,0.00,2898.86
with_index_50,4,4,3669.07,13602.09,10889.69,1044.65,1667.74,191.35,55.01,0.00,2712.40
with_index_50,6,4,3646.55,13443.14,10824.14,858.50,1760.50,149.03,53.50,0.00,2619.00
with_index_50,8,4,3635.47,13432.33,10780.92,873.47,1777.94,160.07,61.00,0.00,2651.41
with_index_50,10,4,3689.07,13611.36,10942.71,856.05,1812.60,160.02,55.50,0.00,2668.65
with_index_50,12,4,3689.94,13595.08,10943.83,854.92,1796.33,151.71,48.50,0.00,2651.25
with_index_50,14,4,3691.51,13889.66,10946.53,1157.05,1786.08,133.88,68.00,0.00,2943.13
with_index_50,16,4,3664.06,13899.26,10859.19,1001.02,2039.04,129.20,66.50,0.00,3040.07
with_index_50,18,4,3698.43,13667.20,10967.30,857.97,1841.93,146.36,57.00,0.00,2699.90
without_index_10,2,4,4156.70,15083.45,11838.37,1196.48,2048.60,37.54,158.43,0.00,3245.08
without_index_10,4,4,4206.69,14974.39,12053.47,1048.65,1872.27,44.69,146.02,0.00,2920.92
without_index_10,6,4,4185.53,14611.69,12066.06,922.05,1623.58,49.61,130.01,0.00,2545.63
without_index_10,8,4,4223.72,14724.11,12198.19,964.47,1561.45,59.12,129.00,0.00,2525.92
without_index_10,10,4,4231.28,14705.90,12211.30,874.03,1620.56,42.35,131.51,0.00,2494.60
without_index_10,12,4,4256.48,14970.86,12238.96,962.96,1768.93,45.42,140.99,0.00,2731.90
without_index_10,14,4,4155.49,14570.95,12001.47,987.49,1581.99,54.19,138.50,0.00,2569.48
without_index_10,16,4,4260.02,14922.07,12262.55,909.51,1750.01,49.59,135.00,0.00,2659.52
without_index_10,18,4,4215.50,14337.45,12234.00,746.98,1356.47,46.23,104.50,0.00,2103.45
without_index_50,2,4,3492.90,13388.92,10336.76,946.58,2105.58,129.28,59.97,0.00,3052.16
without_index_50,4,4,3517.58,13301.77,10411.72,968.68,1921.37,146.44,51.01,0.00,2890.05
without_index_50,6,4,3509.50,13129.49,10405.50,894.50,1829.49,154.49,49.00,0.00,2723.99
without_index_50,8,4,3524.00,13230.01,10435.01,935.00,1860.00,160.10,47.00,0.00,2795.00
without_index_50,10,4,3540.99,13377.98,10485.47,938.50,1954.01,138.79,56.00,0.00,2892.51
without_index_50,12,4,3532.04,13243.63,10458.12,824.00,1961.51,149.08,53.00,0.00,2785.51
without_index_50,14,4,3530.96,13056.42,10464.38,818.51,1773.53,149.05,46.00,0.00,2592.04
without_index_50,16,4,3532.99,12954.89,10477.47,795.47,1681.94,168.88,45.50,0.00,2477.42
without_index_50,18,4,3535.56,13198.23,10465.67,837.02,1895.54,138.82,50.00,0.00,2732.56
