Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,2,4,8515.59,14226.27,8511.59,1427.30,4287.38,707.71,0.00,0.00,5714.68
selectivity_changes_10,4,4,8581.91,14225.24,8575.91,1409.21,4240.12,707.71,0.00,0.00,5649.33
selectivity_changes_10,6,4,8529.47,13791.83,8523.47,1314.09,3954.27,746.97,0.00,0.00,5268.36
selectivity_changes_10,8,4,8594.04,12874.36,8590.04,1069.08,3215.24,960.94,0.00,0.00,4284.32
selectivity_changes_10,10,4,8607.44,12954.16,8603.44,1085.93,3264.79,996.14,0.00,0.00,4350.72
selectivity_changes_10,12,4,8547.55,13178.56,8543.55,1156.50,3478.51,878.25,0.00,0.00,4635.01
selectivity_changes_10,14,4,8621.02,13227.18,8615.02,1150.04,3462.12,910.43,0.00,0.00,4612.16
selectivity_changes_10,16,4,8616.04,13117.92,8612.04,1124.47,3381.41,978.37,0.00,0.00,4505.88
selectivity_changes_10,18,4,8564.82,13542.78,8560.82,1243.49,3738.47,817.27,0.00,0.00,4981.96
selectivity_changes_100,2,4,11298.01,16173.36,11294.01,1217.34,3662.01,831.98,0.00,0.00,4879.35
selectivity_changes_100,4,4,11482.30,16599.69,11478.30,1278.35,3843.05,817.16,0.00,0.00,5121.39
selectivity_changes_100,6,4,11667.47,17075.54,11661.47,1350.52,4063.55,746.82,0.00,0.00,5414.07
selectivity_changes_100,8,4,11677.03,16746.92,11671.03,1265.97,3809.91,831.96,0.00,0.00,5075.89
selectivity_changes_100,10,4,11744.55,16482.78,11740.55,1183.56,3558.67,878.10,0.00,0.00,4742.23
selectivity_changes_100,12,4,11747.44,16005.46,11743.44,1063.51,3198.52,910.29,0.00,0.00,4262.02
selectivity_changes_100,14,4,11731.47,16237.43,11727.47,1125.49,3384.47,1032.51,0.00,0.00,4509.96
selectivity_changes_100,16,4,11699.10,16218.92,11693.10,1128.45,3397.36,894.06,0.00,0.00,4525.82
selectivity_changes_100,18,4,11711.18,16409.19,11707.18,1173.50,3528.50,878.11,0.00,0.00,4702.01
selectivity_changes_500,2,4,12078.66,17263.99,12074.66,1294.83,3894.50,802.52,0.00,0.00,5189.33
selectivity_changes_500,4,4,12197.13,17522.49,12191.13,1329.84,4001.52,760.34,0.00,0.00,5331.36
selectivity_changes_500,6,4,12319.38,17551.31,12315.38,1306.98,3928.95,760.34,0.00,0.00,5235.93
selectivity_changes_500,8,4,12324.44,17236.43,12318.44,1226.50,3691.49,831.92,0.00,0.00,4917.99
selectivity_changes_500,10,4,12266.09,17690.29,12260.09,1354.55,4075.65,746.79,0.00,0.00,5430.20
selectivity_changes_500,12,4,12274.47,17718.21,12270.47,1359.94,4087.81,746.78,0.00,0.00,5447.74
selectivity_changes_500,14,4,12376.99,17697.09,12370.99,1328.53,3997.58,760.34,0.00,0.00,5326.10
selectivity_changes_500,16,4,12364.29,17596.52,12360.29,1307.06,3929.17,733.46,0.00,0.00,5236.23
selectivity_changes_500,18,4,12316.89,16728.69,12310.89,1101.45,3316.35,910.26,0.00,0.00,4417.80
