Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_10_insert,2,4,4.00,5714.68,0.00,1427.30,4287.38,707.07,0.00,0.00
selectivity_changes_10_insert,4,4,6.00,5649.33,0.00,1409.21,4240.12,707.07,0.00,0.00
selectivity_changes_10_insert,6,4,6.00,5268.36,0.00,1314.09,3954.27,746.32,0.00,0.00
selectivity_changes_10_insert,8,4,4.00,4284.32,0.00,1069.08,3215.24,960.30,0.00,0.00
selectivity_changes_10_insert,10,4,4.00,4350.72,0.00,1085.93,3264.79,995.51,0.00,0.00
selectivity_changes_10_insert,12,4,4.00,4635.01,0.00,1156.50,3478.51,877.61,0.00,0.00
selectivity_changes_10_insert,14,4,6.00,4612.16,0.00,1150.04,3462.12,909.80,0.00,0.00
selectivity_changes_10_insert,16,4,4.00,4505.88,0.00,1124.47,3381.41,977.74,0.00,0.00
selectivity_changes_10_insert,18,4,4.00,4981.96,0.00,1243.49,3738.47,816.63,0.00,0.00
selectivity_changes_10_select,2,4,8511.59,8511.59,8511.59,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,4,4,8575.91,8575.91,8575.91,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,6,4,8523.47,8523.47,8523.47,0.00,0.00,0.65,0.00,0.00
selectivity_changes_10_select,8,4,8590.04,8590.04,8590.04,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,10,4,8603.44,8603.44,8603.44,0.00,0.00,0.63,0.00,0.00
selectivity_changes_10_select,12,4,8543.55,8543.55,8543.55,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,14,4,8615.02,8615.02,8615.02,0.00,0.00,0.63,0.00,0.00
selectivity_changes_10_select,16,4,8612.04,8612.04,8612.04,0.00,0.00,0.63,0.00,0.00
selectivity_changes_10_select,18,4,8560.82,8560.82,8560.82,0.00,0.00,0.64,0.00,0.00
selectivity_changes_100_insert,2,4,4.00,4879.35,0.00,1217.34,3662.01,831.46,0.00,0.00
selectivity_changes_100_insert,4,4,4.00,5121.39,0.00,1278.35,3843.05,816.63,0.00,0.00
