Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,1,1,3567.62,5250.69,3566.62,1679.07,4.99,601.60,0.00,0.00,1684.07
selectivity_changes_10,2,1,3750.45,5354.55,3748.45,1602.09,4.00,590.85,0.00,0.00,1606.10
selectivity_changes_10,3,1,3659.24,5147.22,3658.24,1486.98,2.00,670.19,0.00,0.00,1488.98
selectivity_changes_10,4,1,3635.86,4888.86,3633.86,1251.00,4.00,816.93,0.00,0.00,1255.00
selectivity_changes_10,5,1,3667.95,5022.94,3666.95,1353.99,2.00,733.30,0.00,0.00,1355.99
selectivity_changes_10,6,1,3621.43,4795.49,3620.43,1173.06,2.00,816.94,0.00,0.00,1175.06
selectivity_changes_10,7,1,3613.61,4855.62,3612.61,1241.01,2.00,831.76,0.00,0.00,1243.01
selectivity_changes_10,8,1,3653.12,4911.08,3651.12,1255.96,4.00,802.35,0.00,0.00,1259.96
selectivity_changes_100,1,1,4587.76,5842.64,4586.76,1250.88,5.00,802.29,0.00,0.00,1255.88
selectivity_changes_100,2,1,4602.10,5830.64,4601.10,1227.54,2.00,802.30,0.00,0.00,1229.54
selectivity_changes_100,3,1,4586.99,5792.01,4585.99,1204.02,2.00,831.70,0.00,0.00,1206.02
selectivity_changes_100,4,1,4589.95,5813.94,4588.95,1222.99,2.00,816.87,0.00,0.00,1224.99
selectivity_changes_100,5,1,4664.94,5862.95,4662.94,1196.01,4.00,846.81,0.00,0.00,1200.01
selectivity_changes_100,6,1,4638.03,5870.03,4637.03,1231.00,2.00,802.29,0.00,0.00,1233.00
selectivity_changes_100,7,1,4615.07,5770.91,4614.07,1154.84,2.00,862.19,0.00,0.00,1156.84
selectivity_changes_500,1,1,4620.66,5959.39,4619.66,1334.73,5.00,733.24,0.00,0.00,1339.73
selectivity_changes_500,2,1,4701.82,6044.36,4700.82,1341.54,2.00,760.12,0.00,0.00,1343.54
selectivity_changes_500,3,1,4613.24,5949.32,4611.24,1334.08,4.00,746.56,0.00,0.00,1338.08
selectivity_changes_500,4,1,4498.74,5791.75,4497.74,1292.01,2.00,773.93,0.00,0.00,1294.01
selectivity_changes_500,5,1,4654.41,5845.43,4653.41,1190.02,2.00,831.70,0.00,0.00,1192.02
selectivity_changes_500,6,1,4676.00,6008.96,4675.00,1331.96,2.00,802.29,0.00,0.00,1333.96
selectivity_changes_500,7,1,4634.70,5938.74,4632.70,1302.04,4.00,760.12,0.00,0.00,1306.04
