Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,1,1,3516.37,5170.67,3515.37,1650.31,4.99,612.53,0.00,0.00,1655.30
selectivity_changes_10,2,1,3624.02,5312.93,3622.02,1686.91,4.00,590.87,0.00,0.00,1690.91
selectivity_changes_10,3,1,3576.65,5189.56,3575.65,1611.91,2.00,612.52,0.00,0.00,1613.91
selectivity_changes_10,4,1,3584.05,5125.09,3582.05,1539.04,4.00,634.97,0.00,0.00,1543.04
selectivity_changes_10,5,1,3670.29,5425.34,3668.29,1753.05,4.00,670.19,0.00,0.00,1757.05
selectivity_changes_10,6,1,3591.93,5266.94,3590.93,1674.01,2.00,590.87,0.00,0.00,1676.01
selectivity_changes_10,7,1,3478.06,5146.10,3476.06,1666.04,4.00,601.62,0.00,0.00,1670.04
selectivity_changes_100,1,1,4554.55,6186.93,4553.55,1628.38,5.00,601.53,0.00,0.00,1633.38
selectivity_changes_100,2,1,4493.42,6099.28,4491.42,1603.85,4.00,623.58,0.00,0.00,1607.86
selectivity_changes_100,3,1,4543.62,6184.52,4542.62,1639.90,2.00,623.57,0.00,0.00,1641.90
selectivity_changes_100,4,1,4591.97,6298.08,4589.97,1704.11,4.00,601.53,0.00,0.00,1708.11
selectivity_changes_100,5,1,4607.43,6274.36,4605.43,1664.93,4.00,601.53,0.00,0.00,1668.93
selectivity_changes_100,6,1,4556.98,6029.00,4555.98,1471.02,2.00,720.16,0.00,0.00,1473.02
selectivity_changes_100,7,1,4561.65,6222.69,4559.65,1659.04,4.00,601.53,0.00,0.00,1663.04
selectivity_changes_100,8,1,4601.17,6224.16,4600.17,1621.99,2.00,612.45,0.00,0.00,1623.99
selectivity_changes_500,1,1,4570.88,6199.29,4569.88,1624.42,5.00,623.57,0.00,0.00,1629.41
selectivity_changes_500,2,1,4590.70,6046.32,4588.70,1453.62,4.00,623.57,0.00,0.00,1457.62
selectivity_changes_500,3,1,4599.38,6243.48,4598.38,1643.10,2.00,707.31,0.00,0.00,1645.10
selectivity_changes_500,4,1,4547.05,6201.06,4545.05,1652.01,4.00,612.45,0.00,0.00,1656.01
selectivity_changes_500,5,1,4563.85,6205.81,4561.85,1639.96,4.00,623.57,0.00,0.00,1643.96
selectivity_changes_500,6,1,4612.07,6263.09,4611.07,1650.02,2.00,590.80,0.00,0.00,1652.02
selectivity_changes_500,7,1,4593.26,6230.20,4591.26,1634.94,4.00,623.57,0.00,0.00,1638.94
