Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_10_insert,1,1,1.00,1655.30,0.00,1650.31,4.99,612.21,0.00,0.00
selectivity_changes_10_insert,2,1,2.00,1690.91,0.00,1686.91,4.00,590.56,0.00,0.00
selectivity_changes_10_insert,3,1,1.00,1613.91,0.00,1611.91,2.00,612.21,0.00,0.00
selectivity_changes_10_insert,4,1,2.00,1543.04,0.00,1539.04,4.00,634.66,0.00,0.00
selectivity_changes_10_insert,5,1,2.00,1757.05,0.00,1753.05,4.00,669.89,0.00,0.00
selectivity_changes_10_insert,6,1,1.00,1676.01,0.00,1674.01,2.00,590.56,0.00,0.00
selectivity_changes_10_insert,7,1,2.00,1670.04,0.00,1666.04,4.00,601.29,0.00,0.00
selectivity_changes_10_insert,8,1,2.00,1616.01,0.00,1612.01,4.00,646.19,0.00,0.00
selectivity_changes_10_select,1,1,3515.37,3515.37,3515.37,0.00,0.00,0.32,0.00,0.00
selectivity_changes_10_select,2,1,3622.02,3622.02,3622.02,0.00,0.00,0.31,0.00,0.00
selectivity_changes_10_select,3,1,3575.65,3575.65,3575.65,0.00,0.00,0.31,0.00,0.00
selectivity_changes_10_select,4,1,3582.05,3582.05,3582.05,0.00,0.00,0.31,0.00,0.00
selectivity_changes_10_select,5,1,3668.29,3668.29,3668.29,0.00,0.00,0.30,0.00,0.00
selectivity_changes_10_select,6,1,3590.93,3590.93,3590.93,0.00,0.00,0.31,0.00,0.00
selectivity_changes_10_select,7,1,3476.06,3476.06,3476.06,0.00,0.00,0.33,0.00,0.00
selectivity_changes_100_insert,1,1,1.00,1633.38,0.00,1628.38,5.00,601.29,0.00,0.00
selectivity_changes_100_insert,2,1,2.00,1607.86,0.00,1603.85,4.00,623.33,0.00,0.00
selectivity_changes_100_insert,3,1,1.00,1641.90,0.00,1639.90,2.00,623.33,0.00,0.00
selectivity_changes_100_insert,4,1,2.00,1708.11,0.00,1704.11,4.00,601.29,0.00,0.00
selectivity_changes_100_insert,5,1,2.00,1668.93,0.00,1664.93,4.00,601.29,0.00,0.00
selectivity_changes_100_insert,6,1,1.00,1473.02,0.00,1471.02,2.00,719.92,0.00,0.00
selectivity_changes_100_insert,7,1,2.00,1663.04,0.00,1659.04,4.00,601.29,0.00,0.00
selectivity_changes_100_insert,8,1,1.00,1623.99,0.00,1621.99,2.00,612.21,0.00,0.00
selectivity_changes_100_select,1,1,4553.55,4553.55,4553.55,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,2,1,4491.42,4491.42,4491.42,0.00,0.00,0.25,0.00,0.00
selectivity_changes_100_select,3,1,4542.62,4542.62,4542.62,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,4,1,4589.97,4589.97,4589.97,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,5,1,4605.43,4605.43,4605.43,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,6,1,4555.98,4555.98,4555.98,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,7,1,4559.65,4559.65,4559.65,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,8,1,4600.17,4600.17,4600.17,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_insert,1,1,1.00,1629.41,0.00,1624.42,5.00,623.33,0.00,0.00
selectivity_changes_500_insert,2,1,2.00,1457.62,0.00,1453.62,4.00,623.33,0.00,0.00
selectivity_changes_500_insert,3,1,1.00,1645.10,0.00,1643.10,2.00,707.07,0.00,0.00
selectivity_changes_500_insert,4,1,2.00,1656.01,0.00,1652.01,4.00,612.21,0.00,0.00
selectivity_changes_500_insert,5,1,2.00,1643.96,0.00,1639.96,4.00,623.33,0.00,0.00
selectivity_changes_500_insert,6,1,1.00,1652.02,0.00,1650.02,2.00,590.56,0.00,0.00
selectivity_changes_500_insert,7,1,2.00,1638.94,0.00,1634.94,4.00,623.33,0.00,0.00
selectivity_changes_500_insert,8,1,1.00,1666.09,0.00,1664.09,2.00,601.29,0.00,0.00
selectivity_changes_500_select,1,1,4569.88,4569.88,4569.88,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,2,1,4588.70,4588.70,4588.70,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,3,1,4598.38,4598.38,4598.38,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,4,1,4545.05,4545.05,4545.05,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,5,1,4561.85,4561.85,4561.85,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,6,1,4611.07,4611.07,4611.07,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,7,1,4591.26,4591.26,4591.26,0.00,0.00,0.24,0.00,0.00
