Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,2,4,8538.44,14651.42,8532.44,1526.25,4592.73,670.54,0.00,0.00,6118.98
selectivity_changes_10,4,4,8613.58,14760.46,8607.58,1535.34,4617.54,658.58,0.00,0.00,6152.88
selectivity_changes_10,6,4,8639.97,14678.41,8633.97,1507.98,4536.45,682.70,0.00,0.00,6044.44
selectivity_changes_10,8,4,8668.69,14746.92,8662.69,1518.06,4566.17,682.70,0.00,0.00,6084.23
selectivity_changes_10,10,4,8662.78,14760.31,8656.78,1522.88,4580.65,670.53,0.00,0.00,6103.53
selectivity_changes_10,12,4,8680.54,14762.93,8674.54,1519.10,4569.30,670.52,0.00,0.00,6088.39
selectivity_changes_10,14,4,8667.92,14592.82,8661.92,1479.97,4450.92,707.70,0.00,0.00,5930.90
selectivity_changes_10,16,4,8683.13,14787.57,8677.13,1524.48,4585.95,682.69,0.00,0.00,6110.44
selectivity_changes_10,18,4,8639.96,14694.48,8633.96,1512.01,4548.52,682.70,0.00,0.00,6060.52
selectivity_changes_100,2,4,11410.39,17409.04,11406.39,1497.16,4505.48,682.57,0.00,0.00,6002.65
selectivity_changes_100,4,4,11512.22,17510.10,11506.22,1497.97,4505.91,682.56,0.00,0.00,6003.88
selectivity_changes_100,6,4,11402.56,17442.12,11394.56,1508.39,4539.17,670.40,0.00,0.00,6047.56
selectivity_changes_100,8,4,11656.86,17661.03,11652.86,1499.54,4508.63,682.55,0.00,0.00,6008.17
selectivity_changes_100,10,4,11663.58,17747.19,11655.58,1519.03,4572.58,670.38,0.00,0.00,6091.61
selectivity_changes_100,12,4,11635.51,17799.83,11629.51,1539.46,4630.87,658.41,0.00,0.00,6170.32
selectivity_changes_100,14,4,11609.32,17721.55,11603.32,1526.56,4591.67,658.42,0.00,0.00,6118.23
selectivity_changes_100,16,4,11653.22,17541.04,11647.22,1470.46,4423.37,720.41,0.00,0.00,5893.82
selectivity_changes_100,18,4,11675.36,17729.44,11669.36,1512.02,4548.06,682.54,0.00,0.00,6060.08
selectivity_changes_500,2,4,11690.34,17866.65,11684.34,1542.20,4640.10,658.41,0.00,0.00,6182.31
selectivity_changes_500,4,4,12001.39,18145.36,11995.39,1534.37,4615.60,670.36,0.00,0.00,6149.97
selectivity_changes_500,6,4,11884.48,17972.96,11878.98,1520.50,4573.49,670.37,0.00,0.00,6093.98
selectivity_changes_500,8,4,11895.07,18044.55,11888.57,1536.00,4619.99,670.37,0.00,0.00,6155.98
selectivity_changes_500,10,4,11973.48,18287.54,11967.48,1577.02,4743.05,635.13,0.00,0.00,6320.06
selectivity_changes_500,12,4,11942.50,18078.35,11936.50,1532.46,4609.39,658.40,0.00,0.00,6141.85
selectivity_changes_500,14,4,11965.58,18043.72,11959.58,1518.04,4566.11,694.92,0.00,0.00,6084.14
selectivity_changes_500,16,4,11827.43,17849.58,11821.43,1504.04,4524.11,670.37,0.00,0.00,6028.15
selectivity_changes_500,18,4,11888.22,18152.60,11882.22,1564.97,4705.41,658.40,0.00,0.00,6270.38
