Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_10_insert,2,4,4.00,5605.22,0.00,1398.81,4206.42,719.92,0.00,0.00
selectivity_changes_10_insert,4,4,6.00,5625.13,0.00,1403.28,4221.85,733.00,0.00,0.00
selectivity_changes_10_insert,6,4,6.00,5640.22,0.00,1407.06,4233.17,733.00,0.00,0.00
selectivity_changes_10_insert,8,4,6.00,5741.22,0.00,1432.43,4308.79,719.92,0.00,0.00
selectivity_changes_10_insert,10,4,6.00,5948.06,0.00,1484.01,4464.04,682.06,0.00,0.00
selectivity_changes_10_insert,12,4,6.00,5652.54,0.00,1410.01,4242.53,719.92,0.00,0.00
selectivity_changes_10_insert,14,4,6.00,5940.04,0.00,1482.01,4458.03,682.06,0.00,0.00
selectivity_changes_10_insert,16,4,4.00,5704.34,0.00,1424.08,4280.26,719.92,0.00,0.00
selectivity_changes_10_insert,18,4,6.00,5613.78,0.00,1400.45,4213.34,719.92,0.00,0.00
selectivity_changes_10_select,2,4,8008.41,8008.41,8008.41,0.00,0.00,0.70,0.00,0.00
selectivity_changes_10_select,4,4,8228.29,8228.29,8228.29,0.00,0.00,0.68,0.00,0.00
selectivity_changes_10_select,6,4,8181.85,8181.85,8181.85,0.00,0.00,0.69,0.00,0.00
selectivity_changes_10_select,8,4,8307.43,8307.43,8307.43,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,10,4,8272.20,8272.20,8272.20,0.00,0.00,0.69,0.00,0.00
selectivity_changes_10_select,12,4,8244.63,8244.63,8244.63,0.00,0.00,0.67,0.00,0.00
selectivity_changes_10_select,14,4,8217.69,8217.69,8217.69,0.00,0.00,0.68,0.00,0.00
selectivity_changes_10_select,16,4,8298.73,8298.73,8298.73,0.00,0.00,0.67,0.00,0.00
selectivity_changes_10_select,18,4,8253.20,8253.20,8253.20,0.00,0.00,0.67,0.00,0.00
selectivity_changes_100_insert,2,4,4.00,5654.94,0.00,1411.24,4243.70,707.07,0.00,0.00
selectivity_changes_100_insert,4,4,6.00,5527.33,0.00,1378.83,4148.50,759.88,0.00,0.00
selectivity_changes_100_insert,6,4,6.00,5576.04,0.00,1391.01,4185.03,719.92,0.00,0.00
selectivity_changes_100_insert,8,4,6.00,5612.01,0.00,1400.00,4212.01,733.00,0.00,0.00
selectivity_changes_100_insert,10,4,4.00,5665.96,0.00,1414.49,4251.47,719.92,0.00,0.00
selectivity_changes_100_insert,12,4,6.00,5548.11,0.00,1384.03,4164.08,733.00,0.00,0.00
selectivity_changes_100_insert,14,4,6.00,5585.85,0.00,1393.46,4192.39,733.00,0.00,0.00
selectivity_changes_100_insert,16,4,6.00,5572.02,0.00,1390.00,4182.01,719.92,0.00,0.00
selectivity_changes_100_insert,18,4,6.00,5604.26,0.00,1398.07,4206.20,733.00,0.00,0.00
selectivity_changes_100_select,2,4,11278.16,11278.16,11278.16,0.00,0.00,0.51,0.00,0.00
selectivity_changes_100_select,4,4,11472.94,11472.94,11472.94,0.00,0.00,0.50,0.00,0.00
selectivity_changes_100_select,6,4,11529.98,11529.98,11529.98,0.00,0.00,0.50,0.00,0.00
selectivity_changes_100_select,8,4,11544.01,11544.01,11544.01,0.00,0.00,0.50,0.00,0.00
selectivity_changes_100_select,10,4,11526.41,11526.41,11526.41,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,12,4,11495.06,11495.06,11495.06,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,14,4,11619.02,11619.02,11619.02,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,16,4,11512.88,11512.88,11512.88,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,18,4,11583.17,11583.17,11583.17,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_insert,2,4,4.00,5599.32,0.00,1396.71,4202.62,719.92,0.00,0.00
selectivity_changes_500_insert,4,4,6.00,5593.27,0.00,1394.94,4198.33,719.92,0.00,0.00
selectivity_changes_500_insert,6,4,6.00,5617.99,0.00,1401.50,4216.49,733.00,0.00,0.00
selectivity_changes_500_insert,8,4,6.00,5486.14,0.00,1368.53,4117.60,746.32,0.00,0.00
selectivity_changes_500_insert,10,4,4.00,5561.72,0.00,1388.43,4173.29,719.92,0.00,0.00
selectivity_changes_500_insert,12,4,6.00,5636.02,0.00,1406.00,4230.01,719.92,0.00,0.00
selectivity_changes_500_insert,14,4,6.00,5769.95,0.00,1439.49,4330.46,733.00,0.00,0.00
selectivity_changes_500_insert,16,4,6.00,5879.76,0.00,1466.94,4412.82,694.45,0.00,0.00
selectivity_changes_500_insert,18,4,6.00,5730.52,0.00,1429.63,4300.89,707.07,0.00,0.00
selectivity_changes_500_select,2,4,11746.83,11746.83,11746.83,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,4,4,11896.45,11896.45,11896.45,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,6,4,12003.53,12004.03,12004.03,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,8,4,12016.92,12016.42,12016.42,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,10,4,12035.63,12035.63,12035.63,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,12,4,12009.05,12009.05,12009.05,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,14,4,12011.97,12011.97,12011.97,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,16,4,11947.13,11947.13,11947.13,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,18,4,11963.33,11963.33,11963.33,0.00,0.00,0.47,0.00,0.00
