Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,2,4,8525.04,14682.04,8519.04,1536.25,4626.75,670.54,0.00,0.00,6163.00
selectivity_changes_10,4,4,8639.40,14825.74,8633.40,1545.33,4647.00,658.57,0.00,0.00,6192.34
selectivity_changes_10,6,4,8676.03,15007.81,8670.53,1581.07,4756.21,635.29,0.00,0.00,6337.28
selectivity_changes_10,8,4,8664.05,14963.33,8657.55,1573.45,4732.34,646.83,0.00,0.00,6305.78
selectivity_changes_10,10,4,8623.52,14825.37,8617.52,1548.96,4658.89,682.70,0.00,0.00,6207.85
selectivity_changes_10,12,4,8683.50,14809.49,8677.50,1530.00,4602.00,658.55,0.00,0.00,6131.99
selectivity_changes_10,14,4,8577.47,14851.16,8571.47,1567.05,4712.64,646.84,0.00,0.00,6279.69
selectivity_changes_10,16,4,8612.69,14821.15,8606.69,1550.49,4663.97,646.83,0.00,0.00,6214.46
selectivity_changes_10,18,4,8633.89,14865.98,8627.89,1556.52,4681.57,658.57,0.00,0.00,6238.09
selectivity_changes_100,2,4,11456.19,17812.36,11450.19,1588.17,4774.00,635.15,0.00,0.00,6362.17
selectivity_changes_100,4,4,11410.89,17724.95,11404.89,1576.89,4743.17,646.69,0.00,0.00,6320.06
selectivity_changes_100,6,4,11414.79,17698.66,11408.79,1569.47,4720.40,658.44,0.00,0.00,6289.87
selectivity_changes_100,8,4,11506.68,17872.27,11500.68,1590.02,4781.57,635.15,0.00,0.00,6371.59
selectivity_changes_100,10,4,11581.57,17810.08,11575.57,1555.50,4679.01,646.68,0.00,0.00,6234.51
selectivity_changes_100,12,4,11482.09,17896.09,11476.09,1602.00,4818.00,635.15,0.00,0.00,6420.00
selectivity_changes_100,14,4,11501.86,17936.41,11493.86,1607.01,4835.54,635.15,0.00,0.00,6442.55
selectivity_changes_100,16,4,11538.46,17917.98,11532.46,1593.00,4792.51,635.15,0.00,0.00,6385.52
selectivity_changes_100,18,4,11463.13,17940.54,11457.13,1617.98,4865.43,623.82,0.00,0.00,6483.41
selectivity_changes_500,2,4,11685.45,18097.97,11679.45,1600.13,4818.39,623.82,0.00,0.00,6418.52
selectivity_changes_500,4,4,11963.38,18265.06,11957.38,1573.92,4733.76,646.66,0.00,0.00,6307.68
selectivity_changes_500,6,4,11974.54,18292.46,11968.54,1577.98,4745.94,635.14,0.00,0.00,6323.92
selectivity_changes_500,8,4,11942.51,18258.44,11936.51,1577.48,4744.45,635.13,0.00,0.00,6321.93
selectivity_changes_500,10,4,12148.94,18437.14,12142.94,1570.55,4723.65,635.13,0.00,0.00,6294.20
selectivity_changes_500,12,4,11983.54,18337.50,11977.54,1586.99,4772.97,646.67,0.00,0.00,6359.96
selectivity_changes_500,14,4,12054.19,18152.40,12046.19,1523.05,4583.16,694.92,0.00,0.00,6106.21
selectivity_changes_500,16,4,12040.33,18347.94,12034.33,1574.90,4738.70,646.66,0.00,0.00,6313.61
selectivity_changes_500,18,4,12132.41,18540.49,12126.41,1600.52,4813.56,635.12,0.00,0.00,6414.08
