Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,2,4,8070.96,12125.83,8066.96,1014.47,3044.40,996.23,0.00,0.00,4058.87
selectivity_changes_10,4,4,8228.73,12202.76,8224.73,992.26,2985.77,1032.70,0.00,0.00,3978.03
selectivity_changes_10,6,4,8104.70,12440.88,8100.70,1083.04,3257.13,927.05,0.00,0.00,4340.18
selectivity_changes_10,8,4,8230.55,12616.36,8226.55,1095.45,3294.36,978.43,0.00,0.00,4389.81
selectivity_changes_10,10,4,8377.74,12295.73,8373.74,978.50,2943.49,1014.28,0.00,0.00,3921.99
selectivity_changes_10,12,4,8189.12,12051.26,8185.12,964.54,2901.61,1089.98,0.00,0.00,3866.14
selectivity_changes_10,14,4,8291.37,12634.85,8287.37,1084.87,3262.61,1032.73,0.00,0.00,4347.48
selectivity_changes_10,16,4,8254.01,13612.55,8248.01,1338.13,4026.41,774.36,0.00,0.00,5364.54
selectivity_changes_10,18,4,8297.58,13188.54,8293.58,1221.99,3672.97,847.25,0.00,0.00,4894.96
selectivity_changes_100,2,4,11227.36,15281.52,11223.36,1012.54,3045.62,996.03,0.00,0.00,4058.16
selectivity_changes_100,4,4,11191.57,15470.52,11187.57,1068.74,3214.22,960.84,0.00,0.00,4282.95
selectivity_changes_100,6,4,11797.35,15961.37,11793.35,1040.00,3128.01,960.78,0.00,0.00,4168.02
selectivity_changes_100,8,4,11680.32,15430.22,11676.32,936.47,2817.42,1070.36,0.00,0.00,3753.90
selectivity_changes_100,10,4,11502.19,15316.24,11498.19,952.51,2865.53,1070.37,0.00,0.00,3818.05
selectivity_changes_100,12,4,11779.35,15821.24,11775.35,1009.47,3036.42,995.98,0.00,0.00,4045.89
selectivity_changes_100,14,4,11679.01,16041.07,11675.01,1089.52,3276.55,996.01,0.00,0.00,4366.06
selectivity_changes_100,16,4,11720.16,16051.10,11716.66,1081.99,3252.46,910.28,0.00,0.00,4334.44
selectivity_changes_100,18,4,11583.26,16008.22,11578.76,1104.99,3324.47,910.29,0.00,0.00,4429.46
selectivity_changes_500,2,4,11537.50,15579.54,11533.50,1009.01,3037.03,1051.26,0.00,0.00,4046.04
selectivity_changes_500,4,4,11869.94,15632.88,11867.94,940.23,2824.70,1032.49,0.00,0.00,3764.94
selectivity_changes_500,6,4,11867.97,15634.00,11863.97,940.51,2829.53,1109.57,0.00,0.00,3770.03
selectivity_changes_500,8,4,11891.30,15697.17,11887.30,950.47,2859.40,1070.34,0.00,0.00,3809.87
selectivity_changes_500,10,4,11919.87,15667.89,11915.87,936.00,2816.01,1129.71,0.00,0.00,3752.02
selectivity_changes_500,12,4,11794.56,15832.69,11790.56,1008.53,3033.60,978.23,0.00,0.00,4042.13
selectivity_changes_500,14,4,11883.97,15713.97,11879.97,956.50,2877.50,1051.24,0.00,0.00,3834.00
selectivity_changes_500,16,4,11792.60,15507.11,11789.10,927.50,2790.51,1070.35,0.00,0.00,3718.01
selectivity_changes_500,18,4,11725.50,15570.98,11721.00,960.49,2889.48,1089.78,0.00,0.00,3849.98
