Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_10_insert,2,4,4.00,4611.69,0.00,1150.42,3461.26,893.56,0.00,0.00
selectivity_changes_10_insert,4,4,4.00,4316.47,0.00,1077.24,3239.23,943.16,0.00,0.00
selectivity_changes_10_insert,6,4,4.00,4538.53,0.00,1132.51,3406.03,877.61,0.00,0.00
selectivity_changes_10_insert,8,4,4.00,4561.07,0.00,1138.52,3422.55,943.16,0.00,0.00
selectivity_changes_10_insert,10,4,6.00,4792.63,0.00,1194.91,3597.72,893.56,0.00,0.00
selectivity_changes_10_insert,12,4,6.00,5558.48,0.00,1386.62,4171.86,746.32,0.00,0.00
selectivity_changes_10_insert,14,4,4.00,5472.14,0.00,1366.03,4106.10,746.32,0.00,0.00
selectivity_changes_10_insert,16,4,6.00,4817.80,0.00,1201.45,3616.35,846.57,0.00,0.00
selectivity_changes_10_insert,18,4,4.00,4889.94,0.00,1220.49,3669.46,861.95,0.00,0.00
selectivity_changes_10_select,2,4,8289.48,8289.48,8289.48,0.00,0.00,0.68,0.00,0.00
selectivity_changes_10_select,4,4,8455.64,8455.64,8455.64,0.00,0.00,0.67,0.00,0.00
selectivity_changes_10_select,6,4,8325.72,8325.72,8325.72,0.00,0.00,0.68,0.00,0.00
selectivity_changes_10_select,8,4,8477.45,8477.45,8477.45,0.00,0.00,0.65,0.00,0.00
selectivity_changes_10_select,10,4,8432.18,8432.18,8432.18,0.00,0.00,0.68,0.00,0.00
selectivity_changes_10_select,12,4,8413.80,8413.80,8413.80,0.00,0.00,0.68,0.00,0.00
selectivity_changes_10_select,14,4,8528.54,8528.54,8528.54,0.00,0.00,0.65,0.00,0.00
selectivity_changes_10_select,16,4,8563.02,8563.02,8563.02,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,18,4,8510.01,8510.01,8510.01,0.00,0.00,0.64,0.00,0.00
selectivity_changes_100_insert,2,4,4.00,4513.90,0.00,1124.98,3388.92,909.80,0.00,0.00
selectivity_changes_100_insert,4,4,4.00,4804.91,0.00,1199.23,3605.68,893.56,0.00,0.00
selectivity_changes_100_insert,6,4,4.00,4655.85,0.00,1161.96,3493.89,877.61,0.00,0.00
selectivity_changes_100_insert,8,4,6.00,4808.10,0.00,1199.02,3609.07,861.95,0.00,0.00
selectivity_changes_100_insert,10,4,4.00,4927.91,0.00,1229.98,3697.94,816.63,0.00,0.00
selectivity_changes_100_insert,12,4,6.00,4588.00,0.00,1144.00,3444.00,877.61,0.00,0.00
selectivity_changes_100_insert,14,4,4.00,4423.89,0.00,1103.97,3319.92,960.30,0.00,0.00
selectivity_changes_100_insert,16,4,4.00,4974.25,0.00,1241.56,3732.68,816.63,0.00,0.00
selectivity_changes_100_insert,18,4,4.00,4320.86,0.00,1078.47,3242.40,926.33,0.00,0.00
selectivity_changes_100_select,2,4,11341.18,11341.18,11341.18,0.00,0.00,0.52,0.00,0.00
selectivity_changes_100_select,4,4,11590.54,11590.54,11590.54,0.00,0.00,0.50,0.00,0.00
selectivity_changes_100_select,6,4,11638.71,11638.71,11638.71,0.00,0.00,0.50,0.00,0.00
selectivity_changes_100_select,8,4,11645.24,11645.24,11645.24,0.00,0.00,0.50,0.00,0.00
selectivity_changes_100_select,10,4,11571.47,11571.47,11571.47,0.00,0.00,0.51,0.00,0.00
selectivity_changes_100_select,12,4,11544.65,11544.65,11544.65,0.00,0.00,0.51,0.00,0.00
selectivity_changes_100_select,14,4,11716.90,11716.90,11716.90,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,16,4,11655.95,11655.95,11655.95,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,18,4,11673.00,11673.00,11673.00,0.00,0.00,0.50,0.00,0.00
selectivity_changes_500_insert,2,4,4.00,4549.75,0.00,1136.44,3413.31,943.16,0.00,0.00
selectivity_changes_500_insert,4,4,4.00,4851.25,0.00,1210.81,3640.44,831.46,0.00,0.00
selectivity_changes_500_insert,6,4,4.00,4598.00,0.00,1147.50,3450.50,877.61,0.00,0.00
selectivity_changes_500_insert,8,4,6.00,4777.74,0.00,1191.44,3586.31,861.95,0.00,0.00
selectivity_changes_500_insert,10,4,4.00,4316.08,0.00,1077.02,3239.06,977.74,0.00,0.00
selectivity_changes_500_insert,12,4,4.00,4534.11,0.00,1131.53,3402.58,943.16,0.00,0.00
selectivity_changes_500_insert,14,4,6.00,4752.05,0.00,1185.01,3567.04,877.61,0.00,0.00
selectivity_changes_500_insert,16,4,4.00,4537.80,0.00,1132.45,3405.35,909.80,0.00,0.00
selectivity_changes_500_insert,18,4,4.00,5028.28,0.00,1255.07,3773.21,846.57,0.00,0.00
selectivity_changes_500_select,2,4,11753.30,11753.30,11753.30,0.00,0.00,0.49,0.00,0.00
selectivity_changes_500_select,4,4,11927.43,11927.43,11927.43,0.00,0.00,0.49,0.00,0.00
selectivity_changes_500_select,6,4,11897.54,11897.54,11897.54,0.00,0.00,0.49,0.00,0.00
selectivity_changes_500_select,8,4,12055.95,12055.95,12055.95,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,10,4,11983.03,11983.03,11983.03,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,12,4,12013.50,12014.00,12014.00,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,14,4,11987.96,11987.46,11987.46,0.00,0.00,0.49,0.00,0.00
selectivity_changes_500_select,16,4,12020.35,12020.35,12020.35,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,18,4,12041.13,12041.13,12041.13,0.00,0.00,0.48,0.00,0.00
