Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,2,4,8720.04,14563.05,8716.04,1464.75,4382.26,733.63,0.00,0.00,5847.01
selectivity_changes_10,4,4,8773.81,14737.83,8768.31,1489.38,4480.14,670.53,0.00,0.00,5969.52
selectivity_changes_10,6,4,8796.00,14645.45,8789.50,1460.99,4394.96,695.08,0.00,0.00,5855.95
selectivity_changes_10,8,4,8762.52,14426.74,8756.52,1414.55,4255.66,733.63,0.00,0.00,5670.22
selectivity_changes_10,10,4,8751.44,14689.40,8745.44,1482.99,4460.97,695.09,0.00,0.00,5943.96
selectivity_changes_10,12,4,8809.52,14645.31,8803.52,1457.45,4384.34,707.69,0.00,0.00,5841.79
selectivity_changes_10,14,4,8817.06,14769.11,8811.06,1486.51,4471.54,682.69,0.00,0.00,5958.05
selectivity_changes_10,16,4,8726.21,14564.43,8720.21,1458.06,4386.17,707.71,0.00,0.00,5844.22
selectivity_changes_10,18,4,8809.86,14831.58,8803.86,1503.93,4523.79,670.51,0.00,0.00,6027.72
selectivity_changes_100,2,4,11634.62,17663.68,11628.62,1505.77,4529.29,670.38,0.00,0.00,6035.06
selectivity_changes_100,4,4,11677.86,17705.12,11671.86,1505.31,4527.94,670.38,0.00,0.00,6033.26
selectivity_changes_100,6,4,11783.20,17763.01,11777.20,1493.95,4491.86,682.54,0.00,0.00,5985.81
selectivity_changes_100,8,4,12042.75,18023.45,12038.75,1494.05,4490.65,707.54,0.00,0.00,5984.70
selectivity_changes_100,10,4,11872.06,17489.53,11866.06,1402.49,4220.98,720.40,0.00,0.00,5623.47
selectivity_changes_100,12,4,11875.44,17869.56,11869.44,1497.03,4503.09,733.47,0.00,0.00,6000.12
selectivity_changes_100,14,4,11802.46,17860.34,11796.46,1512.97,4550.91,670.37,0.00,0.00,6063.88
selectivity_changes_100,16,4,11811.61,17892.15,11805.61,1519.01,4567.53,670.37,0.00,0.00,6086.54
selectivity_changes_100,18,4,11859.41,17877.16,11853.41,1502.56,4521.19,682.54,0.00,0.00,6023.75
selectivity_changes_500,2,4,11721.27,17804.45,11715.27,1518.80,4570.39,670.37,0.00,0.00,6089.18
selectivity_changes_500,4,4,11969.21,17610.58,11965.21,1409.34,4236.03,774.16,0.00,0.00,5645.37
selectivity_changes_500,6,4,12154.80,18250.62,12148.80,1522.45,4579.36,658.41,0.00,0.00,6101.82
selectivity_changes_500,8,4,12001.67,17935.64,11995.67,1481.99,4457.97,694.92,0.00,0.00,5939.97
selectivity_changes_500,10,4,12007.35,18033.30,12001.35,1504.99,4526.96,670.36,0.00,0.00,6031.95
selectivity_changes_500,12,4,12045.61,18207.57,12039.61,1538.99,4628.97,682.53,0.00,0.00,6167.96
selectivity_changes_500,14,4,11966.45,17976.46,11960.45,1501.00,4515.01,670.37,0.00,0.00,6016.01
selectivity_changes_500,16,4,11922.98,17783.16,11916.98,1463.54,4402.63,694.93,0.00,0.00,5866.18
selectivity_changes_500,18,4,11992.83,18094.20,11986.83,1523.97,4583.40,670.36,0.00,0.00,6107.37
