Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,2,4,9020.29,12224.70,9018.29,800.10,2406.31,1214.19,0.00,0.00,3206.41
selectivity_changes_10,4,4,9062.00,12588.91,9058.00,880.73,2650.18,1377.21,0.00,0.00,3530.91
selectivity_changes_10,6,4,9003.43,12163.41,9001.43,789.49,2372.48,996.14,0.00,0.00,3161.98
selectivity_changes_10,8,4,9115.47,12437.50,9111.47,829.51,2496.53,1427.69,0.00,0.00,3326.03
selectivity_changes_10,10,4,9118.57,12624.35,9114.57,875.45,2634.34,1192.53,0.00,0.00,3509.78
selectivity_changes_10,12,4,9117.48,12731.60,9113.48,902.53,2715.59,1192.53,0.00,0.00,3618.12
selectivity_changes_10,14,4,9107.88,13179.82,9103.88,1016.98,3058.95,1032.62,0.00,0.00,4075.94
selectivity_changes_10,16,4,9098.23,12822.39,9094.23,930.04,2798.12,1109.70,0.00,0.00,3728.16
selectivity_changes_10,18,4,9126.55,12460.51,9124.55,832.99,2502.97,1236.23,0.00,0.00,3335.96
selectivity_changes_100,2,4,11693.64,14764.60,11692.14,765.62,2306.85,1281.42,0.00,0.00,3072.46
selectivity_changes_100,4,4,11762.85,15031.15,11758.35,816.20,2456.60,1328.40,0.00,0.00,3272.80
selectivity_changes_100,6,4,11871.18,14845.10,11869.18,742.98,2232.94,1304.68,0.00,0.00,2975.92
selectivity_changes_100,8,4,12029.75,14671.76,12027.75,660.00,1984.01,1427.55,0.00,0.00,2644.01
selectivity_changes_100,10,4,11956.49,14994.53,11952.49,758.51,2283.53,1534.14,0.00,0.00,3042.04
selectivity_changes_100,12,4,12416.08,15838.09,12412.08,854.50,2571.51,1236.08,0.00,0.00,3426.01
selectivity_changes_100,14,4,11863.94,14765.86,11861.94,724.98,2178.94,1258.56,0.00,0.00,2903.92
selectivity_changes_100,16,4,11997.53,14873.56,11993.53,718.01,2162.02,1479.88,0.00,0.00,2880.03
selectivity_changes_100,18,4,11854.93,14843.08,11852.93,746.54,2243.61,1328.39,0.00,0.00,2990.15
selectivity_changes_500,2,4,11605.68,15311.53,11603.68,924.59,2783.26,1051.26,0.00,0.00,3707.85
selectivity_changes_500,4,4,11877.16,15132.29,11873.16,812.66,2446.48,1129.73,0.00,0.00,3259.13
selectivity_changes_500,6,4,11935.48,15301.54,11931.48,840.52,2529.55,1352.51,0.00,0.00,3370.06
selectivity_changes_500,8,4,11947.52,14819.50,11945.52,717.50,2156.49,1377.09,0.00,0.00,2873.98
selectivity_changes_500,10,4,12024.73,16840.48,12020.73,1202.94,3616.81,1328.39,0.00,0.00,4819.75
selectivity_changes_500,12,4,12149.57,17371.57,12143.57,1304.00,3924.00,788.21,0.00,0.00,5228.00
selectivity_changes_500,14,4,11985.83,17131.49,11979.83,1285.04,3866.62,817.12,0.00,0.00,5151.66
selectivity_changes_500,16,4,12041.88,17278.72,12038.38,1307.96,3932.38,802.53,0.00,0.00,5240.34
selectivity_changes_500,18,4,11643.15,16866.67,11636.65,1304.51,3925.52,760.40,0.00,0.00,5230.02
