Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,1,1,3631.20,5270.68,3630.20,1635.49,5.00,623.63,0.00,0.00,1640.48
selectivity_changes_10,2,1,3698.85,5367.62,3696.85,1666.77,4.00,601.59,0.00,0.00,1670.77
selectivity_changes_10,3,1,3678.01,5350.96,3677.01,1671.95,2.00,601.59,0.00,0.00,1673.95
selectivity_changes_10,4,1,3495.35,5138.43,3493.35,1641.08,4.00,623.66,0.00,0.00,1645.08
selectivity_changes_10,5,1,3338.89,5019.88,3336.89,1678.99,4.00,590.90,0.00,0.00,1682.99
selectivity_changes_10,6,1,3619.01,5246.89,3618.01,1626.88,2.00,601.60,0.00,0.00,1628.88
selectivity_changes_10,7,1,3667.69,5357.77,3665.69,1688.08,4.00,623.63,0.00,0.00,1692.08
selectivity_changes_10,8,1,3664.01,5363.03,3662.01,1697.02,4.00,590.86,0.00,0.00,1701.02
selectivity_changes_100,1,1,4615.07,6327.61,4614.07,1708.54,5.00,590.79,0.00,0.00,1713.54
selectivity_changes_100,2,1,4633.03,6364.72,4631.03,1729.69,4.00,580.26,0.00,0.00,1733.69
selectivity_changes_100,3,1,4572.81,6244.81,4570.81,1670.00,4.00,601.53,0.00,0.00,1674.00
selectivity_changes_100,4,1,4617.96,6317.97,4616.96,1699.01,2.00,590.80,0.00,0.00,1701.01
selectivity_changes_100,5,1,4586.68,6289.66,4584.68,1700.98,4.00,590.80,0.00,0.00,1704.98
selectivity_changes_100,6,1,4641.39,6309.31,4639.39,1665.92,4.00,601.53,0.00,0.00,1669.92
selectivity_changes_100,7,1,4583.93,6269.98,4582.93,1685.05,2.00,601.53,0.00,0.00,1687.05
selectivity_changes_500,1,1,4553.68,6229.98,4552.68,1672.30,4.99,601.53,0.00,0.00,1677.30
selectivity_changes_500,2,1,4569.09,6314.00,4567.09,1742.90,4.00,590.80,0.00,0.00,1746.91
selectivity_changes_500,3,1,4636.03,6324.04,4634.03,1686.01,4.00,590.80,0.00,0.00,1690.01
selectivity_changes_500,4,1,4541.94,6284.96,4540.94,1742.02,2.00,569.92,0.00,0.00,1744.02
selectivity_changes_500,5,1,4603.06,6269.07,4601.06,1664.01,4.00,601.53,0.00,0.00,1668.01
selectivity_changes_500,6,1,4611.15,6290.12,4609.15,1676.97,4.00,601.53,0.00,0.00,1680.97
selectivity_changes_500,7,1,4544.54,6260.55,4543.54,1715.01,2.00,580.26,0.00,0.00,1717.01
