Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_10_insert,1,1,1.00,1640.48,0.00,1635.49,5.00,623.33,0.00,0.00
selectivity_changes_10_insert,2,1,2.00,1670.77,0.00,1666.77,4.00,601.29,0.00,0.00
selectivity_changes_10_insert,3,1,1.00,1673.95,0.00,1671.95,2.00,601.29,0.00,0.00
selectivity_changes_10_insert,4,1,2.00,1645.08,0.00,1641.08,4.00,623.33,0.00,0.00
selectivity_changes_10_insert,5,1,2.00,1682.99,0.00,1678.99,4.00,590.56,0.00,0.00
selectivity_changes_10_insert,6,1,1.00,1628.88,0.00,1626.88,2.00,601.29,0.00,0.00
selectivity_changes_10_insert,7,1,2.00,1692.08,0.00,1688.08,4.00,623.33,0.00,0.00
selectivity_changes_10_insert,8,1,2.00,1701.02,0.00,1697.02,4.00,590.56,0.00,0.00
selectivity_changes_10_select,1,1,3630.20,3630.20,3630.20,0.00,0.00,0.30,0.00,0.00
selectivity_changes_10_select,2,1,3696.85,3696.85,3696.85,0.00,0.00,0.30,0.00,0.00
selectivity_changes_10_select,3,1,3677.01,3677.01,3677.01,0.00,0.00,0.30,0.00,0.00
selectivity_changes_10_select,4,1,3493.35,3493.35,3493.35,0.00,0.00,0.33,0.00,0.00
selectivity_changes_10_select,5,1,3336.89,3336.89,3336.89,0.00,0.00,0.34,0.00,0.00
selectivity_changes_10_select,6,1,3618.01,3618.01,3618.01,0.00,0.00,0.31,0.00,0.00
selectivity_changes_10_select,7,1,3665.69,3665.69,3665.69,0.00,0.00,0.30,0.00,0.00
selectivity_changes_10_select,8,1,3662.01,3662.01,3662.01,0.00,0.00,0.30,0.00,0.00
selectivity_changes_100_insert,1,1,1.00,1713.54,0.00,1708.54,5.00,590.56,0.00,0.00
selectivity_changes_100_insert,2,1,2.00,1733.69,0.00,1729.69,4.00,580.02,0.00,0.00
selectivity_changes_100_insert,3,1,2.00,1674.00,0.00,1670.00,4.00,601.29,0.00,0.00
selectivity_changes_100_insert,4,1,1.00,1701.01,0.00,1699.01,2.00,590.56,0.00,0.00
selectivity_changes_100_insert,5,1,2.00,1704.98,0.00,1700.98,4.00,590.56,0.00,0.00
selectivity_changes_100_insert,6,1,2.00,1669.92,0.00,1665.92,4.00,601.29,0.00,0.00
selectivity_changes_100_insert,7,1,1.00,1687.05,0.00,1685.05,2.00,601.29,0.00,0.00
selectivity_changes_100_insert,8,1,2.00,1640.00,0.00,1636.00,4.00,623.33,0.00,0.00
selectivity_changes_100_select,1,1,4614.07,4614.07,4614.07,0.00,0.00,0.23,0.00,0.00
selectivity_changes_100_select,2,1,4631.03,4631.03,4631.03,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,3,1,4570.81,4570.81,4570.81,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,4,1,4616.96,4616.96,4616.96,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,5,1,4584.68,4584.68,4584.68,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,6,1,4639.39,4639.39,4639.39,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,7,1,4582.93,4582.93,4582.93,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_insert,1,1,1.00,1677.30,0.00,1672.30,4.99,601.29,0.00,0.00
selectivity_changes_500_insert,2,1,2.00,1746.91,0.00,1742.90,4.00,590.56,0.00,0.00
selectivity_changes_500_insert,3,1,2.00,1690.01,0.00,1686.01,4.00,590.56,0.00,0.00
selectivity_changes_500_insert,4,1,1.00,1744.02,0.00,1742.02,2.00,569.67,0.00,0.00
selectivity_changes_500_insert,5,1,2.00,1668.01,0.00,1664.01,4.00,601.29,0.00,0.00
selectivity_changes_500_insert,6,1,2.00,1680.97,0.00,1676.97,4.00,601.29,0.00,0.00
selectivity_changes_500_insert,7,1,1.00,1717.01,0.00,1715.01,2.00,580.02,0.00,0.00
selectivity_changes_500_insert,8,1,2.00,1688.95,0.00,1684.95,4.00,601.29,0.00,0.00
selectivity_changes_500_select,1,1,4552.68,4552.68,4552.68,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,2,1,4567.09,4567.09,4567.09,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,3,1,4634.03,4634.03,4634.03,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,4,1,4540.94,4540.94,4540.94,0.00,0.00,0.25,0.00,0.00
selectivity_changes_500_select,5,1,4601.06,4601.06,4601.06,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,6,1,4609.15,4609.15,4609.15,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,7,1,4543.54,4543.54,4543.54,0.00,0.00,0.24,0.00,0.00
