Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,1,1,3648.30,4788.31,3647.30,1136.01,5.00,877.91,0.00,0.00,1141.01
selectivity_changes_10,2,1,3548.07,4693.50,3547.07,1144.42,2.00,877.92,0.00,0.00,1146.43
selectivity_changes_10,3,1,3599.97,4772.98,3598.97,1172.01,2.00,893.87,0.00,0.00,1174.01
selectivity_changes_10,4,1,3610.94,4739.93,3609.94,1127.99,2.00,831.77,0.00,0.00,1129.99
selectivity_changes_10,5,1,3626.74,4810.72,3625.74,1182.98,2.00,877.92,0.00,0.00,1184.98
selectivity_changes_10,6,1,3673.36,4904.42,3672.36,1230.06,2.00,831.76,0.00,0.00,1232.06
selectivity_changes_10,7,1,3684.69,4882.62,3682.69,1195.93,4.00,831.76,0.00,0.00,1199.93
selectivity_changes_100,1,1,4612.95,5820.88,4611.95,1203.94,5.00,846.81,0.00,0.00,1208.93
selectivity_changes_100,2,1,4652.62,5881.11,4651.62,1227.49,2.00,802.29,0.00,0.00,1229.49
selectivity_changes_100,3,1,4734.40,5907.40,4733.40,1172.00,2.00,816.86,0.00,0.00,1174.00
selectivity_changes_100,4,1,4773.84,5851.88,4772.84,1077.04,2.00,910.03,0.00,0.00,1079.04
selectivity_changes_100,5,1,4730.73,5956.69,4729.73,1224.96,2.00,893.79,0.00,0.00,1226.96
selectivity_changes_100,6,1,4765.03,5925.06,4763.03,1158.03,4.00,862.18,0.00,0.00,1162.03
selectivity_changes_100,7,1,4802.32,5893.30,4801.32,1089.98,2.00,910.03,0.00,0.00,1091.98
selectivity_changes_500,1,1,4659.85,5799.82,4658.85,1135.97,5.00,862.19,0.00,0.00,1140.97
selectivity_changes_500,2,1,4677.44,5819.98,4676.44,1141.54,2.00,893.80,0.00,0.00,1143.54
selectivity_changes_500,3,1,4684.33,5866.26,4683.33,1180.93,2.00,846.81,0.00,0.00,1182.93
selectivity_changes_500,4,1,4746.21,5867.21,4745.21,1120.00,2.00,893.79,0.00,0.00,1122.00
selectivity_changes_500,5,1,4684.91,5830.96,4683.91,1145.05,2.00,846.81,0.00,0.00,1147.05
selectivity_changes_500,6,1,4690.02,5920.99,4689.02,1229.97,2.00,862.19,0.00,0.00,1231.97
selectivity_changes_500,7,1,4682.98,5951.02,4680.98,1266.04,4.00,816.87,0.00,0.00,1270.04
