Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_10_insert,1,1,1.00,1141.01,0.00,1136.01,5.00,877.61,0.00,0.00
selectivity_changes_10_insert,2,1,1.00,1146.43,0.00,1144.42,2.00,877.61,0.00,0.00
selectivity_changes_10_insert,3,1,1.00,1174.01,0.00,1172.01,2.00,893.56,0.00,0.00
selectivity_changes_10_insert,4,1,1.00,1129.99,0.00,1127.99,2.00,831.46,0.00,0.00
selectivity_changes_10_insert,5,1,1.00,1184.98,0.00,1182.98,2.00,877.61,0.00,0.00
selectivity_changes_10_insert,6,1,1.00,1232.06,0.00,1230.06,2.00,831.46,0.00,0.00
selectivity_changes_10_insert,7,1,2.00,1199.93,0.00,1195.93,4.00,831.46,0.00,0.00
selectivity_changes_10_insert,8,1,1.00,1216.07,0.00,1214.07,2.00,831.46,0.00,0.00
selectivity_changes_10_select,1,1,3647.30,3647.30,3647.30,0.00,0.00,0.30,0.00,0.00
selectivity_changes_10_select,2,1,3547.07,3547.07,3547.07,0.00,0.00,0.31,0.00,0.00
selectivity_changes_10_select,3,1,3598.97,3598.97,3598.97,0.00,0.00,0.31,0.00,0.00
selectivity_changes_10_select,4,1,3609.94,3609.94,3609.94,0.00,0.00,0.31,0.00,0.00
selectivity_changes_10_select,5,1,3625.74,3625.74,3625.74,0.00,0.00,0.31,0.00,0.00
selectivity_changes_10_select,6,1,3672.36,3672.36,3672.36,0.00,0.00,0.30,0.00,0.00
selectivity_changes_10_select,7,1,3682.69,3682.69,3682.69,0.00,0.00,0.30,0.00,0.00
selectivity_changes_100_insert,1,1,1.00,1208.93,0.00,1203.94,5.00,846.57,0.00,0.00
selectivity_changes_100_insert,2,1,1.00,1229.49,0.00,1227.49,2.00,802.05,0.00,0.00
selectivity_changes_100_insert,3,1,1.00,1174.00,0.00,1172.00,2.00,816.63,0.00,0.00
selectivity_changes_100_insert,4,1,1.00,1079.04,0.00,1077.04,2.00,909.80,0.00,0.00
selectivity_changes_100_insert,5,1,1.00,1226.96,0.00,1224.96,2.00,893.56,0.00,0.00
selectivity_changes_100_insert,6,1,2.00,1162.03,0.00,1158.03,4.00,861.95,0.00,0.00
selectivity_changes_100_insert,7,1,1.00,1091.98,0.00,1089.98,2.00,909.80,0.00,0.00
selectivity_changes_100_insert,8,1,1.00,1155.93,0.00,1153.93,2.00,861.95,0.00,0.00
selectivity_changes_100_select,1,1,4611.95,4611.95,4611.95,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,2,1,4651.62,4651.62,4651.62,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,3,1,4733.40,4733.40,4733.40,0.00,0.00,0.23,0.00,0.00
selectivity_changes_100_select,4,1,4772.84,4772.84,4772.84,0.00,0.00,0.23,0.00,0.00
selectivity_changes_100_select,5,1,4729.73,4729.73,4729.73,0.00,0.00,0.23,0.00,0.00
selectivity_changes_100_select,6,1,4763.03,4763.03,4763.03,0.00,0.00,0.23,0.00,0.00
selectivity_changes_100_select,7,1,4801.32,4801.32,4801.32,0.00,0.00,0.23,0.00,0.00
selectivity_changes_500_insert,1,1,1.00,1140.97,0.00,1135.97,5.00,861.95,0.00,0.00
selectivity_changes_500_insert,2,1,1.00,1143.54,0.00,1141.54,2.00,893.56,0.00,0.00
selectivity_changes_500_insert,3,1,1.00,1182.93,0.00,1180.93,2.00,846.57,0.00,0.00
selectivity_changes_500_insert,4,1,1.00,1122.00,0.00,1120.00,2.00,893.56,0.00,0.00
selectivity_changes_500_insert,5,1,1.00,1147.05,0.00,1145.05,2.00,846.57,0.00,0.00
selectivity_changes_500_insert,6,1,1.00,1231.97,0.00,1229.97,2.00,861.95,0.00,0.00
selectivity_changes_500_insert,7,1,2.00,1270.04,0.00,1266.04,4.00,816.63,0.00,0.00
selectivity_changes_500_insert,8,1,1.00,1167.95,0.00,1165.95,2.00,846.57,0.00,0.00
selectivity_changes_500_select,1,1,4658.85,4658.85,4658.85,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,2,1,4676.44,4676.44,4676.44,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,3,1,4683.33,4683.33,4683.33,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,4,1,4745.21,4745.21,4745.21,0.00,0.00,0.23,0.00,0.00
selectivity_changes_500_select,5,1,4683.91,4683.91,4683.91,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,6,1,4689.02,4689.02,4689.02,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,7,1,4680.98,4680.98,4680.98,0.00,0.00,0.24,0.00,0.00
