Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,1,1,3642.32,5174.78,3641.32,1528.46,4.99,670.19,0.00,0.00,1533.46
selectivity_changes_10,2,1,3662.61,5235.42,3660.61,1570.80,4.00,646.50,0.00,0.00,1574.81
selectivity_changes_10,3,1,3636.09,5291.09,3635.09,1654.00,2.00,623.64,0.00,0.00,1656.00
selectivity_changes_10,4,1,3718.13,5369.12,3716.13,1648.99,4.00,612.51,0.00,0.00,1652.99
selectivity_changes_10,5,1,3574.03,5206.06,3572.03,1630.03,4.00,612.52,0.00,0.00,1634.03
selectivity_changes_10,6,1,3712.69,5347.57,3711.69,1633.88,2.00,612.51,0.00,0.00,1635.88
selectivity_changes_10,7,1,3711.36,5348.47,3709.36,1635.11,4.00,623.63,0.00,0.00,1639.11
selectivity_changes_100,1,1,4480.82,6105.38,4479.82,1620.56,5.00,612.46,0.00,0.00,1625.56
selectivity_changes_100,2,1,4497.13,6139.86,4495.13,1640.73,4.00,612.46,0.00,0.00,1644.73
selectivity_changes_100,3,1,4489.88,6072.82,4488.88,1581.94,2.00,634.91,0.00,0.00,1583.94
selectivity_changes_100,4,1,4554.03,6128.02,4552.03,1571.99,4.00,623.57,0.00,0.00,1575.99
selectivity_changes_100,5,1,4534.94,6161.92,4532.94,1624.98,4.00,646.44,0.00,0.00,1628.98
selectivity_changes_100,6,1,4556.94,6199.96,4555.94,1642.02,2.00,612.45,0.00,0.00,1644.02
selectivity_changes_100,7,1,4574.15,6190.22,4572.15,1614.07,4.00,623.57,0.00,0.00,1618.07
selectivity_changes_500,1,1,4552.71,6206.23,4551.71,1649.53,5.00,612.45,0.00,0.00,1654.52
selectivity_changes_500,2,1,4542.01,6183.75,4540.01,1639.74,4.00,612.45,0.00,0.00,1643.74
selectivity_changes_500,3,1,4627.71,6246.68,4626.71,1617.97,2.00,623.56,0.00,0.00,1619.97
selectivity_changes_500,4,1,4614.37,6223.36,4612.37,1606.99,4.00,623.57,0.00,0.00,1610.99
selectivity_changes_500,5,1,4551.03,6134.00,4549.03,1580.97,4.00,634.90,0.00,0.00,1584.97
selectivity_changes_500,6,1,4539.05,6143.04,4538.05,1602.99,2.00,623.57,0.00,0.00,1604.99
selectivity_changes_500,7,1,4571.83,6193.90,4569.83,1620.07,4.00,623.57,0.00,0.00,1624.07
selectivity_changes_500,8,1,4547.84,6147.85,4546.84,1599.01,2.00,634.90,0.00,0.00,1601.01
