Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,1,1,3696.54,5247.91,3695.54,1547.37,4.99,646.48,0.00,0.00,1552.37
selectivity_changes_10,2,1,3604.75,5215.72,3602.75,1608.97,4.00,634.98,0.00,0.00,1612.97
selectivity_changes_10,3,1,3462.01,5054.00,3461.01,1590.99,2.00,635.00,0.00,0.00,1592.99
selectivity_changes_10,4,1,3641.00,5373.03,3639.00,1730.03,4.00,612.52,0.00,0.00,1734.03
selectivity_changes_10,5,1,3702.69,5442.64,3700.69,1737.95,4.00,569.97,0.00,0.00,1741.95
selectivity_changes_10,6,1,3646.32,5281.36,3645.32,1634.04,2.00,623.64,0.00,0.00,1636.04
selectivity_changes_10,7,1,3785.02,5441.83,3783.02,1654.81,4.00,601.58,0.00,0.00,1658.81
selectivity_changes_100,1,1,4591.79,6343.25,4590.79,1747.47,5.00,569.91,0.00,0.00,1752.46
selectivity_changes_100,2,1,4631.20,6232.87,4629.20,1599.67,4.00,612.45,0.00,0.00,1603.67
selectivity_changes_100,3,1,4637.60,6240.46,4636.60,1601.86,2.00,623.57,0.00,0.00,1603.86
selectivity_changes_100,4,1,4632.98,6185.95,4630.98,1550.97,4.00,646.43,0.00,0.00,1554.97
selectivity_changes_100,5,1,4633.16,6251.29,4631.16,1616.13,4.00,634.90,0.00,0.00,1620.13
selectivity_changes_100,6,1,4625.80,6240.80,4624.80,1614.00,2.00,612.45,0.00,0.00,1616.00
selectivity_changes_100,7,1,4568.45,6125.47,4566.45,1555.02,4.00,658.17,0.00,0.00,1559.02
selectivity_changes_100,8,1,4612.83,6192.84,4611.83,1579.01,2.00,646.43,0.00,0.00,1581.01
selectivity_changes_500,1,1,4566.58,6120.11,4565.58,1549.54,5.00,634.90,0.00,0.00,1554.53
selectivity_changes_500,2,1,4564.34,6202.11,4562.34,1635.77,4.00,646.43,0.00,0.00,1639.77
selectivity_changes_500,3,1,4546.72,6157.76,4545.72,1610.04,2.00,623.57,0.00,0.00,1612.04
selectivity_changes_500,4,1,4674.29,6268.28,4672.29,1591.99,4.00,646.43,0.00,0.00,1595.99
selectivity_changes_500,5,1,4574.95,6208.03,4572.95,1631.08,4.00,612.45,0.00,0.00,1635.08
selectivity_changes_500,6,1,4619.98,6193.94,4618.98,1572.96,2.00,612.45,0.00,0.00,1574.96
selectivity_changes_500,7,1,4619.90,6243.84,4617.90,1621.94,4.00,646.43,0.00,0.00,1625.94
